진료년도,주상병코드,성별,입원외래구분,환자수,명세서청구건수,입내원일수,보험자부담금(선별포함),요양급여비용총액(선별포함)
2023,A00,남,외래,23 ,35 ,33 ,599150 ,878520 
2023,A00,여,외래,47 ,58 ,58 ,1301660 ,1999230 
2023,A00,여,입원,4 ,5 ,19 ,4294720 ,5315140 
2023,A01,남,외래,33 ,53 ,53 ,1304060 ,2611280 
2023,A01,남,입원,28 ,36 ,302 ,87045450 ,106173290 
2023,A01,여,외래,59 ,88 ,88 ,1855870 ,3222410 
2023,A01,여,입원,22 ,24 ,218 ,65013300 ,80055780 
2023,A02,남,외래,2045 ,2922 ,2919 ,69256300 ,119771060 
2023,A02,남,입원,1826 ,2065 ,11974 ,3252961330 ,3985888570 
2023,A02,여,외래,2116 ,3001 ,2996 ,68317100 ,112781300 
2023,A02,여,입원,1616 ,1849 ,11121 ,2892415630 ,3563377190 
2023,A03,남,외래,30 ,40 ,40 ,1123030 ,1935930 
2023,A03,남,입원,29 ,30 ,180 ,58156850 ,72607650 
2023,A03,여,외래,31 ,68 ,68 ,1251640 ,2256940 
2023,A03,여,입원,30 ,36 ,213 ,54828730 ,67015340 
2023,A04,남,외래,252728 ,346693 ,346599 ,6351193310 ,9165264150 
2023,A04,남,입원,11417 ,13336 ,83879 ,20831170140 ,25733121310 
2023,A04,여,외래,288101 ,409637 ,409552 ,7628132800 ,11046508650 
2023,A04,여,입원,14801 ,17764 ,125961 ,30621181560 ,38486359250 
2023,A05,남,외래,8624 ,10997 ,10996 ,172320880 ,242260860 
2023,A05,남,입원,275 ,295 ,1598 ,390626170 ,515827000 
2023,A05,여,외래,10029 ,13573 ,13570 ,213760100 ,297165240 
2023,A05,여,입원,326 ,357 ,2305 ,498071610 ,650072890 
2023,A06,남,외래,1761 ,3106 ,3104 ,90738680 ,129233270 
2023,A06,남,입원,33 ,44 ,386 ,67639460 ,87682680 
2023,A06,여,외래,1774 ,3073 ,3072 ,43391470 ,60734740 
2023,A06,여,입원,23 ,25 ,164 ,35686340 ,47157210 
2023,A07,남,외래,393 ,521 ,520 ,7734350 ,11935750 
2023,A07,남,입원,1 ,1 ,20 ,1744290 ,2312440 
2023,A07,여,외래,400 ,687 ,687 ,9535080 ,13566800 
2023,A07,여,입원,4 ,6 ,30 ,11167250 ,14919340 
2023,A08,남,외래,161379 ,225867 ,225797 ,3719688130 ,5227615150 
2023,A08,남,입원,11527 ,12557 ,51834 ,10866677000 ,12292991680 
2023,A08,여,외래,171261 ,234675 ,234610 ,3860624420 ,5465526720 
2023,A08,여,입원,10946 ,11953 ,49870 ,10206575940 ,11725431170 
2023,A09,남,외래,2021031 ,3279113 ,3277989 ,68243380390 ,102582000000 
2023,A09,남,입원,103572 ,115262 ,386175 ,83000697670 ,106155000000 
2023,A09,여,외래,2236985 ,3562076 ,3560706 ,76071987770 ,116183000000 
2023,A09,여,입원,134865 ,150480 ,550148 ,114682000000 ,148857000000 
2023,A15,남,외래,8703 ,57522 ,54719 ,6930581150 ,7134670940 
2023,A15,남,입원,2980 ,5596 ,72042 ,27298346610 ,28456632090 
2023,A15,여,외래,5414 ,32630 ,31236 ,3538971720 ,3655548000 
2023,A15,여,입원,2019 ,3910 ,50282 ,16683578290 ,17514444440 
2023,A16,남,외래,8475 ,49972 ,47683 ,5933729510 ,6130930560 
2023,A16,남,입원,2615 ,4378 ,41967 ,17802671270 ,18676177090 
2023,A16,여,외래,5600 ,28845 ,27540 ,3138668690 ,3286793500 
2023,A16,여,입원,1530 ,2824 ,29923 ,9937570230 ,10494498890 
2023,A17,남,외래,235 ,1148 ,1143 ,67350330 ,88082220 
2023,A17,남,입원,122 ,298 ,4666 ,1896058070 ,2117545720 
2023,A17,여,외래,128 ,932 ,922 ,53230430 ,66616790 
