구분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계,"일평균
 			환자"
내과,150,131,176,195,181,117,159,131,149,159,169,143,"1,860",5.1
신경과,10,18,16,8,15,16,15,13,11,16,18,12,168,0.5
정신건강의학과,-,-,-,-,-,-,-,-,-,-,-,-,-,-
외과,74,51,59,56,55,55,74,47,39,52,58,54,674,1.8
흉부외과,-,-,-,-,-,-,-,-,-,-,-,-,-,-
정형외과,96,78,81,84,75,78,90,67,71,87,86,92,985,2.7
신경외과,51,48,57,63,67,45,54,52,40,47,48,38,610,1.7
산부인과,-,1,-,1,-,-,-,-,-,-,-,1,3,-
소아청소년과,5,9,11,10,9,7,5,10,6,5,11,7,95,0.3
안과,23,1,17,37,31,20,31,16,16,15,31,21,259,0.7
이비인후과,2,1,3,2,5,2,6,4,4,8,2,8,47,0.1
피부과,-,-,4,2,1,-,1,-,3,2,1,-,14,-
비뇨기과,57,42,44,54,53,57,67,54,55,52,62,48,645,1.8
재활의학과,43,47,41,69,40,35,55,42,40,42,61,29,544,1.5
가정의학과,15,14,15,16,14,10,17,13,8,14,18,12,166,0.5
치과,-,-,-,-,-,-,-,-,-,-,-,-,-,-
응급의학과,-,-,-,-,-,-,-,-,-,-,-,-,-,-
핵의학과,-,-,-,-,2,-,-,1,1,-,-,-,4,-
합계,526,441,524,597,548,442,574,450,443,499,565,465,"6,074",16.6
신생아,-,-,-,-,-,-,-,-,-,-,-,-,-,-
