구분,국비,사비,계,일평균환자
일반,건강보험,의료급여,산재,자보,계
내과,-,-,-,-,-,-,-,-,-
소화기내과,294,-,140,19,-,-,159,453,1.2
내분비내과,65,-,42,6,-,-,48,113,0.3
순환기내과,"1,022",1,452,42,-,-,495,"1,517",4.2
호흡기내과,-,-,-,-,-,-,-,-,-
신장내과,162,2,105,14,-,-,121,283,0.8
감염내과,-,-,-,-,-,-,-,-,-
신경과,19,-,12,-,-,-,12,31,0.1
정신건강의학과,-,-,-,-,-,-,-,-,-
외과,98,2,79,3,1,-,85,183,0.5
흉부외과,-,-,-,-,-,-,-,-,-
정형외과,355,3,287,31,3,5,329,684,1.9
신경외과,308,2,166,34,2,-,204,512,1.4
마취통증의학과,-,-,-,-,-,-,-,-,-
산부인과,-,-,-,-,-,-,-,-,-
소아청소년과,-,-,-,-,-,-,-,-,-
안과,319,2,224,6,-,-,232,551,1.5
이비인후과,-,-,1,-,-,-,1,1,-
피부과,-,-,-,-,-,-,-,-,-
비뇨의학과,184,-,94,6,-,-,100,284,0.8
재활의학과,312,-,32,13,-,1,46,358,1.0
가정의학과,50,-,159,20,-,-,179,229,0.6
치과,-,-,-,-,-,-,-,-,-
응급의학과,-,-,-,-,-,-,-,-,-
핵의학과,-,-,-,-,-,-,-,-,-
계,"3,188",12,"1,793",194,6,6,"2,011","5,199",14.2
