구 분,1월,2월,3월,4월,5월,6월,7월,8월,9월,10월,11월,12월,합계,"일평균
 				 환자"
일 반 내 과,,,,,,,,,,,,,-,0.0
순 환 기 내 과,140,95,118,116,120,80,102,81,85,101,117,102,"1,257",3.4
호 흡 기 내 과,44,39,44,30,32,38,31,22,27,31,26,31,395,1.1
내 분 비 내 과,24,21,25,26,16,21,23,13,24,25,15,24,257,0.7
소 화 기 내 과,66,68,80,80,74,56,80,77,79,98,83,72,913,2.5
신 장 내 과,20,16,15,14,11,8,12,15,9,6,11,9,146,0.4
소아청소년과,,,1,,,,,,,,,,1,0.0
신 경 과,8,14,7,11,11,27,32,30,25,32,19,26,242,0.7
정신건강의학과,,,,,,,,,,,,,-,0.0
외 과,27,24,24,23,26,13,17,23,42,41,39,45,344,0.9
정 형 외 과,71,72,55,67,72,63,103,71,73,68,83,64,862,2.4
신 경 외 과,94,89,101,101,82,69,60,69,68,86,81,61,961,2.6
산 부 인 과,,,,,,,,,,,,,-,0.0
안 과,56,28,59,53,44,34,31,22,26,47,35,20,455,1.2
이 비 인 후 과,9,4,10,6,7,12,6,10,5,9,4,3,85,0.2
피 부 과,,,,,,,,,,,,,-,0.0
비 뇨 기 과,29,24,42,31,41,18,31,30,20,28,27,29,350,1.0
치 과,,,,,,,,,,,,,-,0.0
재 활 의 학 과,10,12,9,10,10,7,7,9,6,9,7,7,103,0.3
가 정 의 학 과,6,5,10,10,11,5,11,4,8,12,8,5,95,0.3
합 계,604,511,600,578,557,451,546,476,497,593,555,498,"6,466",17.7
신 생 아,,,,,,,,,,,,,-,0.0
