구분,국비,사비,계,일평균환자
일반,건강보험,의료급여,산재,자보,계
일반내과,0,0,0,0,0,0,0,0,0
순환기내과,904,1,321,21,0,0,343,"1,247",3.4
호흡기·알레르기내과,238,0,129,7,0,0,136,374,1
내분비내과,2,0,1,0,0,0,1,3,0
소화기내과,742,0,231,17,0,0,248,990,2.7
혈액종양내과,98,0,10,0,0,0,10,108,0.3
신장내과,53,0,19,1,0,0,20,73,0.2
류마티스내과,2,0,1,0,0,0,1,3,0
소아청소년과,0,0,1,0,0,0,1,1,0
신경과,24,0,15,0,0,0,15,39,0.1
정신건강의학과,0,0,0,0,0,0,0,0,0
피부과,0,0,0,0,0,0,0,0,0
재활의학과,208,0,37,0,0,1,38,246,0.7
가정의학과,41,0,114,8,0,0,122,163,0.4
외과,116,0,61,4,0,0,65,181,0.5
정형외과,483,2,206,12,2,5,227,710,1.9
신경외과,561,2,150,14,2,1,169,730,2
산부인과,0,0,0,0,0,0,0,0,0
안과,75,0,43,1,0,0,44,119,0.3
이비인후과,26,0,12,0,0,0,12,38,0.1
비뇨의학과,293,0,173,7,0,0,180,473,1.3
치과,0,0,0,0,0,0,0,0,0
계,"3,866",5,"1,524",92,4,7,"1,632","5,498",15.1
