진료과,소속부서,보유장비,진료내용
소화기내과,내시경실,"위내시경,대장내시경,환자감시장치","내과, 일반외과 전문의로 하여금 식도의 병변, 위궤양, 위암, 소장 및 대장암, 직장암, 담낭 및 췌장 질환, 기타 질병을 진단하여 외과, 비뇨기과 전문의와 협조하여 수술요법을 시행"
신장내과,,,"신 증후군, 사구체 신염, 신우신염 등 감염성 및 면역 기전에 의하여 발생하는 여러 신장 질환의 진단 및  만성 신부전 및 급성 신부전 환자들을 위한 투석실 운영 "
내분비내과,,,"당뇨병, 갑상선 질환 (갑상선 기능 이상), 골다공증, 고지혈증 등의 내분비 질환을 진단"
감염내과,,,"세균, 바이러스, 기생충 등 미생물의 인체 감염에 의한 질환을 진단, 감염질환의 예방을 위해서 예방접종을 실시"
순환기내과,동맥경화도검사실,"동맥경화도검사,중심대동맥압측정기",혈관의 탄력성과 혈관 내막의 침전 정도을 정량적으로 측정 및 중심 대동맥 혈압을 측청하여 고혈압 예측과 동맥 관련 질환을 진단
순환기내과,심장박동기검사실,심장박동기 검사,심장박동기의 기기상태 및 심장의 상태(부정맥)을 검사
순환기내과,운동부하검사실,"24시간 심전도기,24시간 혈압측정기,운동부하 심전도기,경사기립도검사기","혈압의 변동을 파악하고 심장의 부정맥, 협심증 등 심장질환의 진단 및 치료"
순환기내과,ANGIO실,"혈관조영촬영기,의료용 3D 입체정위기","인공심박동기, 스텐트삽입술, 풍선확장술, 정맥 내 카테터유치술 등 심혈관 및 부정맥 분야 중재적 시술 시행"
순환기내과,심장초음파실,초음파심장조영장치,심혈관계의 이상유무 검사를 통한 심장질환진단
소아청소년과,,,소아과 환자의 알레르기 검사 및 성장 검사 등 소아질환 관련 전문적인 상담과 치료
신경과,임상심리실,"근전도 검사기,뇌파(EEG) 검사기","중증신경장애 환자, 신경병증 뇌경색 등 뇌혈관질환, 파킨슨병 등 운동장애 질환, 말초신경질환 및 근육질환, 뇌전증, 두통 및 현훈, 치매 등 치료"
정신건강의학과,임상심리실,뇌파검사기,"뇌기능 장애에 의한 정신병, 간질, 뇌종양, 뇌혈관 질환 등을 정확히 진단하고 치매, 인지기능 등과 관련한 정신관련 심리검사진행을 통해 평가 및 치료"
피부과,,CO2 laser,"일반 피부질환, 진균증(무좀)치료, 건선, 알레르기 검사, 피부종양클리닉 등 피부질환 관련 검사 및 치료"
재활의학과,물리치료실,"근전도검사,수치료기,초단파치료기,적외선치료기,전기자극치료기,레이져치료기,체외충격파치료기,연하장애치료기","근전도검사를 시행하여 신경근육의 각종질환의 진단을 비롯하여 말초신경의 손상정도 예후를 판정하고 온열치료 및 전기치료, 운동치료, 수치료, 체외충격파치료 등을 시행하여 통증환자의 통증을 제거하고 재활 치료 및 훈련을 통하여 환자의 손상된 기능 회복"
가정의학과,완화의료병동,체지방측정기,"종합검진 및 건강검진 내시경 검사, 검진 후 결과에 대해 상세한 의료 상담 진행, 식사요법, 주사요법, 약물요법 등을 통한 체계적인 비만치료, 체성분 검사, fat CT 검사, 금연클리닉 등을 통해 정확한 진단에 의한 치료 뿐만 아니라 말기 암 환자를 대상으로 통원, 입원 치료를 통한 통증 조절과 호스피스 완화 프로그램 진행"
가정의학과,건강검진실,,
영상의학과,일반촬영실,"일반 X선 촬영기,이동형 X선 촬영기","X-RAY촬영기를 통해 각 진료과에서 이용할 수 있으며, 디지털 이미지로 정확한 진단이 가능"
영상의학과,초음파실,초음파진단기,"산부인과, 내과, 일반외과, 신경외과, 정형외과, 비뇨기과에서 이용되며 특히 산부인과 영역에서는 임신초기의 이상유무, 태아성숙도, 태반위치 등에 유효하며 기타 내과에서 담낭, 간, 췌장, 비장의 진단에 이용되고 비뇨기과에서 신경질환 진단에 이용 "
영상의학과,CT실,"전신컴퓨터,단층촬영기","방사선과 전문의가 운영하는 전신컴퓨터 단층촬영기는 두부, 복부, 골절, 수두종, 뇌출혈, 각종뇌종양 및 기타 전신 어느부위나 단층촬영에 의해 검사할 수 있으며 그 정확도가 높아 진료 각과에서 광범위하게 이용 "
영상의학과,MRI실,"자기공명영상,진단기(MRI)","내중추신경계,척추신경 심맥관계, 흉.복부 골반 근골격계 및 사지 등의 진단장비"
