"진 료 과 별","소 속 부 서","보 유 장 비(한글)","진     료     내     용"
"내과","내시경실","위내시경대장내시경기관지내시경","식도의 병변, 위궤양, 위암, 소장 및 대장암, 직장암, 담낭 및 췌장질환, 기타 질병을 진단"
"내과","내시경실","아르곤전기소작기","혈관의 지혈, 조직의 절단, 용종제거 등에 사용"
"내과","심혈관센터","심혈관촬영기","1)관상동맥 질환(협심증,심근경색증의 진단및 중재시술)2)말초동맥 질환의 진단 및 중재시술3)고혈압,심부전,부정맥4)영구형 심장 박동기, 삽입형 제세동기, 심장재동기화 치료"""
"내과","심혈관센터","심장초음파진단기","1)관상동맥 질환(협심증,심근경색증의 진단및 중재시술)2)말초동맥 질환의 진단 및 중재시술3)고혈압,심부전,부정맥5)영구형 심장 박동기, 삽입형 제세동기, 심장재동기화 치료"""
"내과","심혈관센터","운동부하심전도기","1)관상동맥 질환(협심증,심근경색증의 진단및 중재시술)2)말초동맥 질환의 진단 및 중재시술3)고혈압,심부전,부정맥6)영구형 심장 박동기, 삽입형 제세동기, 심장재동기화 치료"""
"내과","심혈관센터","24시간혈압측정기","1)관상동맥 질환(협심증,심근경색증의 진단및 중재시술)2)말초동맥 질환의 진단 및 중재시술3)고혈압,심부전,부정맥7)영구형 심장 박동기, 삽입형 제세동기, 심장재동기화 치료"""
"내과","심혈관센터","24시간 심전도기","1)관상동맥 질환(협심증,심근경색증의 진단및 중재시술)2)말초동맥 질환의 진단 및 중재시술3)고혈압,심부전,부정맥8)영구형 심장 박동기, 삽입형 제세동기, 심장재동기화 치료"""
"내과","심혈관센터","동맥경화도검사기","1)관상동맥 질환(협심증,심근경색증의 진단및 중재시술)2)말초동맥 질환의 진단 및 중재시술3)고혈압,심부전,부정맥9)영구형 심장 박동기, 삽입형 제세동기, 심장재동기화 치료"""
"내과","심혈관센터","중심동맥압측정기","1)관상동맥 질환(협심증,심근경색증의 진단및 중재시술)2)말초동맥 질환의 진단 및 중재시술3)고혈압,심부전,부정맥10)영구형 심장 박동기, 삽입형 제세동기, 심장재동기화 치료"""
"내과","심혈관센터","혈관내 카테타 삽입 초음파 장치","1)관상동맥 질환(협심증,심근경색증의 진단및 중재시술)2)말초동맥 질환의 진단 및 중재시술3)고혈압,심부전,부정맥11)영구형 심장 박동기, 삽입형 제세동기, 심장재동기화 치료"""
