"진료과별","부속부서","보유장비","진  료  내  용"
"소화기내과","내시경실","내시경영상장치 위 내시경 대장 내시경 내시경수술기","식도의 병변, 위궤양, 위암, 소장 및 대장암, 담낭 및 췌장질환, 기타 질병을 진단 및 시술"
"소화기내과","회복실","제세동기 환자감시장치","수면 내시경 후 환자를 감시하고 응급시 심폐소생술을 할 수 있도록 함"
"소화기내과","검사실","요소호흡검사기","헬리코박터균 유/무를 검사"
"신경과","뇌파검사실","뇌파계","뇌기능 장애에 의한 정신병, 간질, 뇌종양, 뇌혈관 질환 등을 정확히 진단"
"신경과","뇌혈류검사실","뇌혈류측정기","뇌혈관경축, 뇌동맥협착증, 뇌혈관운동반응, 뇌동정맥의 기형유무, 두개내의측부의 용량, 뇌사판단기준, 뇌의 자졸증, 외두정맥협착증, 경동맥, 뇌압의 상승, 뇌동맥색전증 등의 진단 및 수술시 사용"
"외과","외과검사실","외과용초음파","치루 및 항문농양, 양성종양 감별, 정맥류 진단 등을 진단"
"외과","수술실","하지정맥류 수술기 복강경시스템","하지정맥 및 소장 및 대장암 또는 기타 질병을 정확히 진단하여 복강경내의 각종질환 수술 및 상담과 항문재건술을 시행"
"정형외과","수술실","정형외과 밧데리드릴 자동 지혈장치 관절경 시스템 OS용 고속드릴","각종 질환에 의하여 파괴된 관절을 인공관절을 사용하여 복원함 관절경을 이용하여 관절의 피부절개 없이 진단 및 수술·치료를 시행"
"정형외과","수술실","정형외과 전용 수술대","각종 관절질환 수술 시행"
"정형외과","수술실","환자고정보조장치","각종 관절질환 수술 시행"
"정형외과","수술실","관절수술기","각종 관절질환 수술 시행"
"정형외과","검사실","근골격초음파진단기","근골격계 질환 진단 및 주사 치료"
"정형외과","석고실","석고절단기","깁스환자 대처"
"신경외과","수술실","NS 수술용 고속드릴 수술용 현미경","척추 및 두부 수술시 사용"
"신경외과","수술실","Head Light Scope","척추 및 두부 수술시 사용"
"안과","안과검사실","시야검사기","초기 녹내장 진단 및 녹내장 진행여부, 망막진단에 가장 정확한 장비로 정밀진단과 진행을 분석"
"안과","안과검사실","A/B Scan","관찰이 불가능한 경우나 안종양 진단이나 감별진단, 전방의 깊이나 안축장의 측정 등에 이용. A-Scan은 1차원적인 검사로 특히 백내장 수술시 인공수정체의 도수 결정에 중요한 검사이며, B-Scan은 2차원적인 영상을 얻을 수 있는 검사로 안내질환의 진단에 유용한 검사"
"안과","안과검사실","자동굴절시력측정기","눈의 굴절이상(근시, 원시, 난시)을 검사하여 정밀한 시력검사 시 참고로 하며 각막의 곡률반경을 측정하는 장비로 3D 자동 추적 및 자동 측정으로 눈동자의 움직임과 위치를 빠르고 정확하게 측정"
"안과","안과검사실","자동안압계","안구의 표면에 직접 접촉하지 않고 안압 측정이 가능한 기기로 실명의 치명적인 원인이 되는 녹내장 등 안구의 각종질환으로 인해 높아진 안압을 측정하여 진단하는 장비"
"안과","안과검사실","안구광학단층촬영기","전안부 및 망막등 안구 생체 조직의 고해상도 단층영상 및 횡단면을 측정"
"안과","안과검사실","각막곡률반경측정기","각종 각막의 질환 및 굴절 장애 검사, 그리고 환자의 시력을 자동으로 측정하여 근시, 원시 등의 굴절장애 환자들에게 신속 정확한 교정을 가능케 함 백내장 및 안질환 수술 시행"
"안과","안과검사실","경면현미경","각막의 접촉 없이 각막 내피세포를 관찰하여 정상치와 비교 분석하는 비접촉 검안기로써 각막 내피세포의 변성을 진단함과 동시에 Contact Lens 착용자의 각막 내피세포의 변성도 관찰, 진단"
