"진료과","소속부서","보유장비","진료내용"
"소화기내과","내시경실","내시경영상장치","식도의 병변, 위궤양, 위암, 소장 및 대장암, 담낭 및 췌장질환, 기타 질병을 진단 및 시술"
"소화기내과","내시경실","위 내시경","식도의 병변, 위궤양, 위암, 소장 및 대장암, 담낭 및 췌장질환, 기타 질병을 진단 및 시술"
"소화기내과","내시경실","대장 내시경","식도의 병변, 위궤양, 위암, 소장 및 대장암, 담낭 및 췌장질환, 기타 질병을 진단 및 시술"
"소화기내과","내시경실","내시경수술기","식도의 병변, 위궤양, 위암, 소장 및 대장암, 담낭 및 췌장질환, 기타 질병을 진단 및 시술"
"소화기내과","회복실","제세동기","수면 내시경 후 환자를 감시하고 응급시 심폐소생술을 할 수 있도록 함"
"소화기내과","회복실","환자감시장치","수면 내시경 후 환자를 감시하고 응급시 심폐소생술을 할 수 있도록 함"
"소화기내과","검사실","요소호흡검사기","헬리코박터균 유/무를 검사"
"호흡기내과","폐기능검사실","폐활양측정기","폐활량, 기능적 잔기량 검사, 폐확산능력, 기관지유발검사, 진폐증, 폐암 검진 등"
"순환기내과","심전도실","심전도기","각종 심장질환의 진단 및 치료"
"순환기내과","심전도실","24시 심전도 & 혈압기","각종 심장질환의 진단 및 치료"
"순환기내과","심장초음파실","심장초음파 검사기","각종 심장질환의 진단 및 치료"
"순환기내과","운동부하","운동부하검사기","각종 심장질환의 진단 및 치료"
"순환기내과","운동부하","동맥경화측정기","각종 심장질환의 진단 및 치료"
"신경과","뇌파검사실","뇌파계","뇌기능 장애에 의한 정신병, 간질, 뇌종양, 뇌혈관 질환 등을 정확히 진단"
"신경과","뇌혈류검사실","뇌혈류측정기","뇌혈관경축, 뇌동맥협착증, 뇌혈관운동반응, 뇌동정맥의 기형유무, 두개내의 측부의 용량, 뇌사판단기준, 뇌의 자졸증, 외두정맥협착증, 경동맥, 뇌압의 상승, 뇌동맥색전증 등의 진단 및 수술시 사용"
"외과","외과검사실","외과용초음파","치루 및 항문농양, 양성종양 감별, 정맥류 진단 등을 진단"
"외과","수술실","하지정맥류 수술기","하지정맥 및  소장 및 대장암 또는 기타 질병을 정확히 진단하여 복강경내의 각종 질환 수술 및 상담과 항문재건술을 시행"
"외과","수술실","복강경시스템","하지정맥 및  소장 및 대장암 또는 기타 질병을 정확히 진단하여 복강경내의 각종 질환 수술 및 상담과 항문재건술을 시행"
"정형외과","수술실","정형외과 밧데리드릴","각종 질환에 의하여 파괴된 관절을 인공관절을 사용하여 복원함, 관절경을 이용하여 관절의 피부절개 없이 진단 및 수술·치료를 시행"
"정형외과","수술실","자동 지혈장치","각종 질환에 의하여 파괴된 관절을 인공관절을 사용하여 복원함, 관절경을 이용하여 관절의 피부절개 없이 진단 및 수술·치료를 시행"
"정형외과","수술실","관절경 시스템","각종 질환에 의하여 파괴된 관절을 인공관절을 사용하여 복원함, 관절경을 이용하여 관절의 피부절개 없이 진단 및 수술·치료를 시행"
"정형외과","수술실","OS용 고속드릴","각종 질환에 의하여 파괴된 관절을 인공관절을 사용하여 복원함, 관절경을 이용하여 관절의 피부절개 없이 진단 및 수술·치료를 시행"
"정형외과","수술실","정형외과 전용 수술대","각종 관절질환 수술 시행"
"정형외과","수술실","환자고정 보조장치","각종 관절질환 수술 시행"
"정형외과","수술실","관절수술기","각종 관절질환 수술 시행"
"정형외과","검사실","근골격초음파진단기","근골격계 질환 진단 및 주사 치료 "
"정형외과","석고실","석고절단기","깁스환자 대처"
"신경외과","수술실","NS 수술용 고속드릴","척추 및 두부 수술시 사용"
"신경외과","수술실","수술용 현미경","척추 및 두부 수술시 사용"
"신경외과","수술실","Head Light Scope","척추 및 두부 수술시 사용"
"안과","안과검사실","시야검사기","각종 각막의 질환 및 굴절 장애 검사, 그리고 환자의 시력을 자동으로 측정하여 근시, 원시 등의 굴절장애 환자들에게 신속 정확한 교정을 가능케 함, 백내장 및 안질환 수술 시행"
"안과","안과검사실","자동안압계","각종 각막의 질환 및 굴절 장애 검사, 그리고 환자의 시력을 자동으로 측정하여 근시, 원시 등의 굴절장애 환자들에게 신속 정확한 교정을 가능케 함, 백내장 및 안질환 수술 시행"
"안과","안과검사실","자동굴절시력측정기","각종 각막의 질환 및 굴절 장애 검사, 그리고 환자의 시력을 자동으로 측정하여 근시, 원시 등의 굴절장애 환자들에게 신속 정확한 교정을 가능케 함, 백내장 및 안질환 수술 시행"
"안과","안과검사실","A/B Scan","각종 각막의 질환 및 굴절 장애 검사, 그리고 환자의 시력을 자동으로 측정하여 근시, 원시 등의 굴절장애 환자들에게 신속 정확한 교정을 가능케 함, 백내장 및 안질환 수술 시행"
