"진료과","부속부서","보유장비","진료 내용"
"소화기내과","간질환 클리닉","","급·만성 간염, 알콜성 및 비알콜성 지방간 및 지방간염, 간경변 및 합병증 간암 등을 진단·치료"
"소화기내과","위장간 클리닉","","식도질환(식도염, 식도궤양, 식도암)을 진단하여 치료, 위·십이지장 질환(기능성 위장 장애, 위염, 소화성 궤양, 협착, 위암) 등의 진단 및 치료, 소장 및 대장 질환(과민성 대장 증후군, 염증성 장질환, 허혈성 장질환, 대장게실, 감염성 대장염, 소장염소장마비, 대장염, 대장마비, 소장 및 대장암)등을 진단하고 치료"
"소화기내과","췌담도 클리닉","","담낭 및 담도결석, 담도암, 급·만성 췌장염, 췌장암 등을 진단·치료"
"소화기내과","췌담도 클리닉","치료 내시경","급성출혈의 내시경적 지혈, 조기 위암, 식도암, 대장암의 내시경적 절제술, 위 및 대장 용종절제술, 위장관 이물제거,위장관 협착 확장술"
"내분비내과","당뇨 클리닉","","당뇨병의 진단 및 추적 검사, 합병증 검사, 당뇨교육"
"내분비내과","갑상선 클리닉","","갑상선 기능 이상, 갑상선 결절의 진단 및 조직검사"
"내분비내과","골다공증 클리닉","","골다공증의 진단(골밀도 검사)과 진료"
"내분비내과","뇌하수체 및 부신 클리닉","","뇌하수체 및 부신 질환의 진료"
"순환기내과","고혈압 클리닉","24시간활동혈압측정기 7대","혈압측정, 고지혈증검사, 소변 혈당검사, 심초음파 등을 통한 고혈압 치료부터 교육"
"순환기내과","관상동맥질환  클리닉","운동부하검사기 1대","협심증과 심근경색증환자에 대한 심초음파, 운동부하 심전도 및 심혈관조영술, 성형 등을 통해 진단과 치료를 체계적 시행"
"순환기내과","관상동맥질환  클리닉","SPECT",""
"순환기내과","관상동맥질환  클리닉","Cardiac CT",""
"순환기내과","관상동맥질환  클리닉","심혈관 조영촬영기",""
"순환기내과","심장판막 클리닉","","심장판막의 협착과 폐쇄부전증에 대해 심초음파를 통한 진단과 판막 성형술 등의 시행"
"순환기내과","심혈관 조영실","심혈관조영 촬영기 2대","협심증 또는 급성심근경색증 환자에서심혈관조영술과 풍선확장술 및 그물망 삽입술"
"순환기내과","심혈관 조영실","혈관내 초음파기",""
"순환기내과","심장초음파실","심초음파 진단기 6대","심근경색증, 허혈성심질환, 선천성심질환, 판막질환, 심내막염 등 심장의 구조적, 기능적 이상을 확인"
"순환기내과","부정맥 클리닉","24시간 Holter 12대","부정맥 진단에 유요한 검사로 일상생활중 간헐적으로 발생되는 심계항진이나 호흡곤란, 흉통 등의 증상과 부정맥과의 연관성, "
"순환기내과","부정맥 클리닉","Event Recorder(간헐적 심전도 검사)","연관성, 항부정맥제의 효과 판정, 인공심박동기의 상태 판정 등에 유용한 검사"
"순환기내과","심전도실","심전도기 4대","다양한 심장질환의 진단과 치료에 기본이 되는 검사"
"순환기내과","심전도실","운동부하 심전도기",""
"순환기내과","심혈관센터","","경식도초음파, 경피적 관상동맥 중재술(PCI), 대동맥류 시술, 경피적 대동맥판막치환술(TAVI), 전극도자절제술(RFCA), 영구적심박동기삽입술(PPM) 시행"
"호흡기내과","폐암 클리닉","PFT","염증성 질환 - 폐렴, 폐결핵, 폐농양, 비결핵항산균 폐질환, 객혈"
"호흡기내과","결핵 클리닉","Bronchoscopy","기도 질환 - 만성폐쇄성폐질환(폐기종, 만성기관지염), 천식, 기관지확장증"
"호흡기내과","알레르기 클리닉","EBUS","늑막 질환 - 늑막염, 기흉, 농흉, 간질성 폐질환 - 특발성 폐섬유화증 및 면역질환 관련 간질성 폐질환, 종양 - 폐암, 양성폐종양 ,중환자실 - 급성호흡부전, 중환자치료, 알레르기 - 만성기침, 비염, 만성두드러기, 약물알레르기, 호산구증가증, 알레르기 질환, 폐기능검사실 - 다양한 호흡기 질환을 진단하기 위한 폐기능검사, 기관지내시경 - 폐암 및 각종 감염성 폐질환 진단, 초음파기관지내시경 - 폐암의 진단 및 병기결정, 악성질환의 종격동 림프절 전이 진단"
"신장내과","혈액투석실","혈액투석기 25대","유지혈액투석 및 응급투석"
"신장내과","혈액투석실","B.Braun 25대","타과 혈액투석 환자 관리, 혈관통로 관리"
"신장내과","복막투석실","","유지복막투석 시행, 외래환자 및 타과포함 병동 복막투석 환자 관리, 복막투석 수술 후 환자관리, 복막투석 환자의 정기적 도관 set 교환, 투석 전 환자 투석교육, 외래 환자들의 조혈제 사용 교육, 말기 신부전 환자 영양 교육, 신생검(biopsy) 실시, 체수분 검사"
"신장내과","사구체신염 클리닉","복부초음파기기","다양한 사구체신염의 진단 및 치료"
"신장내과","사구체신염 클리닉","Sosonite","진단을 위한 신장 조직검사 시행"
"신장내과","신장이식센터","","신이식전과 이식후 환자의 진료, 신이식 예정 환자의 관리"
"신장내과","만성콩팥병 클리닉","","만성 신장병 환자들의 단계별 관리 및 약물치료, 영양교육, 투석 전 단계 환자의 투석 전 관리"
"신장내과","중환자실 CRRT","CRRT 8대","중환자실 CRRT 운용 및 전공의 교육"
"신장내과","중환자실 CRRT","portable RO","이동없이 중환자실 내에서 투석 시행"
"신장내과","중환자실 CRRT","FMC 2대",""
"신장내과","중환자실 CRRT","Prismafles 6대",""
"감염내과","","","미생물에 의해 발생하는 모든 감염질환을 진단·치료하고, 예방 교육 실시, 각종 전염병의 진단·치료·예방 및 관리 교육 - 신종 인플루엔자의 진단·치료 및 교육 - COVID-19 의 진단·치료 및 교육, 병원 감염의 진단·치료 및 교육, 후천성면역결핍증 환자 등의 면역 저하자에게서 발생하는 기회감염 질환의 진료 및 치료"
"감염내과","예방접종","","성인 예방접종 상담 및 접종 실시"
"감염내과","예방접종 연구 클리닉","","연령에 따른 예방접종 연구를 통한 면역증진 강화"
"혈액종양내과","종양내과","","각종 암(폐암, 식도암, 위암, 대장암, 췌장암, 담관암, 간암, 신장암, 요관암, 방광암, 전립선암, 유방암, 두경부암, 육종암, 원발 미상암, 기타 고형암 등)의 진단, 보조항암화학요법 및 고식적 항암화학요법 IRB 승인 후 고형암의 임상실험 수행 보존적 치료"
"혈액종양내과","혈액질환","","혈액 질환의 진단 및 치료, 골수검사 시행, 급성 백혈병의 관해유도 항암화학요법, 만성 백혈병의 항암화학요법, 림프종의 항암화학요법, 다발성 골수종의 항암화학요법, 자가조혈모세포이식, 골수이형성 증후군의 항암화학요법, 빈혈 등 각종 양성 혈액질환의 치료, IRB 승인 후 혈액질환과 관련된 임상실험 수행, 보존적 치료"
"류마티스내과","관절염 클리닉","관절초음파","류마티스 관절염, 퇴행성 관절염(골관절염) 등 각종 관절염에 관한 진단 및 치료와 예방교육, 운동요법 교육"
"류마티스내과","루푸스 클리닉","","전신선 홍반성 루푸스 및 항인지질 항체 증후군 등의 진단과 치료 및 예방교육"
"류마티스내과","통풍 클리닉","편광 현미경","통풍 및 가성통풍의 진단과 치료 및 예방교육"
"류마티스내과","강직성 척추염 클리닉","","강직성 척추염 및 각종 말초척추관절염의 진단 및 치료와 예방교육, 운동요법 교육"
"류마티스내과","염증성 근육병 클리닉","","염증성 근육병의 진단 및 치료와 예방교육"
"류마티스내과","혈관염 클리닉","","베체트병 등 각종 혈관염의 진단 및 치료와 예방교육"
"류마티스내과","섬유근통 클리닉","","섬유근통의 진단 및 치료와 예방교육, 운동요법 교육"
"류마티스내과","그 밖의 자가면역 ","손톱모세혈관 현미경","류마티스성 다발성 근육통, 성인 스틸씨병, 재발성 류마티즘, 쇼그렌 증후군, 전신경화증 등의 진단 및 치료와 예방교육"
"류마티스내과","질환 클리닉","",""
"소아청소년과","진료실","","소아청소년의 질병의 진단과 치료, 관리 교육 선천성 기형 및 대사성 질환 조기진단"
"소아청소년과","상담실","신체계측기 및 놀이기구","영·유아의 성장과 발달 및 건강상태를 주기적으로 점검하고, 교육"
"소아청소년과","예방접종실","","예방접종 시행"
"소아청소년과","선천성심장질환상담","초음파 및 심전도","선천성 심장질환의 진단 및 추적관찰"
"소아청소년과","알레르기클리닉","최대호기속도측정기","알레르기 질환을 진단·치료하고 환자의 자기관리 및 환경관리 교육"
"소아청소년과","신생아실","인큐베이터","정상 신생아의 이행기 관리"
"소아청소년과","신생아실","광선요법기","신생아 질환의 조기 발견 및 치료"
"소아청소년과","신생아실","신체계측기","고위험 신생아 관리 황달치료"
"신경과","뇌졸중 클리닉","뇌파검사기","뇌경색, 뇌출혈, 뇌전증, 뇌종양, 퇴행성질환 (알쯔하이머, 치매, 혈관성 치매, 파킨슨병 및 증후군), 척수염, 경추 및 요추척추질환"
"신경과","치매 센터","뇌혈류검사기","운동신경핵질환(예, 근위축축삭경화증), 유전성신경질환 (예, 윌슨병), 척수소뇌실조증, 당뇨성신경증 및 여러 원인에 의한"
"신경과","보톡스 클리닉","유발전위검사기","말초신경병증, 두통, 어지러움, 수면장애, 선천적뇌혈관질환 (예, 모아모야병)등의 질환을 진료하고 있음"
"신경과","운동질환 클리닉","안진검사기",""
"신경과","수면장애,뇌전증클리닉","신경전도·근전도검사기",""
"신경과","수면장애,뇌전증클리닉","자율신경기능 검사기",""
"신경과","수면장애,뇌전증클리닉","경동맥 초음파 검사기",""
"신경과","수면장애,뇌전증클리닉","경두개 자기자극 치료기",""
"정신건강의학과","임상심리실","","전문적인 교육을 받은 임상심리사가 심리검사를 실시함으로써 개인이 경험하고 있는 심리·사회적 문제의 상태와 그 정도 및 원인을 밝히고, 각종 질병과 관련 있는 심리적 요인과 극복을 위한 중요한 정보 제공"
"정신건강의학과","외상후 스트레스","","전쟁, 대형사고, 천재지변, 화재, 성폭력 등으로 발생한 불안장애 중의 하나로 진단 및 치료, 이와 관련된 동반 정신질환의"
"정신건강의학과","장애 클리닉","","중의 하나로 진단 및 치료, 이와 관련된 동반 정신질환의 "
"정신건강의학과","우울장애 클리닉","","주요우울병, 감정부전장애 등 우울증에 대한 진단, 치료 및 교육 시행"
"정신건강의학과","불안장애 클리닉","","공황장애, 범불안장애,사회공포증 등의 불안장애의 진단, 치료 및 교육 시행"
"정신건강의학과","치매 및 기억력 장애클리닉","","알츠하이머치매, 혈관성 치매, 파킨슨 치매, 루이소체 치매 등의 진단, 치매 및 교육 시행"
"정신건강의학과","중독장애 클리닉","","알코올 및 기타 중독에 대한 치료와 예방, 재활 및 교육 시행"
"정신건강의학과","경두개 자기자극 치료실","","대뇌피질의 특정부위를 자기장으로 직접 자극하여 우울증, 조현병, 불안장애, 강박장애, 신체화 장애등의 질환에 대하여 약물치료에 효과가 없거나,  약물을 쓰기 어려운 경우, 비약물 치료를 원하는 경우 치료 방법을 제공"
"정신건강의학과","수면다원화검사실","수면다원검사기기(Grass)","수면무호흡, 불면증, 기면증, 하지불안증후군, 일주기리듬장애 등 다양한 수면장애 원인 질환에 대해서 수면의 질을 판정,치료 선택을 돕는 중요한 정보 제공"
"정신건강의학과","수면다원화검사실","C-PAP 기기",""
"정신건강의학과","수면장애클리닉","","불면증, 수면무호흡증, 수면과다증, 수면발작, 수면중 이상행동, 수면주기"
"피부과","레이저실","CO2 레이저","탄산가스 레이저를 이용하여 시술 및 치료할 수 있으며, 색소성모반(점) 등"
"피부과","레이저실","Nd-YAG laser","색소성 질환, 기미 치료"
"피부과","레이저실","Fractional laser","색소성모반, 광노화 등 다양한 피부과적 질환에 대한 치료"
"피부과","레이저실","Photo dynamic therapy","광선 각화증, 피부 종양 치료"
"피부과","레이저실","IPL","주근깨, 색소성 질환 등 다양한 피부과적 질환에 대한 치료"
"피부과","외래처치실","냉동치료기","검버섯, 광선 각화증, 켈로이드 등 피부과의 각종 치료 환자에게 냉동치료요법"
"피부과","광치료실","광치료기","건선 등의 질환에 자외선 치료시 사용"
"피부과","광치료실","엑시머레이저","건선, 아토피피부염, 원형탈모, 백반증 치료 시 사용"
"가정의학과","노인성 만성질환","","고혈압, 당뇨, 간염, 알레르기, 천식, 관절염, 골다공증과 같은 각종 성인병 및 만성질환"
"가정의학과","일차의료클리닉","","감기, 비염, 축농증, 중이염, 결막염, 요도염, 위염, 위궤양, 피부염 등의 흔한 지역사회 질환, 피로, 기운 없음, 부종, 두통, 복통, 가슴통증, 소화불량, 속쓰림, 기침, 가래, 관절통, 요통, 체중감소, 식욕감소 등의 증상과 관련된 건강 문제 진료"
"가정의학과","건강증진클리닉","","영양상담, 예방접종, 건강검진, 질병 예방"
"가정의학과","비만클리닉","체성분검사기","비만 상담 및 치료"
"가정의학과","금연클리닉","","금연상담, 약물치료"
"가정의학과","완화의료클리닉","이동용 초음파","(입원형 호스피스) 말기암환자 입원 및 신체적,정신·사회적 돌봄 (가정형 호스피스) 말기암환자 가정 방문 및 호스피스 케어 (자문형 호스피스) 말기암, 간경화 환자 병동 자문 및 호스피스 케어"
"영상의학과","X-선 촬영실","투시전용 X-ray","최신 X-ray 촬영기를 장치하여 각 진료과에서 이용할수 있으며, 투시촬영으로 식도·위장·소장·대장·담낭·신장·척추조영술, 자궁난관·연하장애평가용 식도·배변·비뇨기과·관절낭·누낭누관조영술을 시행"
"영상의학과","X-선 촬영실","디지털 X-ray","디지털, 고화질의 이미지로 다양한 처리를 통한 정확한 진단이 가능하고, PACS(의료영상저장전송시스템)시스템과 연계해 "
"영상의학과","X-선 촬영실","디지털흉부 X-ray","빠른 진료, 면담 시행"
"영상의학과","MRI 촬영실","MRI 촬영기","방사선 검사와 달리 방사선 피폭 등의 불안요소 없이 수술을 하지 않고 인체내부를 관찰할 수 있는 첨단 영상기법으로 암, 관절, 연부조직, 급성뇌경색, 비침습적 뇌혈관 등의 고해상도 영상으로 진단을 정확히 내릴 수 있는 영상진단 장비"
"영상의학과","CT 촬영실","CT 촬영기","방사선을 이용하여 검사하는 전신 컴퓨터 단층촬영기는 두부, 흉부, 복부 등 각종 질병의 조기진단 및 염증성, 혈관성 질환의 진단, 영상재구성에 의한 3차원 영상진단 등 전신 어느 부위나 단층 촬영에 의해 검사할 수 있으며, 정확도가 높아 진료, 각 과에서 광범위하게 이용"
"영상의학과","초음파 진단실","초음파 진단기","초음파를 이용하여 복부, 비뇨생식기, 혈관계, 신경/두경부, 근골격, 유방/갑상선등의 다양한 질병의 진단과 각종 초음파 유도하 조직생검, 농양배액술, 종양의 고주파치료술(RFA)등 다양한 비수술적 중재시술을 시행"
"영상의학과","골밀도 촬영실","골밀도 촬영기","고령 및 폐경기 여성의 대사성 질환으로 야기되는 골다공증에 대한  정밀진단에 이용"
"영상의학과","유방촬영실","디지털유방촬영기","X선을 이용하는 의료장비로서 이를 이용한 유방검사는 유방암 진단에 유용한 가장 기본적인 검사로서 국소검사, 확대검사, 접선검사등 특정 목적에 따른 다양한 검사는 물론 비 촉지성 유방병소의 수술전 정확한 위치결정이 필요 할 때에도 시행"
