"상병코드","상병명","국비","사비","계"
"A020","Salmonella enteritis","0","1","1"
"A039","Shigellosis, unspecified","0","1","1"
"A045","Campylobacter enteritis","0","3","3"
"A046","Enteritis due to Yersinia enterocolitica","0","1","1"
"A047","Enterocolitis due to Clostridium difficile","2","2","4"
"A080","Rotaviral enteritis","0","2","2"
"A081","Acute gastroenteropathy due to Norwalk agent","0","4","4"
"A084","Viral intestinal infection, unspecified","1","0","1"
"A090","Other and unspecified gastroenteritis and colitis of infectious origin","0","5","5"
"A099","Gastroenteritis and colitis of unspecified origin","29","72","101"
"A1501","Tuberculous of lung without cavitation or unspecified, confirmed by sputum microscopy with or without culture","0","1","1"
"A1511","Tuberculosis of lung without cavitation or unspecified, confirmed by culture only","1","5","6"
"A1531","Tuberculosis of lung without cavitation or unspecified, confirmed by unspecified means","0","2","2"
"A1561","Tuberculous pleurisy without cavitation or unspecified, confirmed bacteriologically and histologically","0","3","3"
"A1620","Tuberculosis of lung with cavitation, without mention of bacteriological or histological confirmation","0","2","2"
"A1621","Tuberculosis of lung without cavitation or unspecified, without mention of bacteriological or histological confirmation","1","6","7"
"A1651","Tuberculous pleurisy without cavitation or unspecified, without mention of bacteriological or histologicalconfirmation","2","1","3"
"A1691","Respiratory tuberculosis unspecified without cavitation or unspecified, without mention of bacteriological or histological confirmation","1","1","2"
"A170","Tuberculous meningitis(G01*)","0","1","1"
"A1819","Tuberculosis of genitourinary system, unspecified","1","0","1"
"A182","Tuberculous peripheral lymphadenopathy","1","0","1"
"A198","Other miliary tuberculosis","0","1","1"
"A310","Pulmonary mycobacterial infection","0","1","1"
"A318","Other mycobacterial infections","2","0","2"
"A4188","Other specified sepsis","3","0","3"
"A419","Sepsis, unspecified","13","6","19"
"A420","Pulmonary actinomycosis","0","1","1"
"A46","Erysipelas","1","1","2"
"A488","Other specified bacterial diseases","0","3","3"
"A491","Streptococcal and enterococcal infection, unspecified site","0","1","1"
"A493","Mycoplasma infection, unspecified site","0","1","1"
"A499","Bacterial infection, unspecified","1","1","2"
"A630","Anogenital(venereal) warts","1","0","1"
"A681","Tick-borne relapsing fever","1","0","1"
"A753","Typhus fever due to Rickettsia tsutsugamushi","0","2","2"
"A878","Other viral meningitis","1","0","1"
"B000","Eczema herpeticum","0","1","1"
"B002","Herpesviral gingivostomatitis and pharyngotonsillitis","0","1","1"
"B0088","Other herpesviral infection","0","1","1"
"B009","Herpesviral infection, unspecified","2","0","2"
"B023","Zoster ocular disease","1","0","1"
"B029","Zoster without complication","6","6","12"
"B082","Exanthema subitum [sixth disease]","0","2","2"
"B084","Enteroviral vesicular stomatitis with exanthem","0","1","1"
"B085","Enteroviral vesicular pharyngitis","0","1","1"
"B159","Hepatitis A without hepatic coma","0","2","2"
"B1810","Chronic viral hepatitis B without delta- agent","2","3","5"
"B182","Chronic viral hepatitis C","1","0","1"
"B340","Adenovirus infection, unspecified site","0","4","4"
"B341","Enterovirus infection, unspecified site","0","1","1"
"B342","Coronavirus infection, unspecified site","0","2","2"
"B351","Tinea unguium","1","0","1"
"B441","Other pulmonary aspergillosis","0","1","1"
"B909","Sequelae of respiratory and unspecified tuberculosis","1","1","2"
"C01","Malignant neoplasm of base of tongue","0","1","1"
"C029","Malignant neoplasm of tongue, unspecified","0","2","2"
"C080","Malignant neoplasm of submandibular gland","1","0","1"
"C108","Malignant neoplasm of overlapping lesion of oropharynx","0","1","1"
"C139","Malignant neoplasm of hypopharynx, unspecified","2","0","2"
"C154","Malignant neoplasm of middle third of oesophagus","0","2","2"
"C155","Malignant neoplasm of lower third of oesophagus","0","1","1"
"C159","Malignant neoplasm of oesophagus, unspecified","2","5","7"
"C1609","Malignant neoplasm of cardia, unspecified","0","1","1"
"C1611","Malignant neoplasm of fundus of stomach, advanced","0","1","1"
"C1621","Malignant neoplasm of body of stomach, advanced","0","6","6"
"C1629","Malignant neoplasm of body of stomach, unspecified","0","2","2"
"C1690","Malignant neoplasm of stomach, unspecified, early","1","1","2"
"C1691","Malignant neoplasm of stomach, unspecified, advanced","1","5","6"
"C1699","Malignant neoplasm of stomach, unspecified, unspecified","66","37","103"
"C170","Malignant neoplasm of duodenum","0","1","1"
"C179","Malignant neoplasm of small intestine, unspecified","0","1","1"
"C180","Malignant neoplasm of caecum","1","0","1"
"C181","Malignant neoplasm of appendix","1","0","1"
"C182","Malignant neoplasm of ascending colon","3","8","11"
"C184","Malignant neoplasm of transverse colon","0","2","2"
"C186","Malignant neoplasm of descending colon","2","2","4"
"C187","Malignant neoplasm of sigmoid colon","26","35","61"
"C188","Malignant neoplasm of overlapping lesion of colon","0","4","4"
"C189","Malignant neoplasm of colon, unspecified","38","14","52"
"C19","Malignant neoplasm of rectosigmoid junction","1","3","4"
"C20","Malignant neoplasm of rectum","47","17","64"
"C220","Malignant neoplasm of liver cell carcinoma","44","25","69"
"C221","Malignant neoplasm of intrahepatic bile duct carcinoma","35","35","70"
"C229","Malignant neoplasm of liver, unspecified","1","1","2"
"C23","Malignant neoplasm of gallbladder","7","10","17"
"C240","Malignant neoplasm of extrahepatic bile duct","3","8","11"
"C241","Malignant neoplasm of ampulla of Vater","2","6","8"
"C250","Malignant neoplasm of head of pancreas","0","10","10"
"C251","Malignant neoplasm of body of pancreas","0","3","3"
"C252","Malignant neoplasm of tail of pancreas","3","1","4"
"C253","Malignant neoplasm of pancreatic duct","0","1","1"
"C257","Malignant neoplasm of other parts of pancreas","0","1","1"
"C258","Malignant neoplasm of overlapping lesion of pancreas","0","1","1"
"C259","Malignant neoplasm of pancreas, unspecified","36","40","76"
"C300","Malignant neoplasm of nasal cavity","1","1","2"
"C310","Malignant neoplasm of maxillary sinus","0","2","2"
"C320","Malignant neoplasm of glottis","0","1","1"
"C329","Malignant neoplasm of larynx, unspecified","0","1","1"
"C3401","Malignant neoplasm of main bronchus, left","1","0","1"
"C3409","Malignant neoplasm of main bronchus, unspecified side","0","1","1"
"C3410","Malignant neoplasm of upper lobe, bronchus or lung, right","1","5","6"
"C3411","Malignant neoplasm of upper lobe, bronchus or lung, left","2","1","3"
"C3419","Malignant neoplasm of upper lobe, bronchus or lung, unspecified side","3","3","6"
"C342","Malignant neoplasm of middle lobe, bronchus or lung","1","3","4"
"C3430","Malignant neoplasm of lower lobe, bronchus or lung, right","1","5","6"
"C3431","Malignant neoplasm of lower lobe, bronchus or lung, left","2","4","6"
"C3439","Malignant neoplasm of lower lobe, bronchus or lung, unspecified side","1","7","8"
"C3489","Malignant neoplasm of overlapping lesion of bronchus and lung, unspecified side","2","0","2"
"C3490","Malignant neoplasm of bronchus or lung, unspecified, right","3","10","13"
"C3491","Malignant neoplasm of bronchus or lung, unspecified, left","3","6","9"
"C3499","Malignant neoplasm of bronchus or lung, unspecified, unspecified side","42","59","101"
"C381","Malignant neoplasm of anterior mediastinum","0","1","1"
"C437","Malignant melanoma of lower limb, including hip","0","1","1"
"C439","Malignant melanoma of skin, unspecified","0","1","1"
"C445","Malignant neoplasm of skin of trunk","0","1","1"
"C459","Mesothelioma, unspecified","0","1","1"
"C480","Malignant neoplasm of retroperitoneum","0","2","2"
"C482","Malignant neoplasm of peritoneum, unspecified","0","2","2"
"C499","Malignant neoplasm of connective and soft tissue, unspecified","4","6","10"
"C5011","Malignant neoplasm of central portion of breast, left","0","2","2"
"C5019","Malignant neoplasm of central portion of breast, unspecified side","0","1","1"
"C5090","Malignant neoplasm of breast unspecified, right","0","3","3"
"C5091","Malignant neoplasm of breast unspecified, left","0","3","3"
"C5099","Malignant neoplasm of breast unspecified, unspecified side","0","8","8"
"C539","Malignant neoplasm of cervix uteri, unspecified","0","2","2"
"C569","Malignant neoplasm of ovary, unspecified side","0","5","5"
"C58","Malignant neoplasm of placenta","0","1","1"
"C61","Malignant neoplasm of prostate","51","43","94"
"C649","Malignant neoplasm of kidney, except renal pelvis, unspecified side","2","4","6"
"C650","Malignant neoplasm of renal pelvis, right","1","1","2"
"C660","Malignant neoplasm of ureter, right","0","2","2"
"C661","Malignant neoplasm of ureter, left","1","0","1"
"C678","Malignant neoplasm of overlapping lesion of bladder","0","1","1"
"C679","Malignant neoplasm of bladder, unspecified","51","23","74"
"C710","Malignant neoplasm of cerebrum, except lobes and ventricles","0","7","7"
"C719","Malignant neoplasm of brain, unspecified","1","0","1"
"C73","Malignant neoplasm of thyroid gland","5","5","10"
"C7930","Secondary malignant neoplasm of brain","4","2","6"
"C794","Secondary malignant neoplasm of other and unspecified parts of nervous system","1","0","1"
"C7950","Secondary malignant neoplasm of bone","4","1","5"
"C800","Malignant neoplasm, primary site unknown, so stated","0","3","3"
"C809","Malignant neoplasm, primary site unspecified","1","1","2"
"C8338","Other and unspecified diffuse large B-cell lymphoma","0","3","3"
"C849","Mature T/NK-cell lymphoma, unspecified","0","1","1"
"C859","Non-Hodgkin lymphoma, unspecified","13","3","16"
"C900","Multiple myeloma","4","0","4"
"C9208","Other and unspecified acute myeloblastic leukaemia","0","3","3"
"C929","Myeloid leukaemia, unspecified","0","1","1"
"D002","Carcinoma in situ of stomach","1","0","1"
"D012","Carcinoma in situ of rectum","0","1","1"
"D0519","Intraductal carcinoma in situ of breast, unspecified side","0","1","1"
"D090","Carcinoma in situ of bladder","2","2","4"
"D091","Carcinoma in situ of other and unspecified urinary organs","0","1","1"
"D119","Benign neoplasm of major salivary gland, unspecified","1","0","1"
"D120","Benign neoplasm of cecum","1","0","1"
"D121","Benign neoplasm of appendix","1","2","3"
"D125","Benign neoplasm of sigmoid colon","1","3","4"
"D126","Benign neoplasm of colon, unspecified","0","1","1"
"D127","Benign neoplasm of rectosigmoid junction","6","4","10"
"D129","Benign neoplasm of anus and anal canal","1","1","2"
"D131","Benign neoplasm of stomach","32","25","57"
"D132","Benign neoplasm of duodenum","2","1","3"
"D135","Benign neoplasm of extrahepatic bile ducts","4","3","7"
"D136","Benign neoplasm of pancreas","5","1","6"
"D1439","Benign neoplasm of bronchus and lung, unspecified side","0","1","1"
"D150","Benign neoplasm of thymus","0","1","1"
"D152","Benign neoplasm of mediastinum","0","1","1"
"D169","Benign neoplasm of bone and articular cartilage, unspecified","0","1","1"
