"상병코드","상병명","국비","사비"
"A045 ","Campylobacter enteritis ","","2"
"A047 ","Enterocolitis due to Clostridium difficile ","1","1"
"A084 ","Viral intestinal infection, unspecified ","2",""
"A099 ","Gastroenteritis and colitis of unspecified origin ","27","22"
"A1531 ","Tuberculosis of lung without cavitation or unspecified, confirmed by unspecified means ","2",""
"A1561 ","Tuberculous pleurisy without cavitation or unspecified, confirmed bacteriologically and histologically ","1",""
"A1621 ","Tuberculosis of lung without cavitation or unspecified, without mention of bacteriological or histological confirmation ","","3"
"A1650 ","Tuberculous pleurisy with cavitation, without mention of bacteriological or histological confirmation ","","1"
"A310 ","Pulmonary mycobacterial infection ","","1"
"A318 ","Other mycobacterial infections ","3",""
"A4150 ","Sepsis due to Escherichia coli[E. coli] ","","1"
"A419 ","Sepsis, unspecified ","5","6"
"A499 ","Bacterial infection, unspecified ","2","5"
"A753 ","Typhus fever due to Rickettsia tsutsugamushi ","2",""
"A819 ","Atypical virus infection of central nervous system, unspecified ","","1"
"A879 ","Viral meningitis, unspecified ","","1"
"B009 ","Herpesviral infection, unspecified ","1","1"
"B023 ","Zoster ocular disease ","1",""
"B028 ","Zoster with other complications ","","1"
"B029 ","Zoster without complication ","5","5"
"B171 ","Acute hepatitis C ","","1"
"B258 ","Other cytomegaloviral diseases ","1",""
"C023 ","Malignant neoplasm of anterior two-thirds of tongue, part unspecified ","1",""
"C069 ","Malignant neoplasm of mouth, unspecified ","","2"
"C07 ","Malignant neoplasm of parotid gland ","","2"
"C111 ","Malignant neoplasm of posterior wall of nasopharynx ","","1"
"C119 ","Malignant neoplasm of nasopharynx, unspecified ","","1"
"C138 ","Malignant neoplasm of overlapping lesion of hypopharynx ","2",""
"C139 ","Malignant neoplasm of hypopharynx, unspecified ","","1"
"C151 ","Malignant neoplasm of thoracic part of oesophagus ","","1"
"C153 ","Malignant neoplasm of upper third of oesophagus ","","1"
"C154 ","Malignant neoplasm of middle third of oesophagus ","","1"
"C155 ","Malignant neoplasm of lower third of oesophagus ","1",""
"C159 ","Malignant neoplasm of oesophagus, unspecified ","3","4"
"C1609 ","Malignant neoplasm of cardia, unspecified ","","1"
"C1619 ","Malignant neoplasm of fundus of stomach, unspecified ","","1"
"C1621 ","Malignant neoplasm of body of stomach, advanced ","","1"
"C1629 ","Malignant neoplasm of body of stomach, unspecified ","","2"
"C1690 ","Malignant neoplasm of stomach, unspecified, early ","2","1"
"C1691 ","Malignant neoplasm of stomach, unspecified, advanced ","11","10"
"C1699 ","Malignant neoplasm of stomach, unspecified, unspecified ","34","27"
"C170 ","Malignant neoplasm of duodenum ","2","2"
"C182 ","Malignant neoplasm of ascending colon ","","3"
"C183 ","Malignant neoplasm of hepatic flexure ","","1"
"C184 ","Malignant neoplasm of transverse colon ","","1"
"C187 ","Malignant neoplasm of sigmoid colon ","1","7"
