"상병코드","상병명"," 국비 "," 사비 "
"A020","살모넬라장염","1","0"
"A047","클로스트리듐 디피실리에 의한 장결장염","6","5"
"A084","상세불명의 바이러스성 장감염","1","0"
"A090","감염성 기원의 기타 및 상세불명의 위장염 및 결장염","16","13"
"A099","상세불명 기원의 위장염 및 결장염","55","39"
"A1501","배양 유무에 관계없이 가래 현미경 검사로 확인된 공동이 없거나 상세불명의 폐결핵","1","0"
"A1511","배양만으로 확인된 공동이 없거나 상세불명의 폐결핵","5","1"
"A1531","상세불명의 수단으로 확인된 공동이 없거나 상세불명의 폐결핵","0","2"
"A1600","세균학적 및 조직학적으로 음성인 공동이 있는 폐결핵","1","0"
"A1601","세균학적 및 조직학적으로 음성인 공동이 없거나 상세불명의 폐결핵","1","1"
"A1621","세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 폐결핵","1","3"
"A1651","세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 결핵성 흉막염","1","1"
"A1691","세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 호흡기결핵","2","0"
"A1814","기타 남성생식기관의 결핵(N510*)","1","0"
"A1883","심장의 결핵","0","1"
"A199","상세불명의 좁쌀결핵","0","1"
"A310","폐마이코박테리아감염","0","1"
"A318","기타 마이코박테리아감염","1","0"
"A319","상세불명의 마이코박테리아감염","1","0"
"A370","보르데텔라 페르투시스에 의한 백일해","0","1"
"A4153","아시네토박터에 의한 패혈증","1","0"
"A419","상세불명의 패혈증","11","16"
"A488","기타 명시된 세균성 질환","0","1"
"A492","상세불명 부위의 인플루엔자균감염","0","1"
"A499","상세불명의 세균감염","0","1"
"A753","리케차 쯔쯔가무시에 의한 발진티푸스","1","2"
"A879","상세불명의 바이러스수막염","0","1"
"B0051","각막염(H191*)","0","2"
"B022","기타 신경계통 침범을 동반한 대상포진","8","9"
"B027","파종성 대상포진","1","0"
"B029","합병증이 없는 대상포진","3","1"
"B179","상세불명의 급성 바이러스간염","1","1"
"B180","델타0병원체가 있는 만성 바이러스B형간염","0","1"
"B1810","델타0병원체가 없는 만성 바이러스B형간염","2","5"
"B182","만성 바이러스C형간염","1","10"
"B189","상세불명의 만성 바이러스간염","0","3"
"B279","상세불명의 감염성 단핵구증","0","1"
"B351","손발톱백선","1","0"
"B3780","칸디다식도염","1","0"
"B3788","기타 부위의 칸디다증","1","0"
"B441","기타 폐아스페르길루스증","1","0"
"B449","상세불명의 아스페르길루스증","3","1"
"B49","상세불명의 진균증","1","0"
"B909","호흡기 및 상세불명 결핵의 후유증","5","0"
"B951","다른 장에서 분류된 질환의 원인으로서의 B군연쇄구균","0","1"
"B952","다른 장에서 분류된 질환의 원인으로서의 D군연쇄구균 및 장내구균","2","10"
"B953","다른 장에서 분류된 질환의 원인으로서의 폐렴연쇄구균","0","1"
"B955","다른 장에서 분류된 질환의 원인으로서의 상세불명의 연쇄구균","0","2"
"B956","다른 장에서 분류된 질환의 원인으로서의 황색포도구균","4","5"
"B958","다른 장에서 분류된 질환의 원인으로서의 상세불명의 포도구균","2","1"
"B960","다른 장에서 분류된 질환의 원인으로서의 폐렴마이코플라스마","1","0"
"B961","다른 장에서 분류된 질환의 원인으로서의 폐렴막대균","9","13"
"B962","다른 장에서 분류된 질환의 원인으로서의 대장균","41","45"
"B963","다른 장에서 분류된 질환의 원인으로서의 인플루엔자균","1","1"
"B964","다른 장에서 분류된 질환의 원인으로서의 프로테우스 (미라빌리스)(모르가니)","1","3"
"B965","다른 장에서 분류된 질환의 원인으로서의 슈도모나스 (아에루기노사)","7","14"
"B9680","다른 장에서 분류된 질환의 원인으로서의 아시네토박터바우마니","5","8"
"B9681","다른 장에서 분류된 질환의 원인으로서의 장내세균속균","1","8"
"C049","상세불명의 입바닥의 악성 신생물","1","0"
"C069","상세불명의 입의 악성 신생물","0","3"
"C099","상세불명의 편도의 악성 신생물","0","1"
"C109","상세불명의 입인두의 악성 신생물","1","0"
"C159","상세불명의 식도의 악성 신생물","1","3"
"C1609","분문의 악성 신생물, 상세불명","0","3"
"C1621","위의 체부의 악성 신생물, 진행형","1","1"
"C1629","위의 체부의 악성 신생물, 상세불명","0","2"
"C1630","유문동의 악성 신생물, 조기","2","1"
"C1631","유문동의 악성 신생물, 진행형","0","3"
"C1639","유문동의 악성 신생물, 상세불명","2","2"
"C1649","유문의 악성 신생물, 상세불명","0","1"
"C1690","상세불명의 위의 악성 신생물, 조기","1","0"
"C1691","상세불명의 위의 악성 신생물, 진행형","4","4"
"C1699","상세불명의 위의 악성 신생물, 상세불명","10","11"
"C180","맹장의 악성 신생물","0","5"
"C181","충수의 악성 신생물","0","1"
"C182","상행결장의 악성 신생물","0","1"
"C184","횡행결장의 악성 신생물","1","0"
"C187","구불결장의 악성 신생물","3","11"
"C19","직장구불결장접합부의 악성 신생물","0","4"
"C20","직장의 악성 신생물","7","6"
"C220","간세포암종의 악성 신생물","17","13"
"C221","간내담관암종의 악성 신생물","10","9"
"C23","담낭의 악성 신생물","1","3"
"C240","간외담관의 악성 신생물","8","5"
"C241","파터팽대의 악성 신생물","0","1"
"C250","췌장의 두부의 악성 신생물","1","1"
"C251","췌장의 체부의 악성 신생물","0","1"
"C253","췌관의 악성 신생물","2","0"
"C259","상세불명의 췌장의 악성 신생물","9","15"
"C320","성문의 악성 신생물","1","0"
