"상병코드","상병명","국비","사비","계"
"A047","클로스트리듐 디피실리에 의한 장결장염","2","5","7"
"A049","상세불명의 세균성 장감염","1","0","1"
"A090","감염성 기원의 기타 및 상세불명의 위장염 및 결장염","6","9","15"
"A099","상세불명 기원의 위장염 및 결장염","39","22","61"
"A1511","배양만으로 확인된 공동이 없거나 상세불명의 폐결핵","2","0","2"
"A1600","세균학적 및 조직학적으로 음성인 공동이 있는 폐결핵","1","0","1"
"A1601","세균학적 및 조직학적으로 음성인 공동이 없거나 상세불명의 폐결핵","1","0","1"
"A1691","세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 호흡기결핵","0","2","2"
"A1883","심장의 결핵","2","1","3"
"A1888","기타 부위의 결핵","1","1","2"
"A410","황색포도구균에 의한 패혈증","1","0","1"
"A411","기타 명시된 포도구균에 의한 패혈증","1","0","1"
"A4159","상세불명의 그람음성균에 의한 패혈증","1","0","1"
"A4188","기타 명시된 패혈증","1","0","1"
"A419","상세불명의 패혈증","8","5","13"
"A46","단독(丹毒)","1","0","1"
"A488","기타 명시된 세균성 질환","1","0","1"
"A499","상세불명의 세균감염","2","0","2"
"A753","리케차 쯔쯔가무시에 의한 발진티푸스","1","4","5"
"B022","기타 신경계통 침범을 동반한 대상포진","3","2","5"
"B023","대상포진눈병","1","0","1"
"B029","합병증이 없는 대상포진","2","4","6"
"B07","바이러스사마귀","2","2","4"
"B09","피부 및 점막병변이 특징인 상세불명의 바이러스감염","0","1","1"
"B178","기타 명시된 급성 바이러스간염","0","2","2"
"B179","상세불명의 급성 바이러스간염","1","8","9"
"B180","델타-병원체가 있는 만성 바이러스B형간염","1","0","1"
"B1810","델타-병원체가 없는 만성 바이러스B형간염","3","4","7"
"B182","만성 바이러스C형간염","2","6","8"
"B279","상세불명의 감염성 단핵구증","0","1","1"
"B308","기타 바이러스결막염(H131*)","0","1","1"
"B349","상세불명의 바이러스감염","0","1","1"
"B351","손발톱백선","1","0","1"
"B359","상세불명의 백선증","0","1","1"
"B3788","기타 부위의 칸디다증","1","0","1"
"B379","상세불명의 칸디다증","0","1","1"
"B440","침습성 폐아스페르길루스증","1","0","1"
"B86","옴","1","2","3"
"B909","호흡기 및 상세불명 결핵의 후유증","1","2","3"
"B948","기타 명시된 감염성 및 기생충성 질환의 후유증","1","0","1"
"B952","다른 장에서 분류된 질환의 원인으로서의 D군연쇄구균 및 장내구균","7","0","7"
"B956","다른 장에서 분류된 질환의 원인으로서의 황색포도구균","13","1","14"
"B957","다른 장에서 분류된 질환의 원인으로서의 기타 포도구균","1","0","1"
"B958","다른 장에서 분류된 질환의 원인으로서의 상세불명의 포도구균","7","0","7"
"B961","다른 장에서 분류된 질환의 원인으로서의 폐렴막대균","10","2","12"
"B962","다른 장에서 분류된 질환의 원인으로서의 대장균","25","25","50"
"B964","다른 장에서 분류된 질환의 원인으로서의 프로테우스 (미라빌리스)(모르가니)","3","0","3"
"B965","다른 장에서 분류된 질환의 원인으로서의 슈도모나스 (아에루기노사)","8","1","9"
