"상병코드","상  병  명","국비","사비"
"A046","예르시니아 엔테로콜리티카에 의한 장염","1","0"
"A047","클로스트리듐 디피실리에 의한 장결장염","2","4"
"A048","기타 명시된 세균성 장감염","4","1"
"A084","상세불명의 바이러스성 장감염","4","3"
"A090","감염성 기원의 기타 및 상세불명의 위장염 및 결장염","11","17"
"A099","상세불명 기원의 위장염 및 결장염","18","31"
"A1501","배양 유무에 관계없이 가래 현미경 검사로 확인된 공동이 없거나 상세불명의 폐결핵","0","2"
"A1511","배양만으로 확인된 공동이 없거나 상세불명의 폐결핵","0","1"
"A1531","상세불명의 수단으로 확인된 공동이 없거나 상세불명의 폐결핵","0","1"
"A1561","세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 결핵성 흉막염","2","0"
"A1591","세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 상세불명의 호흡기결핵","1","1"
"A1600","세균학적 및 조직학적으로 음성인 공동이 있는 폐결핵","1","0"
"A1601","세균학적 및 조직학적으로 음성인 공동이 없거나 상세불명의 폐결핵","0","1"
"A1611","세균학적 및 조직학적 검사를 하지 않은 공동이 없거나 상세불명의 폐결핵","0","2"
"A1621","세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 폐결핵","0","1"
"A1630","세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 흉곽내림프절의 결핵","0","1"
"A1690","세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 상세불명의 호흡기결핵","1","2"
"A1691","세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 호흡기결핵","0","1"
"A310","폐마이코박테리아감염","0","1"
"A319","상세불명의 마이코박테리아감염","2","0"
"A4158","기타 명시된 그람음성균에 의한 패혈증","2","0"
"A4188","기타 명시된 패혈증","2","1"
"A419","상세불명의 패혈증","5","3"
"A492","상세불명 부위의 인플루엔자균감염","0","1"
"A528","잠복성 만기매독","0","1"
"A530","조기인지 만기인지 상세불명의 잠복매독","0","1"
"A539","상세불명의 매독","0","1"
"A630","항문생식기의(성병성) 사마귀","1","0"
"A753","리케차 쯔쯔가무시에 의한 발진티푸스","2","4"
"B009","상세불명의 헤르페스바이러스감염","8","4"
"B022","기타 신경계통 침범을 동반한 대상포진","5","1"
"B029","합병증이 없는 대상포진","0","1"
"B07","바이러스사마귀","1","2"
"B159","간성 혼수가 없는 A형간염","2","12"
"B1810","델타-병원체가 없는 만성 바이러스B형간염","1","0"
"B182","만성 바이러스C형간염","3","4"
"B351","손발톱백선","48","26"
"B352","손백선","1","0"
"B353","발백선","58","31"
"B354","체부백선","8","8"
"B356","사타구니백선증","5","2"
"B370","칸디다구내염","0","1"
"B377","칸디다패혈증","0","1"
"B3780","칸디다식도염","0","1"
"B3788","기타 부위의 칸디다증","1","0"
"B448","기타 형태의 아스페르길루스증","1","0"
"B49","상세불명의 진균증","1","0"
"B86","옴","6","2"
"B909","호흡기 및 상세불명 결핵의 후유증","0","2"
