"상병코드","상병명","국비","사비"
"A047","클로스트리듐 디피실리에 의한 장결장염","2","10"
"A048","기타 명시된 세균성 장감염","5",""
"A084","상세불명의 바이러스성 장감염","5",""
"A090","감염성 기원의 기타 및 상세불명의 위장염 및 결장염","15","28"
"A099","상세불명 기원의 위장염 및 결장염","22","21"
"A1501","배양 유무에 관계없이 가래 현미경 검사로 확인된 공동이 없거나 상세불명의 폐결핵","1","1"
"A1530","상세불명의 수단으로 확인된 공동이 있는 폐결핵","","1"
"A1531","상세불명의 수단으로 확인된 공동이 없거나 상세불명의 폐결핵","","1"
"A1561","세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 결핵성 흉막염","1",""
"A1591","세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 상세불명의 호흡기결핵","","3"
"A1621","세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 폐결핵","1",""
"A1651","세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 결핵성 흉막염","2","2"
"A318","기타 마이코박테리아감염","","2"
"A319","상세불명의 마이코박테리아감염","","1"
"A4150","대장균에 의한 패혈증","","1"
"A4151","슈도모나스에 의한 패혈증","1",""
"A4158","기타 명시된 그람음성균에 의한 패혈증","2",""
"A419","상세불명의 패혈증","6","6"
"A490","상세불명 부위의 포도구균감염","1",""
"A492","상세불명 부위의 인플루엔자균감염","1",""
"A498","상세불명 부위의 기타 세균감염","1",""
"A515","잠복성 조기매독","1",""
"A528","잠복성 만기매독","","1"
"A539","상세불명의 매독","","1"
"A563","항문 및 직장의 클라미디아감염","1",""
"A753","리케차 쯔쯔가무시에 의한 발진티푸스","1","2"
"B0050","홍채섬모체염(H220*)","1",""
"B009","상세불명의 헤르페스바이러스감염","3","4"
"B022","기타 신경계통 침범을 동반한 대상포진","1","1"
"B028","기타 합병증을 동반한 대상포진","1",""
"B029","합병증이 없는 대상포진","2",""
"B1810","델타-병원체가 없는 만성 바이러스B형간염","6","1"
"B182","만성 바이러스C형간염","1",""
"B351","손발톱백선","46","14"
"B353","발백선","53","18"
"B354","체부백선","12","3"
"B356","사타구니백선증","2","1"
"B377","칸디다패혈증","","1"
"B3780","칸디다식도염","4","1"
"B448","기타 형태의 아스페르길루스증","","1"
"B49","상세불명의 진균증","3","3"
"B86","옴","15","2"
"B956","다른 장에서 분류된 질환의 원인으로서의 황색포도구균","","1"
"B980","다른 장에서 분류된 질환의 원인으로서의 헬리코박터 파일로리균","1",""
"B99","기타 및 상세불명의 감염성 질환","1",""
"C039","상세불명의 잇몸의 악성 신생물","","1"
"C069","상세불명의 입의 악성 신생물","","1"
"C080","턱밑샘의 악성 신생물","","1"
"C089","상세불명의 주침샘의 악성 신생물","2",""
"C099","상세불명의 편도의 악성 신생물","","1"
"C119","상세불명의 비인두의 악성 신생물","","1"
"C12","이상동(梨狀洞)의 악성 신생물","1",""
"C151","흉부식도의 악성 신생물","","1"
"C159","상세불명의 식도의 악성 신생물","2","4"
"C1619","위의 저부의 악성 신생물, 상세불명","1",""
"C1620","위의 체부의 악성 신생물, 조기","","2"
"C1621","위의 체부의 악성 신생물, 진행형","1","4"
"C1629","위의 체부의 악성 신생물, 상세불명","","1"
"C1631","유문동의 악성 신생물, 진행형","","3"
"C1639","유문동의 악성 신생물, 상세불명","9","4"
"C1691","상세불명의 위의 악성 신생물, 진행형","1","7"
"C1699","상세불명의 위의 악성 신생물, 상세불명","18","13"
"C171","공장의 악성 신생물","","1"
"C180","맹장의 악성 신생물","14","1"
"C182","상행결장의 악성 신생물","18","6"
"C183","간굴곡의 악성 신생물","","1"
"C184","횡행결장의 악성 신생물","","5"
"C186","하행결장의 악성 신생물","1","8"
"C187","구불결장의 악성 신생물","27","21"
"C188","결장의 중복병변의 악성 신생물","","1"
"C189","상세불명의 결장의 악성 신생물","4","10"
"C19","직장구불결장접합부의 악성 신생물","6","2"
"C20","직장의 악성 신생물","7","4"
"C220","간세포암종의 악성 신생물","13","10"
"C221","간내담관암종의 악성 신생물","6","9"
"C23","담낭의 악성 신생물","3","4"
"C240","간외담관의 악성 신생물","5","2"
"C241","파터팽대의 악성 신생물","2","3"
"C250","췌장의 두부의 악성 신생물","3","5"
"C251","췌장의 체부의 악성 신생물","","3"
"C252","췌장의 꼬리의 악성 신생물","2","2"
"C253","췌관의 악성 신생물","","1"
"C259","상세불명의 췌장의 악성 신생물","5","4"
"C329","상세불명의 후두의 악성 신생물","","1"
"C3409","주기관지의 악성 신생물, 상세불명 쪽","","1"
"C3410","상엽, 기관지 또는 폐의 악성 신생물, 오른쪽","3","3"
"C3411","상엽, 기관지 또는 폐의 악성 신생물, 왼쪽","1","5"
"C3419","상엽, 기관지 또는 폐의 악성 신생물, 상세불명 쪽","1",""
"C342","중엽, 기관지 또는 폐의 악성 신생물","2",""
"C3430","하엽, 기관지 또는 폐의 악성 신생물, 오른쪽","2","1"
"C3431","하엽, 기관지 또는 폐의 악성 신생물, 왼쪽","4","4"
"C3439","하엽, 기관지 또는 폐의 악성 신생물, 상세불명 쪽","","1"
"C3490","상세불명의 기관지 또는 폐의 악성 신생물, 오른쪽","","3"
"C3491","상세불명의 기관지 또는 폐의 악성 신생물, 왼쪽","1","1"
"C3499","상세불명의 기관지 또는 폐의 악성 신생물, 상세불명 쪽","10","10"
"C383","상세불명 부분의 종격의 악성 신생물","1",""
"C402","다리의 긴뼈의 악성 신생물","","1"
"C419","상세불명의 골 및 관절연골의 악성 신생물","","1"
"C439","상세불명의 피부의 악성 흑색종","","1"
"C446","어깨를 포함한 팔의 피부의 악성 신생물","1",""
"C469","상세불명의 카포시육종","","1"
"C5030","유방의 하내사분의 악성 신생물, 오른쪽","","2"
"C5090","상세불명의 유방의 악성 신생물, 오른쪽","","2"
"C5091","상세불명의 유방의 악성 신생물, 왼쪽","","1"
"C5099","상세불명의 유방의 악성 신생물, 상세불명 쪽","","1"
"C539","상세불명의 자궁경부의 악성 신생물","","2"
"C569","난소의 악성 신생물, 상세불명 쪽","","4"
"C61","전립선의 악성 신생물","41","25"
"C640","신우를 제외한 신장의 악성 신생물, 오른쪽","","1"
"C649","신우를 제외한 신장의 악성 신생물, 상세불명 쪽","1",""
"C661","요관의 악성 신생물, 왼쪽","","1"
"C679","상세불명의 방광의 악성 신생물","3","3"
"C719","상세불명의 뇌의 악성 신생물","3","3"
"C73","갑상선의 악성 신생물","2","6"
"C770","머리, 얼굴 및 목의 림프절의 이차성 및 상세불명의 악성신생물","1",""
"C7801","폐의 이차성 악성 신생물, 왼쪽","","2"
"C7809","폐의 이차성 악성 신생물, 상세불명 쪽","3","13"
"C781","종격의 이차성 악성 신생물","","1"
"C782","흉막의 이차성 악성 신생물","1",""
"C785","대장 및 직장의 이차성 악성 신생물","","1"
"C787","간 및 간내 담관의 이차성 악성 신생물","11","19"
"C788","기타 및 상세불명의 소화기관의 이차성 악성 신생물","","1"
"C7910","방광의 이차성 악성 신생물","","1"
"C7930","뇌의 이차성 악성 신생물","2","8"
"C7931","뇌막의 이차성 악성 신생물","","1"
"C7950","골의 이차성 악성 신생물","2","15"
"C7951","골수의 이차성 악성 신생물","1",""
"C809","원발부위 상세불명인 악성 신생물","","3"
"C921","만성 골수성 백혈병, BCR/ABL-양성","1",""
"D001","식도의 제자리암종","","1"
"D010","결장의 제자리암종","2","2"
"D090","방광의 제자리암종","7","3"
"D105","입인두의 기타 부분의 양성 신생물","2","1"
"D107","하인두의 양성 신생물","","1"
"D120","맹장의 양성 신생물","31","18"
"D122","상행결장의 양성 신생물","114","35"
"D123","횡행결장의 양성 신생물","93","33"
"D124","하행결장의 양성 신생물","34","10"
"D125","구불결장의 양성 신생물","56","27"
"D126","상세불명의 결장의 양성 신생물","185","80"
"D127","직장구불결장접합부의 양성 신생물","12","5"
"D128","직장의 양성 신생물","19","5"
"D129","항문 및 항문관의 양성 신생물","1",""
"D131","위의 양성 신생물","2",""
"D135","간외담관의 양성 신생물","","1"
"D140","중이, 비강 및 부비동의 양성 신생물","1",""
"D170","머리, 얼굴 및 목의 피부 및 피하조직의 양성 지방종성 신생물","1","1"
