상병코드,상병명,국비,사비
A029,상세불명의 살모넬라감염,1,
A047,클로스트리듐 디피실리에 의한 장결장염,5,2
A048,기타 명시된 세균성 장감염,2,1
A084,상세불명의 바이러스성 장감염,2,4
A090,감염성 기원의 기타 및 상세불명의 위장염 및 결장염,16,20
A099,상세불명 기원의 위장염 및 결장염,14,23
A1591,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 상세불명의 호흡기결핵,,1
A1601,세균학적 및 조직학적으로 음성인 공동이 없거나 상세불명의 폐결핵,1,
A1651,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 결핵성 흉막염,,1
A279,상세불명의 렙토스피라병,1,
A419,상세불명의 패혈증,4,8
A428,기타 형태의 방선균증,1,
A513,피부 및 점막의 이차매독,1,
A539,상세불명의 매독,,1
A753,리케차 쯔쯔가무시에 의한 발진티푸스,,1
B009,상세불명의 헤르페스바이러스감염,4,2
B022,기타 신경계통 침범을 동반한 대상포진,2,4
B028,기타 합병증을 동반한 대상포진,1,
B029,합병증이 없는 대상포진,,2
B159,간성 혼수가 없는 A형간염,,1
B179,상세불명의 급성 바이러스간염,,1
B1810,"델타-병원체가 없는 만성 바이러스B형간염, 면역관용기",2,2
B182,만성 바이러스C형간염,3,1
B350,수염 및 두피 백선,1,
B351,손발톱백선,46,13
B352,손백선,2,1
B353,발백선,50,14
B354,체부백선,5,3
B356,사타구니백선,6,4
B377,칸디다패혈증,,1
B3780,칸디다식도염,4,
B379,상세불명의 칸디다증,1,
B49,상세불명의 진균증,4,1
B86,옴,4,1
B980,다른 장에서 분류된 질환의 원인으로서의 헬리코박터 파일로리균,6,
C031,아랫잇몸의 악성 신생물,,1
C050,경구개의 악성 신생물,,1
C089,상세불명의 주침샘의 악성 신생물,3,
C139,상세불명의 하인두의 악성 신생물,1,1
C159,상세불명의 식도의 악성 신생물,1,5
C1621,"위의 체부의 악성 신생물, 진행형",,1
C1629,"위의 체부의 악성 신생물, 상세불명",4,
C1631,"유문동의 악성 신생물, 진행형",,10
C1639,"유문동의 악성 신생물, 상세불명",18,3
C1669,"상세불명의 위의 대만부의 악성 신생물, 상세불명",,1
C1690,"상세불명의 위의 악성 신생물, 조기",2,
C1691,"상세불명의 위의 악성 신생물, 진행형",,13
C1699,"상세불명의 위의 악성 신생물, 상세불명",29,21
C170,십이지장의 악성 신생물,3,1
C171,공장의 악성 신생물,1,
C180,맹장의 악성 신생물,2,1
C182,상행결장의 악성 신생물,16,2
C184,횡행결장의 악성 신생물,,2
C186,하행결장의 악성 신생물,12,9
C187,구불결장의 악성 신생물,13,20
C189,상세불명의 결장의 악성 신생물,4,8
C19,직장구불결장접합부의 악성 신생물,1,6
C20,직장의 악성 신생물,14,14
C210,상세불명의 항문의 악성 신생물,1,
C220,간세포암종의 악성 신생물,16,14
C221,간내담관암종의 악성 신생물,12,13
C23,담낭의 악성 신생물,3,9
C240,간외담관의 악성 신생물,1,3
C241,파터팽대의 악성 신생물,1,1
C250,췌장의 두부의 악성 신생물,1,5
C251,췌장의 체부의 악성 신생물,,1
C252,췌장의 꼬리의 악성 신생물,1,1
C258,췌장의 중복병변의 악성 신생물,,1
C259,상세불명의 췌장의 악성 신생물,4,9
C320,성문의 악성 신생물,,1
C321,성문상의 악성 신생물,2,
C3400,"주기관지의 악성 신생물, 오른쪽",,1
C3410,"상엽, 기관지 또는 폐의 악성 신생물, 오른쪽",4,3
C3411,"상엽, 기관지 또는 폐의 악성 신생물, 왼쪽",1,2
C3419,"상엽, 기관지 또는 폐의 악성 신생물, 상세불명 쪽",2,1
C342,"중엽, 기관지 또는 폐의 악성 신생물",1,3
C3430,"하엽, 기관지 또는 폐의 악성 신생물, 오른쪽",3,4
C3431,"하엽, 기관지 또는 폐의 악성 신생물, 왼쪽",2,5
C3490,"상세불명의 기관지 또는 폐의 악성 신생물, 오른쪽",3,5
