"상병코드","상병명","국비","사비"
"A047","클로스트리듐 디피실리에 의한 장결장염","4","0"
"A090","감염성 기원의 기타 및 상세불명의 위장염 및 결장염","2","0"
"A099","상세불명 기원의 위장염 및 결장염","29","16"
"A1500","배양 유무에 관계없이 가래 현미경 검사로 확인된 공동이 있는 폐결핵","1","1"
"A1510","배양만으로 확인된 공동이 있는 폐결핵","1","0"
"A1511","배양만으로 확인된 공동이 없거나 상세불명의 폐결핵","0","1"
"A1531","상세불명의 수단으로 확인된 공동이 없거나 상세불명의 폐결핵","0","1"
"A1561","세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 결핵성 흉막염","0","1"
"A1651","세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 결핵성 흉막염","2","0"
"A1671","세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 일차호흡기결핵","0","1"
"A184","피부 및 피하조직의 결핵","3","0"
"A310","폐마이코박테리아감염","0","1"
"A318","기타 마이코박테리아감염","0","1"
"A419","상세불명의 패혈증","6","1"
"A753","리케차 쯔쯔가무시에 의한 발진티푸스","2","0"
"A99","상세불명의 바이러스출혈열","1","0"
"B022","기타 신경계통 침범을 동반한 대상포진","0","1"
"B029","합병증이 없는 대상포진","1","0"
"B180","델타-병원체가 있는 만성 바이러스B형간염","1","0"
"B1810","델타-병원체가 없는 만성 바이러스B형간염","2","1"
"B182","만성 바이러스C형간염","3","3"
"B189","상세불명의 만성 바이러스간염","1","0"
"B3780","칸디다식도염","2","0"
"B86","옴","1","0"
"C01","혓바닥의 악성 신생물","0","1"
"C029","상세불명의 혀의 악성 신생물","1","0"
"C069","상세불명의 입의 악성 신생물","0","2"
"C080","턱밑샘의 악성 신생물","1","0"
"C099","상세불명의 편도의 악성 신생물","1","0"
"C109","상세불명의 입인두의 악성 신생물","0","2"
"C119","상세불명의 비인두의 악성 신생물","1","0"
"C139","상세불명의 하인두의 악성 신생물","0","1"
"C140","상세불명의 인두의 악성 신생물","0","1"
"C159","상세불명의 식도의 악성 신생물","6","8"
"C1609","분문의 악성 신생물, 상세불명","2","0"
"C1619","위의 저부의 악성 신생물, 상세불명","2","0"
"C1620","위의 체부의 악성 신생물, 조기","1","0"
"C1629","위의 체부의 악성 신생물, 상세불명","2","7"
"C1639","유문동의 악성 신생물, 상세불명","1","0"
"C1650","상세불명의 위의 소만부의 악성 신생물, 조기","1","0"
"C1699","상세불명의 위의 악성 신생물, 상세불명","36","29"
"C170","십이지장의 악성 신생물","2","0"
"C179","상세불명의 소장의 악성 신생물","0","2"
"C180","맹장의 악성 신생물","0","1"
"C182","상행결장의 악성 신생물","6","2"
"C183","간굴곡의 악성 신생물","15","0"
"C184","횡행결장의 악성 신생물","5","2"
"C186","하행결장의 악성 신생물","5","0"
"C187","구불결장의 악성 신생물","18","5"
"C189","상세불명의 결장의 악성 신생물","5","10"
"C19","직장구불결장접합부의 악성 신생물","9","0"
"C20","직장의 악성 신생물","19","13"
"C220","간세포암종의 악성 신생물","28","11"
"C221","간내담관암종의 악성 신생물","7","14"
"C229","상세불명의 간의 악성 신생물","5","12"
"C23","담낭의 악성 신생물","0","5"
