"수술코드","수술 및 처치명","국비","사비"
"1.24","Other craniotomy","4",""
"3.09","Other exploration and decompression of spinal canal","2","1"
"3.1","Division of intraspinal nerve root","19",""
"3.53","Repair of vertebral fracture","1",""
"3.59","Other repair and plastic operations on spinal cord structures","144","9"
"3.6","Lysis of adhesions of spinal cord and nerve roots","6",""
"3.9","Insertion of catheter into spinal canal for infusion of therapeutic or palliative substances","1",""
"3.92","Injection of other agent into spinal canal","169","7"
"4.07","Other excision or avulsion of cranial and peripheral nerves","1",""
"4.43","Release of carpal tunnel","6","3"
"4.79","Other neuroplasty","524","3"
"6.2","Unilateral thyroid lobectomy","","1"
"12.91","Therapeutic evacuation of anterior chamber","1",""
"13.41","Phacoemulsification and aspiration of cataract","187","58"
"13.71","Insertion of introcular lens prothsis at time of cataract extraction, one-stage","187","58"
"14.75","Injection of vitreous substitute","16",""
"21.31","Local excision or destruction of intranasal lesion","1",""
"21.69","Other turbinectomy","13","3"
"21.71","Closed reduction of nasal fracture","2",""
"21.88","Other septoplasty","5","1"
"22.11","Closed [endoscopic] [needle] biopsy of nasal sinus","2","1"
"22.19","Other diagnostic procedures on nasal sinuses","2","1"
"22.9","Other operations on nasal sinuses","3",""
"31.5","Local excision or destruction of lesion or tissue of trachea","1",""
"38.49","Resection of vessel with replacement, lower limb veins","","1"
"38.59","Ligation and stripping of varicose veins, lower limb veins","7","1"
"38.93","Venous catheterization, not elsewhere classified","3",""
"39.27","Arteriovenostomy for renal dialysis","6",""
"39.99","Other operations on vessels","5",""
"43.6","Partial gastrectomy with anastomosis to duodenum","1",""
"43.7","Partial gastrectomy with anastomosis to jejunum, Billroth II operation","3",""
"43.9","Total gastrectomy","1",""
"45.73","Right hemicolectomy","3",""
"45.76","Sigmoidectomy","1",""
"47","Appendectomy","","2"
"47.01","Laparoscopic appendectomy","3","2"
"47.09","Other appendectomy","2",""
"47.2","Drainage of appendiceal abscess","","1"
"47.9","Other operations on appendix","1",""
"48.63","Other anterior resection of rectum","1",""
"49.12","Anal fistulectomy","2","2"
"49.46","Excision of hemorrhoids","1","4"
"51.22","Cholecystectomy","1","1"
"51.23","Laparoscopic cholecystectomy","24","23"
"53","Unilateral repair of inguinal hernia, not otherwise specified","19","22"
"53.05","Repair of inguinal hernia with graft or prosthesis, not otherwise specified","5","1"
"53.49","Other umbilical herniorrhaphy","1",""
"54.12","Reopening of recent laparotomy site","1",""
"57","Transurethral clearance of bladder","1",""
"57.32","Other cystoscopy","13","1"
"57.33","Closed [transurethral] biopsy of bladder","7",""
"57.49","Other transurethral excision or destruction of lesion or tissue of bladder","25","2"
"57.93","Control of (postoperative) hemorrhage of bladder","1",""
"57.94","Insertion of indwelling urinary cather","1",""
"58.31","Endoscopic excision or destruction of lesion or tissue of urethra","2",""
"58.93","Implantation of artificial urinary sphincter [AUS]","9",""
"60.11","Closed [percutaneous] [needle] biopsy of prostate","102","48"
"60.29","Other transurethral prostatectomy","12","5"
"60.4","Retropubic prostatectomy","","1"
"60.5","Radical prostatectomy","1","1"
"60.69","Other","","3"
"60.99","Other","20","12"
"62.5","Orchiopexy","1",""
"63.1","Excision of varicocele and hydrocele of spermatic cord","4","2"
"64","Circumcision","1",""
"64.2","Local excision or destruction of lesion of penis","1",""
"64.97","Insertion or replacement of inflatable penile prosthesis","12",""
"77.33","Other division of bone, radius and ulna","1",""
"77.51","Bunionectomy with soft tissue correction and osteotomy of the first metatarsal","5",""
"77.69","Local excision of lesion or tissue of bone, other. Pelvic bones,phalanges (of foot) (of hand), Vertebrae","1",""
"78.09","Bone graft, other, Pelvic bones,Phalanges (of foot) (of hand),Vertebrae","2",""
"78.53","Internal fixation of bone without fracture reduction, radius and ulna","","1"
"78.59","Internal fixation of bone without fracture reduction, other, Pelvic bones,Phalanges (of foot) (of hand),Vertebrae","3","2"
"78.6","Removal of implanted devices from bone, unspecified site","","1"
"78.62","Removal of implanted devices from bone, humerus","2","1"
"78.63","Removal of implanted devices from bone, radius and ulna","","2"
"78.66","Removal of implanted devices from bone, patella","","2"
"78.67","Removal of implanted devices from bone, tibia and fibula","4","1"
"78.68","Removal of implanted devices from bone, tarsals and metatarsals","1","1"
"78.69","Removal of implanted devices from bone, other, Pelvic bones, Phalanges (of foot) (of hand), Vertebrae","3","4"
"79.14","Closed reduction of fracture with internal fixation, phalanges of hand","1",""
"79.31","Open reduction of fracture with internal fixation, humerus","1",""
"79.32","Open reduction of fracture with internal fixation, radius and ulna, Arm NOS","3",""
"79.36","Open reduction of fracture with internal fixation, tibia and fibula,Leg NOS","4",""
"79.37","Open reduction of fracture with internal fixation, tarsals and metatarsals,Foot NOS","4","13"
"79.39","Open reduction of fracture with internal fixation, other specified bone","1","2"
"79.71","Closed reduction of dislocation of shoulder","1",""
"80.2","Arthroscopy, unspecified site","2",""
"80.21","Arthroscopy, shoulder","5","55"
"80.26","Arthroscopy, knee","4","18"
"80.41","Division of joint capsule, ligament, or cartilage, shoulder","3",""
"80.51","Excision of intervertebral disc","46","18"
"80.6","Excision of semilunar cartilage of knee","12",""
"80.71","Synovectomy, shoulder","1",""
"80.72","Synovectomy, elbow","2",""
"80.82","Other local excision or destruction of lesion of joint, elbow","3","1"
"80.86","Other local excision or destruction of lesion of joint, knee","6","1"
"80.87","Other local excision or destruction of lesion of joint, ankle","1",""
