상병코드,상병명,국비,사비,계
A047,클로스트리듐 디피실리에 의한 장결장염,2,0,2
A099,상세불명 기원의 위장염 및 결장염,30,17,47
A1500,배양 유무에 관계없이 가래 현미경 검사로 확인된 공동이 있는 폐결핵,1,1,2
A1501,"배양 유무에 관계없이 가래 현미경 검사로 확인된 폐결핵, 공동이 없거나 상세불명의",0,1,1
A1511,배양만으로 확인된 공동이 없거나 상세불명의 폐결핵,2,0,2
A1530,상세불명의 수단으로 확인된 공동이 있는 폐결핵,1,0,1
A1531,상세불명의 수단으로 확인된 공동이 없거나 상세불명의 폐결핵,1,1,2
A1600,세균학적 및 조직학적으로 음성인 공동이 있는 폐결핵,1,2,3
A1620,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 폐결핵,0,1,1
A318,기타 마이코박테리아감염,1,0,1
A418,기타 명시된 패혈증,4,0,4
A419,상세불명의 패혈증,3,1,4
A753,리케차 쯔쯔가무시에 의한 발진티푸스,3,1,4
A799,상세불명의 리케차병,1,0,1
B001,헤르페스바이러스 소수포피부염,1,0,1
B022,기타 신경계통 침범을 동반한 대상포진,0,1,1
B029,합병증이 없는 대상포진,5,1,6
B1810,"델타-병원체가 없는 만성 바이러스B형간염, 면역관용기",4,0,4
B1819,"델타-병원체가 없는 만성 바이러스B형간염, 기타 및 상세불명의 기간",0,1,1
B182,만성 바이러스C형간염,3,5,8
B259,상세불명의 거대세포바이러스병,0,1,1
B351,손발톱백선,1,0,1
B353,발백선,1,0,1
C07,귀밑샘의 악성 신생물,0,1,1
C119,상세불명의 비인두의 악성 신생물,1,0,1
C139,상세불명의 하인두의 악성 신생물,0,1,1
C140,상세불명의 인두의 악성 신생물,0,1,1
C159,상세불명의 식도의 악성 신생물,7,3,10
C1600,"분문의 악성 신생물, 조기",1,0,1
C1609,"분문의 악성 신생물, 상세불명",4,6,10
C1619,"위의 저부의 악성 신생물, 상세불명",1,0,1
C1629,"위의 체부의 악성 신생물, 상세불명",12,6,18
C1639,"유문동의 악성 신생물, 상세불명",3,0,3
C1650,"상세불명의 위의 소만부의 악성 신생물, 조기",2,0,2
C1699,"상세불명의 위의 악성 신생물, 상세불명",32,17,49
C170,십이지장의 악성 신생물,1,2,3
C179,상세불명의 소장의 악성 신생물,0,1,1
C180,맹장의 악성 신생물,3,1,4
C182,상행결장의 악성 신생물,12,1,13
C183,간굴곡의 악성 신생물,1,1,2
C184,횡행결장의 악성 신생물,1,0,1
C186,하행결장의 악성 신생물,5,1,6
C187,구불결장의 악성 신생물,3,7,10
C189,상세불명의 결장의 악성 신생물,21,5,26
C19,직장구불결장접합부의 악성 신생물,15,4,19
C20,직장의 악성 신생물,21,13,34
C220,간세포암종의 악성 신생물,31,11,42
C221,간내담관암종의 악성 신생물,9,4,13
C224,기타 간의 육종의 악성 신생물,0,1,1
C229,상세불명의 간의 악성 신생물,1,3,4
C23,담낭의 악성 신생물,2,9,11
C240,간외담관의 악성 신생물,7,4,11
C241,파터팽대의 악성 신생물,2,1,3
C249,상세불명의 담도의 악성 신생물,2,1,3
C250,췌장의 두부의 악성 신생물,1,6,7
C252,췌장의 꼬리의 악성 신생물,1,3,4
C253,췌관의 악성 신생물,1,1,2
C257,췌장의 기타 부분의 악성 신생물,1,0,1
C259,상세불명의 췌장의 악성 신생물,2,11,13
C321,성문상의 악성 신생물,1,0,1
C323,후두연골의 악성 신생물,1,0,1
C3409,"주기관지의 악성 신생물, 상세불명 쪽",0,1,1
C3410,"상엽, 기관지 또는 폐의 악성 신생물, 오른쪽",2,1,3
C3411,"상엽, 기관지 또는 폐의 악성 신생물, 왼쪽",4,0,4
C3419,"상엽, 기관지 또는 폐의 악성 신생물, 상세불명 쪽",1,2,3
C342,"중엽, 기관지 또는 폐의 악성 신생물",1,1,2
C3490,"상세불명의 기관지 또는 폐의 악성 신생물, 오른쪽",1,0,1
C3499,"상세불명의 기관지 또는 폐의 악성 신생물, 상세불명 쪽",27,30,57
C382,후종격의 악성 신생물,1,0,1
C414,"골반골, 천골(薦骨) 및 미추의 악성 신생물",0,1,1
C499,상세불명의 결합조직 및 연조직의 악성 신생물,1,0,1
C5090,"상세불명의 유방의 악성 신생물, 오른쪽 ",1,0,1
C5091,"상세불명의 유방의 악성 신생물, 왼쪽 ",0,2,2
C5099,"상세불명의 유방의 악성 신생물, 상세불명 쪽 ",0,1,1
C539,상세불명의 자궁경부의 악성 신생물,0,2,2
C541,자궁내막의 악성 신생물,0,1,1
C569,"난소의 악성 신생물, 상세불명 쪽",0,4,4
C61,전립선의 악성 신생물,49,22,71
C649,"신우를 제외한 신장의 악성 신생물, 상세불명 쪽",8,1,9
C650,"신우의 악성 신생물, 오른쪽",0,1,1
C659,"신우의 악성 신생물, 상세불명 쪽",0,1,1
C660,"요관의 악성 신생물, 오른쪽",1,0,1
C671,방광의 둥근천장부의 악성 신생물,1,0,1
C672,방광의 측벽의 악성 신생물,2,0,2
C679,상세불명의 방광의 악성 신생물,13,5,18
C719,상세불명의 뇌의 악성 신생물,1,2,3
C73,갑상선의 악성 신생물,0,1,1
C772,복강내림프절의 이차성 및 상세불명의 악성신생물,1,0,1
C783,기타 및 상세불명의 호흡기관의 이차성 악성 신생물,1,0,1
C787,간 및 간내 담관의 이차성 악성 신생물,1,0,1
C800,원발부위 미상으로 언급된 악성 신생물,1,0,1
C809,원발부위 상세불명인 악성 신생물,1,0,1
C812,혼합 세포충실성 (고전적) 호지킨림프종,1,0,1
C820,소포성 림프종 등급 I,1,0,1
C859,상세불명의 비호지킨림프종,1,2,3
C900,다발골수종,7,0,7
C921,"만성 골수성 백혈병, BCR/ABL-양성",5,0,5
C927,기타 골수성 백혈병,1,0,1
D039,상세불명의 제자리흑색종,0,1,1
D120,맹장의 양성 신생물,1,0,1
D121,충수의 양성 신생물,1,0,1
D126,상세불명의 결장의 양성 신생물,10,3,13
D128,직장의 양성 신생물 ,1,0,1
D130,식도의 양성 신생물,1,0,1
D131,위의 양성 신생물 ,13,9,22
D135,간외담관의 양성 신생물,1,0,1
D140,"중이, 비강 및 부비동의 양성 신생물",1,0,1
D1430,"기관지 및 폐의 양성 신생물, 오른쪽",1,0,1
D1439,"기관지 및 폐의 양성 신생물, 상세불명 쪽",14,0,14
D144,상세불명의 호흡계통의 양성 신생물 ,4,0,4
D179,상세불명의 양성 지방종성 신생물,4,2,6
D1802,간담도계의 혈관종,1,1,2
D1808,기타 부위의 혈관종,1,1,2
D1809,상세불명 부위의 혈관종,1,0,1
D219,상세불명의 결합조직 및 기타 연조직의 기타 양성 신생물,1,0,1
D231,안각을 포함한 눈꺼풀의 피부의 양성 신생물,0,1,1
D303,방광의 양성 신생물,2,2,4
D320,뇌막의 양성 신생물 ,0,1,1
