"상병코드","상병명","국비","사비","합계"
"A045","캄필로박터장염","0","1","1"
"A090","감염성 및 상세불명 기원의 기타 위장염 및 결장염","12","20","32"
"A099","상세불명 기원의 위장염 및 결장염","0","2","2"
"A1501","배양 유무에 관계없이 가래 현미경 검사로 확인된 공동이 없거나 상세불명의 폐결핵","0","1","1"
"A419","상세불명의 패혈증","1","1","2"
"B022","기타 신경계통 침범을 동반한 대상포진","1","1","2"
"B1810","델타-병원체가 없는 만성 바이러스B형간염","1","0","1"
"B370","칸디다구내염","1","0","1"
"C159","상세불명의 식도의 악성 신생물","1","1","2"
"C1690","상세불명의 위의 악성 신생물,조기","1","0","1"
"C1699","상세불명의 위의 악성 신생물,상세불명","5","2","7"
"C182","상행결장의 악성 신생물","1","0","1"
"C186","하행결장의 악성 신생물","0","1","1"
"C187","구불결장의 악성 신생물","2","0","2"
"C189","상세불명의 결장의 악성 신생물","0","3","3"
"C19","직장구불결장접합부의 악성 신생물","1","0","1"
"C20","직장의 악성 신생물","1","1","2"
"C220","간세포암종의 악성 신생물","0","3","3"
"C221","간내담관암종의 악성 신생물","2","0","2"
"C23","담낭의 악성 신생물","0","1","1"
"C250","췌장의 두부의 악성 신생물","6","0","6"
"C259","상세불명의 췌장의 악성 신생물","8","0","8"
"C269","소화계통내의 불명확한 부위의 악성 신생물","0","1","1"
"C3430","하엽,기관지 또는 폐의 악성 신생물,오른쪽","0","1","1"
"C3499","상세불명의 기관지 또는 폐의 악성 신생물,상세불명 쪽","1","5","6"
"C569","난소의 악성 신생물,상세불명 쪽","0","3","3"
"C61","전립선의 악성 신생물","12","14","26"
"C649","신우를 제외한 신장의 악성 신생물,상세불명 쪽","6","0","6"
"C672","방광의 측벽의 악성 신생물","2","15","17"
"C673","방광의 전벽의 악성 신생물","2","0","2"
"C679","상세불명의 방광의 악성 신생물","3","15","18"
"C786","후복막 및 복막의 이차성 악성 신생물","0","1","1"
"C809","원발부위 상세불명인 악성 신생물","1","0","1"
"C97","독립된(원발성) 여러 부위의 악성 신생물","1","0","1"
"D010","결장의 제자리암종","1","2","3"
"D090","방광의 제자리암종","0","4","4"
"D119","상세불명의 주침샘의 양성 신생물","0","1","1"
"D126","상세불명의 결장의 양성 신생물","0","3","3"
"D127","직장구불결장접합부의 양성 신생물","0","1","1"
"D130","식도의 양성 신생물","0","2","2"
"D131","위의 양성 신생물","6","9","15"
"D135","간외담관의 양성 신생물","0","2","2"
"D361","말초신경 및 자율신경계통의 양성 신생물","0","1","1"
"D414","방광의 행동양식 불명 또는 미상의 신생물","4","17","21"
"D480","뼈 및 관절연골의 행동양식 불명 또는 미상의 신생물","0","1","1"
"D649","상세불명의 빈혈","2","0","2"
"E032","의약품 및 기타 외인성 물질에 의한 갑상선기능저하증","0","1","1"
"E039","상세불명의 갑상선기능저하증","0","1","1"
"E059","상세불명의 갑상선독증","1","0","1"
"E1048","기타 및 상세불명의 신경학적 합병증을 동반한 1형 당뇨병","1","0","1"
"E109","합병증을 동반하지 않은 1형 당뇨병","1","0","1"
"E1121","확정된 당뇨병성 신장병증을 동반한 2형 당뇨병(N083*)","0","5","5"
"E1122","말기신장병을 동반한 2형 당뇨병(N083*)","0","9","9"
"E1128","기타 및 상세불명의 신장합병증을 동반한 2형 당뇨병(N083*)","2","1","3"
"E1133","기타 및 상세불명의 망막병증을 동반한 2형 당뇨병(H360*)","0","1","1"
"E1140","당뇨병성 단일신경병증을 동반한 2형 당뇨병","0","1","1"
"E1141","당뇨병성 다발신경병증을 동반한 2형 당뇨병(G632*)","13","0","13"
"E1148","기타 및 상세불명의 신경학적 합병증을 동반한 2형 당뇨병","4","0","4"
"E1168","달리 분류되지 않은 기타 명시된 합병증을 동반한 2형 당뇨병","0","1","1"
"E1178","기타 다발성 합병증을 동반한 2형 당뇨병","3","2","5"
"E118","상세불명의 합병증을 동반한 2형 당뇨병","13","28","41"
"E119","합병증을 동반하지 않은 2형 당뇨병","11","17","28"
"E1408","기타 및 상세불명의 혼수를 동반한 상세불명의 당뇨병","1","0","1"
"E149","합병증을 동반하지 않은 상세불명의 당뇨병","1","3","4"
"E236","뇌하수체의 기타 장애","1","0","1"
"E279","부신의 상세불명 장애","1","0","1"
"E46","상세불명의 단백질-에너지영양실조","10","5","15"
"E755","기타 지질축적장애","1","0","1"
"E785","상세불명의 고지질혈증","1","0","1"
"E871","저오스몰랄농도 및 저나트륨혈증","2","0","2"
"F009","상세불명의 알츠하이머병에서의 치매(G309†)","1","5","6"
"F059","상세불명의 섬망","0","1","1"
"F067","경도 인지장애","1","1","2"
"F102","알코올의 의존증후군","0","1","1"
"F320","경도 우울에피소드","1","0","1"
"F321","중등도 우울에피소드","1","0","1"
"F329","상세불명의 우울에피소드","0","4","4"
"G112","만기발병 소뇌성 운동실조","0","1","1"
"G20","파킨슨병","17","0","17"
"G253","마이오클로누스","3","0","3"
"G301","만기발병을 수반한 알츠하이머병","0","3","3"
"G431","조짐이 있는 편두통[고전적 편두통]","0","1","1"
"G459","상세불명의 일과성 뇌허혈발작","0","3","3"
"G470","수면 개시 및 유지 장애[불면증]","0","4","4"
"G500","삼차신경통","0","2","2"
"G551","추간판 장애에서의 신경근 및 신경총 압박(M50-M51†)","2","4","6"
"G560","손목터널증후군","1","0","1"
"G562","척골신경의 병변","0","3","3"
"G570","좌골신경의 병변","0","1","1"
"H209","상세불명의 홍채섬모체염","1","0","1"
"H2510","노년성 핵백내장,오른쪽","0","3","3"
"H2512","노년성 핵백내장,양쪽","4","8","12"
"H2590","상세불명의 노년백내장,오른쪽","6","8","14"
"H2591","상세불명의 노년백내장,왼쪽","3","8","11"
"H2592","상세불명의 노년백내장,양쪽","26","65","91"
"H6111","귓바퀴의 혈종","0","1","1"
"H6690","상세불명의 중이염,한쪽 또는 상세불명","7","17","24"
"H6691","상세불명의 중이염,양쪽","1","0","1"
"H71","중이의 진주종","3","1","4"
"H810","메니에르병","0","3","3"
"H811","양성 발작성 현기증","1","3","4"
