"상병코드","상병명","국비","사비"
"A090","감염성 기원의 기타 및 상세불명의 위장염 및 결장염","1","2"
"A099","상세불명 기원의 위장염 및 결장염","2","3"
"A319","상세불명의 마이코박테리아감염","1","0"
"B701","고충증","0","2"
"C159","상세불명의 식도의 악성 신생물","0","1"
"C1691","상세불명의 위의 악성 신생물, 진행형","1","0"
"C189","상세불명의 결장의 악성 신생물","1","2"
"C220","간세포암종의 악성 신생물","0","3"
"C252","췌장의 꼬리의 악성 신생물","0","2"
"C3491","상세불명의 기관지 또는 폐의 악성 신생물, 오른쪽","4","0"
"C3499","상세불명의 기관지 또는 폐의 악성 신생물, 상세불명 쪽","3","3"
"C412","척주의 악성신생물","0","1"
"C61","전립선의 악성 신생물","11","6"
"C672","방광의 측벽의 악성 신생물","4","1"
"C679","상세불명의 방광의 악성 신생물","17","19"
"C7930","뇌의 이차성 악성 신생물","1","0"
"C794","신경계통의 기타 및 상세불명 부분의 이차성 악성 신생물","0","1"
"D090","방광의 제자리암종","2","3"
"D122","상행결장의 양성 신생물","1","0"
"D131","위의 양성 신생물","1","3"
"D170","머리, 얼굴 및 목의 피부 및 피하조직의 양성 지방종성 신생물","0","2"
"D179","상세불명의 양성 지방종성 신생물","1","5"
"D1800","피부 및 피하조직의 혈관종","0","1"
"D303","방광의 양성 신생물","0","1"
"D329","상세불명의 수막의 양성 신생물","1","0"
"D330","천막상 뇌의 양성 신생물","0","1"
"D350","부신의 양성 신생물","0","1"
"D361","말초신경 및 자율신경계통의 양성 신생물","0","1"
"D414","방광의 행동양식 불명 또는 미상의 신생물","2","1"
"E1058","기타 및 상세불명의 말초순환계통 합병증을 동반한 1형 당뇨병","1","0"
"E1078","기타 다발성 합병증을 동반한 1형 당뇨병","1","1"
"E109","합병증을 동반하지 않은 1형 당뇨병","1","0"
"E1128","기타 및 상세불명의 신장합병증을 동반한 2형 당뇨병(N083*)","5","1"
"E1141","당뇨병성 다발산경병증을 동반한 2형 당뇨병(G63.2*)","0","1"
"E1163","저혈당을 동반한 2형 당뇨병","1","0"
"E1164","혈당조절이 되지 않은 2형 당뇨병","2","0"
"E1168","달리 분류되지 않은 기타 명시된 합병증을 동반한 2형 당뇨병","1","0"
"E1178","기타 다발성 합병증을 동반한 2형 당뇨병","1","1"
"E118","상세불명의 합병증을 동반한 2형 당뇨병","20","21"
"E119","합병증을 동반하지 않은 2형 당뇨병","1","1"
"E1428","기타 및 상세불명의 신장합병증을 동반한 상세불명의 당뇨병(N083*)","0","1"
"E1448","기타 및 상세불명의 신경학적 합병증을 동반한 상세불명의 당뇨병","3","0"
"E1463","저혈당을 동반한 상세불명의 당뇨병","0","5"
"E871","저오스몰랄농도 및 저나트륨혈증","0","1"
"F001","만기발병 알츠하이머병에서의 치매(G30.1+)","0","1"
"F009","상세불명의 알츠하이머병에서의 치매(G30.9+)","1","1"
"F03","상세불명의 치매","1","0"
"F072","뇌진탕증후군","2","0"
"G061","척추내 농양 및 육아종","1","0"
"G459","상세불명의 일과성 뇌허혈발작","0","1"
"G552","척추증에서의 신경근 및 신경총 압박(M47-†)","0","3"
"G561","정중신경의 기타 병변","0","1"
"G573","외측오금신경의 병변","0","1"
"G610","길랭-바레증후군","0","1"
"G629","상세불명의 다발신경병증","2","0"
"G811","강직성 편마비","1","0"
"G819","상세불명의 편마비","6","2"
"G825","상세불명의 사지마비","1","2"
"G907","기타 및 상세불명 유형의 복합부위통증증후군","1","0"
"G950","척수공동증 및 연수공동증","0","4"
"G959","척수의 상세불명 질환","3","1"
"H2510","노년성 핵백내장, 오른쪽","1","0"
"H2511","노년성 핵백내장, 왼쪽","0","1"
"H2590","상세불명의 노년백내장, 오른쪽","3","1"
"H2591","상세불명의 노년성 백내장, 왼쪽","0","2"
"H6690","상세불명의 중이염, 한쪽 또는 상세불명","0","1"
"H811","양성 발작성 현기증, 양성 발작성 체위성 현기증","0","1"
"H812","전정신경세포염","0","1"
"H814","중추기원의 현기증","0","1"
"I109","기타 및 상세불명의 원발성 고혈압","3","5"
"I480","발작성 심방세동","0","2"
"I509","상세불명의 심부전","0","1"
"I620","비외상성 경막하출혈","0","2"
"I638","기타 뇌경색증","1","0"
"I639","상세불명의 뇌경색증","6","1"
"I678","기타 명시된 뇌혈관질환","3","0"
"I693","뇌경색증의 후유증","0","1"
"I731","폐색혈전혈관염[버거병]","0","1"
"J189","상세불명의 폐렴","0","3"
"J219","상세불명의 급성 세기관지염","0","2"
"J410","단순 만성 기관지염","0","1"
"J4481","기타 명시된 만성 폐색성 폐질환, 중등도","0","7"
"J4482","기타 명시된 만성 폐색성 폐질환, 중증","0","1"
"J4489","기타 명시된 만성 폐색성 폐질환, 상세불명","0","1"
"J4492","상세불명의 만성 폐색성 폐질환, 중증","0","1"
"J4500","기침(이)형천식","0","2"
"J4509","상세불명의 주로 알레르기성 천식","0","1"
"J459","상세불명의 천식","0","2"
"J81","폐부종","0","2"
"K0532","만성 치관주위염","0","1"
"K1122","만성 타액선염","1","0"
"K290","급성 출혈성 위염","0","1"
"K292","알콜성 위염","0","3"
"K296","기타 위염,  거대비후성 위염 (Giant hypertrophic gastritis), 육아종성 위염, 메네트리에병","1","2"
"K297","상세불명의 위염","0","1"
"K30","기능성 소화불량, 상복부통증증후군, 식후불편증후군 (Postprandial distress syndrome (PDS))","0","1"
"K4090","재발성으로 명시되어 있지 않은, 폐색 또는 괴저가 없는 한쪽 또는 상세불명의 사타구니탈장","1","2"
"K559","장의 상세불명의 혈관장애","1","0"
"K5730","출혈을 동반하지 않은 천공 또는 농양이 없는 대장의 게실병, 게실증","1","0"
"K5732","출혈을 동반하지 않은 천공 또는 농양이 없는 대장의 게실병, 게실염","0","1"
"K588","기타 및 상세불명 유형의 과민대장증후군","1","1"
"K610","항문농양","0","1"
"K620","항문폴립","1","0"
"K635","결장의 폴립","2","1"
"K7030","복수를 동반하지 않은 알코올성 간질환","0","1"
"K7031","복수를 동반한 알코올성 간질환","0","1"
"K709","상세불명의 알콜성 간질환","0","4"
"K759","상세불명의 염증성 간질환","0","1"
"K8000","급성 담낭염을 동반한 담낭의 결석, 폐색에 대한 언급이 없는","0","1"
"K8031","담관염을 동반한 담관결석, 폐색을 동반한","1","0"
"K811","만성 담낭염","1","0"
"L0311","다리의 연조직염","0","1"
"L509","상세불명의 두드러기","0","1"
"L600","내향성 손발톱","1","1"
"L720","표피낭","1","5"
"L905","피부의 흉터 병태 및 섬유증","0","1"
"L989","피부 및 피하조직의 상세불명 장애","1","0"
"M05802","중증 기타 혈청검사양성 류마티스관절염, 여러 부위","0","4"
"M170","양쪽 원발성 무릎관절증","1","2"
"M179","상세불명의 무릎관절증","1","6"
"M1991","상세불명의 관절증, 어깨부분","0","3"
"M1993","상세불명의 관절증, 아래팔","1","0"
"M1996","상세불명의 관절증, 아래다리","2","4"
"M201","외반무지(후천성)","1","0"
"M2321","오래된 찢김 또는 손상으로 인한 반달연골의 장애, 내측반달연골","1","0"
"M2399","무릎의 상세불명의 내부장애, 상세불명의 연골 또는 인대","0","1"
"M2483","달리 분류되지 않은 기타 특정 관절장애, 아래팔","0","1"
"M2599","상세불명의 관절장애, 상세불명 부분","0","1"
"M4039","편평등증후군, 상세불명의 부위","1","0"
"M4319","척추전방전위증, 상세불명의 부위","0","3"
"M4806","척추협착, 요추부","26","24"
"M4809","척추협착, 상세불명의 부위","3","0"
"M4836","외상성 척추병증, 요추부","0","1"
"M4854","달리 분류되지 않은 허탈척추, 흉추부","1","0"
"M4855","달리 분류되지 않은 허탈척추, 흉요추부","0","2"
"M4856","달리 분류되지 않은 허탈척추, 요추부","1","0"
"M4859","달리 분류되지 않은 허탈척추, 상세불명의 부위","2","2"
"M500","척수병증을 동반한 경추간판장애(G992*)","0","1"
"M501","신경뿌리병증을 동반한 경추간판장애","0","1"
"M508","기타 경추간판장애","0","2"
"M509","상세불명의 경추간판장애","1","0"
"M511","신경뿌리병증을 동반한 요추 및 기타 추간판장애(G551*)","0","2"
"M512","기타 명시된 추간판전위","3","2"
"M5417","신경뿌리병증, 요천부","0","3"
"M5459","요통, 상세불명의 부위","4","4"
"M6596","상세불명의 윤활막염 및 힘줄윤활막염, 아래다리","0","1"
"M720","손바닥근막성 섬유종증(뒤퓌트랑)","0","1"
"M72970","근막염, 발목 및 발","1","0"
"M751","회전근개증후군","1","5"
"M8080","병적 골절을 동반한 기타 골다공증, 여러부위","0","2"
"M8090","병적 골절을 동반한 상세불명의 골다공증, 여러부위","1","0"
"M8096","병적 골절을 동반한 상세불명의 골다공증, 아래다리","0","2"
"M8098","병적 골절을 동반한 상세불명의 골다공증, 기타 부분","0","1"
"M8406","골절의 부정유합, 아래다리","1","0"
"M8785","기타 골괴사, 골반 부분 및 대퇴","0","1"
"M961","달리 분류되지 않은 척추후궁절제후증후군","5","3"
"N10","급성 세뇨관-간질신장염","0","1"
"N200","신장의 결석","0","1"
"N210","방광의 결석","1","2"
"N302","기타 만성 방광염","0","1"
"N308","기타 방광염","1","4"
"N318","방광의 기타 신경근육기능장애","0","1"
"N319","방광의 상세불명의 신경근육기능장애","15","29"
"N390","부위가 명시되지 않은 요로감염","0","2"
"N393","스트레스요실금","0","3"
"N408","기타 합병증을 동반한 전립선증식증","42","29"
"N433","상세불명의 음낭수종","1","0"
"N4592","농양을 동반하지 않은 부고환-고환염","1","0"
"N492","음낭의 염증성 장애","2","0"
"R02","달리 분류되지 않은 괴저","1","0"
"R042","객혈","0","1"
"R060","호흡곤란","1","0"
"R229","상세불명의 국소적 부기, 종괴 및 덩이","0","1"
"R268","보행 및 이동의 기타 및 상세불명 이상","1","2"
"R42","어지럼증 및 어지럼, 어찔어찔함, 현기증","2","2"
"R448","일반적 감각 및 지각에 관련된 기타 및 상세불명의 증상 및 징후","1","0"
"R5090","불명열[FUO]","0","1"
"R521","만성 난치성 통증","1","0"
"R53","병감 및 피로, 무력증,   전신쇠약, 허로(虛勞) (Consumptive disease disorder)","1","1"
"R630","식욕부진, 식욕상실","0","2"
"S0140","볼의 열린상처","0","1"
"S0650","열린 두개내상처가 없는 외상성 경막하출혈","0","1"
"S0661","열린 두개내상처가 있는 외상성 거미막하출혈","0","1"
"S22090","흉추의 상세불명 부위의 골절, 폐쇄성","0","4"
"S22330","제1늑골 이외 단일 늑골의 골절, 폐쇄성","0","1"
"S32090","요추의 상세불명 부위의 골절, 폐쇄성","2","1"
"S3250","치골의 폐골절, 폐쇄성","0","1"
"S42090","쇄골의 상세불명 부분의 골절, 폐쇄성","0","1"
"S42230","상완골 외과목의 골절, 폐쇄성","1","0"
"S434","어깨관절의 염좌 및 긴장","0","1"
"S4608","어꺠의 회전근개의 근육 및 힘줄의 손상, 기타 및 상세불명의 손상","1","1"
"S62390","중수골의 상세불명 부분의 골절, 폐쇄성","0","1"
"S697","손목 및 손의 다발손상","0","1"
"S72080","기타 대퇴골 경부 부분의 골절, 폐쇄성","0","1"
"S72090","대퇴골 경부의 상세불명 부분의 골절, 폐쇄성","1","1"
"S72120","대퇴골전자간골절, 폐쇄성","0","2"
"S7600","엉덩이의 근육 및 힘줄의 손상, 열상","0","1"
"S82320","비골골절(모든 부분)을 동반한 경골 몸통의 골절, 폐쇄성","1","1"
"S82430","비골만의 몸통의 골절, 폐쇄성","0","1"
"S82820","양측 복사골절, 발목, 폐쇄성","0","1"
"S82830","삼복사골절, 발목, 폐쇄성","0","2"
"S8320","내측반달연골의 찢김","0","1"
"T814","달리 분류되지 않은 처치에 따른 감염","0","1"
"U071","바이러스가 확인된 코로나바이러스 질환 2019 [바이러스가 확인된 코로나-19]","3","64"
