"상병코드","상병명","국비","사비","계"
"A020","살모넬라장염","1","0","1"
"A029","상세불명의 살모넬라감염","0","1","1"
"A044","기타 장대장균감염","1","0","1"
"A047","클로스트리듐 디피실리에 의한 장결장염","94","71","165"
"A048","기타 명시된 세균성 장감염","1","1","2"
"A090","감염성 기원의 기타 및 상세불명의 위장염 및 결장염","12","9","21"
"A099","상세불명 기원의 위장염 및 결장염","97","88","185"
"A1500","배양 유무에 관계없이 가래 현미경 검사로 확인된 공동이 있는 폐결핵","1","5","6"
"A1501","배양 유무에 관계없이 가래 현미경 검사로 확인된 공동이 없거나 상세불명의 폐결핵","18","13","31"
"A1511","배양만으로 확인된 공동이 없거나 상세불명의 폐결핵","9","7","16"
"A1520","조직학적으로 확인된 공동이 있는 폐결핵","1","0","1"
"A1521","조직학적으로 확인된 공동이 없거나 상세불명의 폐결핵","0","1","1"
"A1530","상세불명의 수단으로 확인된 공동이 있는 폐결핵","0","1","1"
"A1531","상세불명의 수단으로 확인된 공동이 없거나 상세불명의 폐결핵","5","2","7"
"A1561","세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 결핵성 흉막염","2","1","3"
"A1601","세균학적 및 조직학적으로 음성인 공동이 없거나 상세불명의 폐결핵","0","1","1"
"A1621","세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 폐결핵","4","2","6"
"A1651","세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 결핵성 흉막염","1","4","5"
"A1691","세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 호흡기결핵","0","1","1"
"A179","신경계통의 상세불명 결핵(G998*)","0","1","1"
"A1800","척추의 결핵(M490*)","0","1","1"
"A1811","방광의 결핵(N330*)","0","1","1"
"A182","결핵성 말초림프절병증","2","2","4"
"A1830","결핵성 복막염(K673*)","1","1","2"
"A1831","결핵성 장염(K930*)","1","0","1"
"A1883","심장의 결핵","3","5","8"
"A191","여러 부위의 급성 좁쌀결핵","2","0","2"
"A199","상세불명의 좁쌀결핵","0","2","2"
"A201","연조직피부형페스트","1","0","1"
"A270","황달출혈성 렙토스피라병","1","0","1"
"A310","폐마이코박테리아감염","12","10","22"
"A319","상세불명의 마이코박테리아감염","1","1","2"
"A392","급성 수막구균혈증","0","1","1"
"A400","연쇄구균A군에 의한 패혈증","1","0","1"
"A402","연쇄구균D군에 의한 패혈증","1","0","1"
"A403","폐렴연쇄구균에 의한 패혈증","2","0","2"
"A408","기타 연쇄구균패혈증","0","2","2"
"A410","황색포도구균에 의한 패혈증","23","5","28"
"A411","기타 명시된 포도구균에 의한 패혈증","9","7","16"
"A412","상세불명의 포도구균에 의한 패혈증","1","1","2"
"A414","무산소균에 의한 패혈증","1","1","2"
"A4150","대장균에 의한 패혈증","10","14","24"
"A4151","슈도모나스에 의한 패혈증","3","3","6"
"A4153","아시네토박터에 의한 패혈증","3","2","5"
"A4158","기타 명시된 그람음성균에 의한 패혈증","4","11","15"
"A4159","상세불명의 그람음성균에 의한 패혈증","0","1","1"
"A4180","장구균에 의한 패혈증","10","5","15"
"A4188","기타 명시된 패혈증","6","8","14"
"A419","상세불명의 패혈증","36","45","81"
"A420","폐방선균증","0","1","1"
"A422","목얼굴방선균증","0","2","2"
"A428","기타 형태의 방선균증","1","0","1"
"A429","상세불명의 방선균증","1","0","1"
"A46","단독(丹毒)","0","2","2"
"A480","가스괴저","2","0","2"
"A490","상세불명 부위의 포도구균감염","73","42","115"
"A491","상세불명 부위의 연쇄구균 및 장내구균 감염","90","49","139"
"A498","상세불명 부위의 기타 세균감염","54","60","114"
"A499","상세불명의 세균감염","4","3","7"
"A521","증상성 신경매독","0","1","1"
"A528","잠복성 만기매독","3","5","8"
"A530","조기인지 만기인지 상세불명의 잠복매독","3","0","3"
"A6000","음경의 헤르페스바이러스감염","1","0","1"
"A609","상세불명의 항문생식기의 헤르페스바이러스감염","1","0","1"
"A630","항문생식기의(성병성) 사마귀","2","2","4"
"A753","리케차 쯔쯔가무시에 의한 발진티푸스","0","1","1"
"A812","진행성 다초점백질뇌병증","2","0","2"
"A86","상세불명의 바이러스뇌염","3","0","3"
"A878","기타 바이러스수막염","0","1","1"
"A879","상세불명의 바이러스수막염","1","0","1"
"B000","헤르페스습진","0","1","1"
"B001","헤르페스바이러스 소수포피부염","2","0","2"
"B002","헤르페스바이러스 치은구내염 및 인두편도염","0","1","1"
"B0051","각막염(H191*)","2","1","3"
"B0080","헤르페스바이러스간염(K770*)","0","1","1"
"B0088","기타 헤르페스바이러스감염","1","0","1"
"B009","상세불명의 헤르페스바이러스감염","1","9","10"
"B022","기타 신경계통 침범을 동반한 대상포진","11","7","18"
"B023","대상포진눈병","0","1","1"
"B029","합병증이 없는 대상포진","26","15","41"
"B07","바이러스사마귀","4","0","4"
"B09","피부 및 점막병변이 특징인 상세불명의 바이러스감염","1","0","1"
"B159","간성 혼수가 없는 A형간염","1","3","4"
"B171","급성 C형간염","1","3","4"
"B179","상세불명의 급성 바이러스간염","3","6","9"
"B180","델타-병원체가 있는 만성 바이러스B형간염","1","0","1"
"B1810","델타-병원체가 없는 만성 바이러스B형간염","93","68","161"
"B1818","만성 바이러스B형간염 면역관용기","95","73","168"
"B182","만성 바이러스C형간염","59","41","100"
"B206","폐포자충폐렴을 유발한 인체면역결핍바이러스병","0","1","1"
"B220","뇌병증을 유발한 인체면역결핍바이러스병","0","1","1"
"B238","기타 명시된 병태를 유발한 인체면역결핍바이러스병","1","0","1"
"B24","상세불명의 인체면역결핍바이러스병","3","0","3"
"B258","기타 거대세포바이러스병","3","1","4"
"B279","상세불명의 감염성 단핵구증","1","1","2"
"B300","아데노바이러스에 의한 각막결막염(H192*)","2","0","2"
"B348","상세불명 부위의 기타 바이러스감염","0","1","1"
"B349","상세불명의 바이러스감염","0","1","1"
"B350","수염 및 두피 백선","1","0","1"
"B351","손발톱백선","26","11","37"
"B352","손백선","5","0","5"
"B353","발백선","63","22","85"
"B354","체부백선","12","5","17"
"B356","사타구니백선증","11","4","15"
"B358","기타 피부백선증","2","0","2"
"B359","상세불명의 백선증","2","1","3"
"B361","흑색 백선","1","0","1"
"B369","상세불명의 표재성 진균증","3","3","6"
"B370","칸디다구내염","15","5","20"
"B371","폐칸디다증","0","1","1"
"B373","외음 및 질의 칸디다증(N771*)","0","1","1"
"B3740","칸디다 방광염 및 요도염(N370*)","1","1","2"
"B3748","기타 비뇨생식기 부위의 칸디다증","4","5","9"
"B376","칸디다심내막염(I398*)","0","1","1"
"B377","칸디다패혈증","7","3","10"
"B3780","칸디다식도염","10","5","15"
"B3788","기타 부위의 칸디다증","12","5","17"
"B379","상세불명의 칸디다증","2","0","2"
"B400","급성 폐분아균증","1","0","1"
"B440","침습성 폐아스페르길루스증","4","2","6"
"B441","기타 폐아스페르길루스증","3","2","5"
"B448","기타 형태의 아스페르길루스증","2","0","2"
"B449","상세불명의 아스페르길루스증","2","1","3"
"B49","상세불명의 진균증","9","9","18"
"B59","폐포자충증(J173*)","1","0","1"
"B663","간질증","1","0","1"
"B701","고충증","0","1","1"
"B8300","톡소카라증","2","0","2"
"B86","옴","7","4","11"
"B909","호흡기 및 상세불명 결핵의 후유증","7","7","14"
"B91","회색질척수염의 후유증","0","1","1"
"B951","다른 장에서 분류된 질환의 원인으로서의 B군연쇄구균","4","3","7"
"B952","다른 장에서 분류된 질환의 원인으로서의 D군연쇄구균 및 장내구균","35","45","80"
"B953","다른 장에서 분류된 질환의 원인으로서의 폐렴연쇄구균","0","2","2"
"B954","다른 장에서 분류된 질환의 원인으로서의 기타 연쇄구균","7","4","11"
"B955","다른 장에서 분류된 질환의 원인으로서의 상세불명의 연쇄구균","3","6","9"
"B956","다른 장에서 분류된 질환의 원인으로서의 황색포도구균","109","60","169"
"B957","다른 장에서 분류된 질환의 원인으로서의 기타 포도구균","19","11","30"
"B958","다른 장에서 분류된 질환의 원인으로서의 상세불명의 포도구균","6","7","13"
"B961","다른 장에서 분류된 질환의 원인으로서의 폐렴막대균","81","59","140"
"B962","다른 장에서 분류된 질환의 원인으로서의 대장균","142","115","257"
"B963","다른 장에서 분류된 질환의 원인으로서의 인플루엔자균","1","1","2"
"B964","다른 장에서 분류된 질환의 원인으로서의 프로테우스 (미라빌리스)(모르가니)","12","11","23"
"B965","다른 장에서 분류된 질환의 원인으로서의 슈도모나스 (아에루기노사)","51","32","83"
"B9680","다른 장에서 분류된 질환의 원인으로서의 아시네토박터바우마니","37","54","91"
"B9681","다른 장에서 분류된 질환의 원인으로서의 장내세균속균","56","42","98"
"B9688","다른 장에서 분류된 질환의 원인으로서의 기타 명시된 세균 감염체","11","10","21"
"B980","다른 장에서 분류된 질환의 원인으로서의 헬리코박터 파일로리균","12","21","33"
"C01","혓바닥의 악성 신생물","1","1","2"
"C020","혀 등쪽의 악성 신생물","3","0","3"
"C021","혀 가장자리의 악성 신생물","1","0","1"
"C022","혀 배쪽면의 악성 신생물","0","1","1"
"C029","상세불명의 혀의 악성 신생물","4","0","4"
"C049","상세불명의 입바닥의 악성 신생물","1","0","1"
"C062","구치후부의 악성 신생물","1","0","1"
"C069","상세불명의 입의 악성 신생물","1","0","1"
"C07","귀밑샘의 악성 신생물","2","4","6"
"C091","편도기둥(전, 후)의 악성 신생물","2","0","2"
"C099","상세불명의 편도의 악성 신생물","8","6","14"
"C109","상세불명의 입인두의 악성 신생물","2","2","4"
"C119","상세불명의 비인두의 악성 신생물","3","3","6"
