"상병코드"," 상병명 ","국비","사비"
"A021"," 살모넬라패혈증 ","","2"
"A029"," 상세불명의 살모넬라감염 ","","1"
"A044"," 기타 장대장균감염 ","3","1"
"A047"," 클로스트리듐 디피실리에 의한 장결장염 ","146","87"
"A048"," 기타 명시된 세균성 장감염 ","9","9"
"A049"," 상세불명의 세균성 장감염 ","2","1"
"A0838"," 기타 바이러스장염 ","2",""
"A090"," 감염성 기원의 기타 및 상세불명의 위장염 및 결장염 ","10","9"
"A099"," 상세불명 기원의 위장염 및 결장염 ","95","83"
"A1500"," 배양 유무에 관계없이 가래 현미경 검사로 확인된 공동이 있는 폐결핵 ","","1"
"A1501"," 배양 유무에 관계없이 가래 현미경 검사로 확인된 공동이 없거나 상세불명의 폐결핵 ","14","14"
"A1510"," 배양만으로 확인된 공동이 있는 폐결핵 ","1","2"
"A1511"," 배양만으로 확인된 공동이 없거나 상세불명의 폐결핵 ","8","6"
"A1520"," 조직학적으로 확인된 공동이 있는 폐결핵 ","1",""
"A1521"," 조직학적으로 확인된 공동이 없거나 상세불명의 폐결핵 ","2",""
"A1531"," 상세불명의 수단으로 확인된 공동이 없거나 상세불명의 폐결핵 ","4","1"
"A1551"," 세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 후두, 기관 및 기관지의 결핵 ","","1"
"A1560"," 세균학적 및 조직학적으로 확인된 공동이 있는 결핵성 흉막염 ","","1"
"A1561"," 세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 결핵성 흉막염 ","","1"
"A1600"," 세균학적 및 조직학적으로 음성인 공동이 있는 폐결핵 ","1",""
"A1620"," 세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 폐결핵 ","","1"
"A1621"," 세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 폐결핵 ","","1"
"A1650"," 세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 결핵성 흉막염 ","","1"
"A1651"," 세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 결핵성 흉막염 ","3","4"
"A170"," 결핵성 수막염(G01*) ","2","1"
"A1800"," 척추의 결핵(M490*) ","1","1"
"A182"," 결핵성 말초림프절병증 ","","2"
"A1830"," 결핵성 복막염(K673*) ","","1"
"A1883"," 심장의 결핵 ","4","2"
"A199"," 상세불명의 좁쌀결핵 ","","1"
"A310"," 폐마이코박테리아감염 ","9","20"
"A329"," 상세불명의 리스테리아증 ","","1"
"A363"," 피부디프테리아 ","","1"
"A403"," 폐렴연쇄구균에 의한 패혈증 ","","1"
"A410"," 황색포도구균에 의한 패혈증 ","13","10"
"A411"," 기타 명시된 포도구균에 의한 패혈증 ","5","2"
"A412"," 상세불명의 포도구균에 의한 패혈증 ","2","1"
