상병코드,상병명,국비,사비 
A014,상세불명의 파라티푸스,0,1
A028,기타 명시된 살모넬라감염,0,1
A047,클로스트리듐 디피실리에 의한 장결장염,1,4
A049,상세불명의 세균성 장감염,1,1
A084,상세불명의 바이러스성 장감염,1,0
A085,기타 명시된 장감염,1,0
A090,감염성 기원의 기타 및 상세불명의 위장염 및 결장염,14,7
A099,상세불명 기원의 위장염 및 결장염,29,20
A1501,배양 유무에 관계없이 가래 현미경 검사로 확인된 공동이 없거나 상세불명의 폐결핵,2,4
A1511,배양만으로 확인된 공동이 없거나 상세불명의 폐결핵,1,0
A1561,세균학적 및 조직학적으로 확인된 공동이 없거나 상세불명의 결핵성 흉막염,2,0
A1690,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 상세불명의 호흡기결핵,1,0
A1691,세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 호흡기결핵,1,1
A4150,대장균에 의한 패혈증,1,2
A4151,슈도모나스에 의한 패혈증,0,1
A418,기타 명시된 패혈증,0,1
A419,상세불명의 패혈증,12,6
A498,상세불명 부위의 기타 세균감염,0,3
A499,상세불명의 세균감염,2,1
A630,항문생식기의(성병성) 사마귀,1,0
A753,리케차 쯔쯔가무시에 의한 발진티푸스,1,1
A9380,중증열성혈소판감소증후군 [SFTS],1,0
B0051,각막염(H19.1*),1,1
B009,상세불명의 헤르페스바이러스감염,1,0
B019,합병증이 없는 수두,0,1
B022,기타 신경계통 침범을 동반한 대상포진,1,3
B028,기타 합병증을 동반한 대상포진,1,1
B029,합병증이 없는 대상포진,1,0
B07,바이러스사마귀,2,0
B1810,"델타-병원체가 없는 만성 바이러스B형간염, 면역관용기",2,2
B1819,"델타-병원체가 없는 만성 바이러스B형간염, 기타 및 상세불명의 기간",0,1
B182,만성 바이러스C형간염,3,1
B3780,칸디다식도염,4,0
B86,옴,2,2
B952,다른 장에서 분류된 질환의 원인으로서의 D군연쇄알균 및 장내알균,6,5
B956,다른 장에서 분류된 질환의 원인으로서의 황색포도알균,3,8
B957,다른 장에서 분류된 질환의 원인으로서의 기타 포도알균,0,1
B961,다른 장에서 분류된 질환의 원인으로서의 폐렴막대균,24,9
B962,다른 장에서 분류된 질환의 원인으로서의 대장균,24,38
B964,다른 장에서 분류된 질환의 원인으로서의 프로테우스 (미라빌리스)(모르가니),0,3
B965,다른 장에서 분류된 질환의 원인으로서의 슈도모나스 (아에루기노사),9,7
B9680,다른 장에서 분류된 질환의 원인으로서의 아시네토박터바우마니,4,2
B9681,다른 장에서 분류된 질환의 원인으로서의 장내세균속균,2,1
B9688,다른 장에서 분류된 질환의 원인으로서의 기타 명시된 세균 감염체,1,0
C029,상세불명의 혀의 악성 신생물,0,1
C07,귀밑샘의 악성 신생물,0,1
C099,상세불명의 편도의 악성 신생물,0,1
C109,상세불명의 입인두의 악성 신생물,0,1
C119,상세불명의 비인두의 악성 신생물,0,1
C12,이상동(梨狀洞)의 악성 신생물,0,1
C132,하인두의 후벽의 악성 신생물,1,0
C139,상세불명의 하인두의 악성 신생물,1,0
C154,식도의 중간 3분의1의 악성 신생물,0,2
C155,식도의 하부 3분의1의 악성 신생물,1,0
C159,상세불명의 식도의 악성 신생물,2,4
C1600,"분문의 악성 신생물, 조기",1,0
C1609,"분문의 악성 신생물, 상세불명",0,1
C1620,"위의 체부의 악성 신생물, 조기",1,1
C1621,"위의 체부의 악성 신생물, 진행형",0,1
C1629,"위의 체부의 악성 신생물, 상세불명",1,1
C1630,"유문동의 악성 신생물, 조기",3,0
C1631,"유문동의 악성 신생물, 진행형",1,2
C1639,"유문동의 악성 신생물, 상세불명",0,1
C1691,"상세불명의 위의 악성 신생물, 진행형",3,6
C1699,"상세불명의 위의 악성 신생물, 상세불명",4,9
C180,맹장의 악성 신생물,0,1
C182,상행결장의 악성 신생물,0,3
C183,간굴곡의 악성 신생물,0,1
C186,하행결장의 악성 신생물,0,1
C187,구불결장의 악성 신생물,2,3
C189,상세불명의 결장의 악성 신생물,2,3
C19,직장구불결장접합부의 악성 신생물,2,1
C20,직장의 악성 신생물,6,11
C220,간세포암종의 악성 신생물,12,14
C221,간내담관암종의 악성 신생물,3,8
C229,상세불명의 간의 악성 신생물,1,0
C23,담낭의 악성 신생물,0,6
C240,간외담관의 악성 신생물,3,6
C241,파터팽대의 악성 신생물,0,5
C249,상세불명의 담도의 악성 신생물,0,1
C250,췌장의 두부의 악성 신생물,2,5
C251,췌장의 췌부의 악성 신생물,1,3
C252,췌장의 꼬리의 악성 신생물,9,1
C259,상세불명의 췌장의 악성 신생물,2,16
C321,성문상의 악성 신생물,1,1
C3410,"상엽, 기관지 또는 폐의 악성 신생물, 오른쪽",4,0
C3411,"상엽, 기관지 또는 폐의 악성 신생물, 왼쪽",4,3
C3419,"상엽, 기관지 또는 폐의 악성 신생물, 상세불명 쪽",0,1
C342,"중엽, 기관지 또는 폐의 악성 신생물",1,0
C3430,"하엽, 기관지 또는 폐의 악성 신생물, 오른쪽",2,0
C3431,"하엽, 기관지 또는 폐의 악성 신생물, 왼쪽",0,1
C3439,"하엽, 기관지 또는 폐의 악성 신생물, 상세불명 쪽",0,1
C3490,"상세불명의 기관지 또는 폐의 악성 신생물, 오른쪽",7,14
C3491,"상세불명의 기관지 또는 폐의 악성 신생물, 왼쪽",1,4
C3499,"상세불명의 기관지 또는 폐의 악성 신생물, 상세불명 쪽",23,21
C419,상세불명의 골 및 관절연골의 악성 신생물,0,1
C432,귀 및 외이도의 악성 흑색종,0,1
C443,얼굴의 기타 및 상세불명 부분의 피부의 악성 신생물,1,1
C447,엉덩이를 포함한 다리의 피부의 악성 신생물,0,1
C449,상세불명의 피부의 악성 신생물,0,1
C450,흉막의 중피종,0,1
C459,상세불명의 중피종,0,1
C482,상세불명의 복막의 악성 신생물,0,2
C490,"머리, 얼굴 및 목의 결합조직 및 연조직의 악성 신생물",0,1
C496,상세불명의 몸통의 결합조직 및 연조직의 악성 신생물,0,1
C5049,"유방의 상외사분의 악성 신생물, 상세불명 쪽",0,1
C5080,"유방의 중복병변의 악성 신생물, 오른쪽",0,1
C5090,"상세불명의 유방의 악성 신생물, 오른쪽",0,1
C5099,"상세불명의 유방의 악성 신생물, 상세불명 쪽",0,1
C539,상세불명의 자궁경부의 악성 신생물,0,4
C569,"난소의 악성 신생물, 상세불명 쪽",0,3
C61,전립선의 악성 신생물,61,32
C640,"신우를 제외한 신장의 악성 신생물, 오른쪽",0,2
C641,"신우를 제외한 신장의 악성 신생물, 왼쪽",0,1
C649,"신우를 제외한 신장의 악성 신생물, 상세불명 쪽",0,4
C651,"신우의 악성 신생물, 왼쪽",0,2
C659,"신우의 악성 신생물, 상세불명 쪽",0,2
C660,"요관의 악성 신생물, 오른쪽",2,0
C661,"요관의 악성 신생물, 왼쪽",0,1
C672,방광의 측벽의 악성 신생물,1,0
C674,방광의 후벽의 악성 신생물,2,0
C677,요막관의 악성 신생물,0,1
C679,상세불명의 방광의 악성 신생물,3,8
C693,맥락막의 악성 신생물,0,1
C719,상세불명의 뇌의 악성 신생물,1,3
C770,"머리, 얼굴 및 목의 림프절의 이차성 및 상세불명의 악성신생물",0,2
C771,흉곽내림프절의 이차성 및 상세불명의 악성신생물,0,2
C773,겨드랑 및 팔 림프절의 이차성 및 상세불명의 악성신생물,0,1
C774,사타구니 및 다리 림프절의 이차성 및 상세불명의 악성신생물,0,2
C775,골반내 림프절의 이차성 및 상세불명의 악성신생물,0,1
C779,상세불명의 림프절의 이차성 및 상세불명의 악성신생물,2,11
C7809,"폐의 이차성 악성 신생물, 상세불명 쪽",2,23
C782,흉막의 이차성 악성 신생물,2,9
C784,소장의 이차성 악성 신생물,0,2
C786,후복막 및 복막의 이차성 악성 신생물,2,18
C787,간 및 간내 담관의 이차성 악성 신생물,3,46
C7880,위의 이차성 악성 신생물,0,1
C7881,췌장의 이차성 악성 신생물,0,3
C7882,비장의 이차성 악성 신생물,0,1
C7888,기타 소화기관의 이차성 악성 신생물,0,2
C7909,"신장 및 신우의 이창성 신생물, 상세불명 쪽",0,1
C7910,방광의 이차성 악성 신생물,0,1
C792,피부의 이차성 악성 신생물,0,1
C7930,뇌의 이차성 악성 신생물,2,10
C7931,뇌막의 이차성 악성 신생물,0,1
C795,골 및 골수의 이차성 악성 신생물,6,43
C7969,"난소의 이차성 악성 신생물, 상세불명 쪽",0,1
C797,부신의 이차성 악성 신생물,2,0
C7981,생식기관의 이차성 악성 신생물,0,1
C7988,기타 명시된 부위의 이차성 악성 신생물,0,3
C799,상세불명 부위의 이차성 악성 신생물,6,2
C800,원발부위 미상으로 언급된 악성 신생물,0,1
C809,원발부위 상세불명인 악성 신생물,0,3
C833,미만성 대B-세포림프종,0,1
C859,상세불명의 비호지킨림프종,0,1
C900,다발골수종,4,0
C920,급성 골수모구성 백혈병,1,1
C950,상세불명 세포형의 급성 백혈병,1,1
D090,방광의 제자리암종,15,7
D120,맹장의 양성 신생물,3,2
D122,상행결장의 양성 신생물,6,4
D123,횡행결장의 양성 신생물,1,6
D124,하행결장의 양성 신생물,2,0
D125,구불결장의 양성 신생물,1,2
D126,상세불명의 결장의 양성 신생물,5,0
D128,직장의 양성 신생물,2,0
D131,위의 양성 신생물,17,13
D135,간외담관의 양성 신생물,5,3
D166,척주의 양성 신생물,0,1
D171,몸통의 피부 및 피하조직의 양성 지방종성 신생물,0,1
D179,상세불명의 양성 지방종성 신생물,3,0
D211,어깨를 포함한 팔의 결합조직 및 기타 연조직의 양성 신생물,0,1
D219,상세불명의 결합조직 및 기타 연조직의 기타 양성 신생물,1,2
D235,몸통의 피부의 양성 신생물,1,0
D303,방광의 양성 신생물,1,0
D367,기타 명시된 부위의 양성 신생물,1,0
D376,"간, 담낭 및 담관의 행동양식 불명 또는 미상의 신생물",1,0
D414,방광의 행동양식 불명 또는 미상의 신생물,2,0
D429,상세불명의 수막의 행동양식 불명 또는 미상의 신생물,0,1
D432,상세불명의 뇌의 행동양식 불명 또는 미상의 신생물,1,0
