"구분","코드","명 ","국비","사비","계"
"질병","A020"," 살모넬라장염 ","","1","1"
"질병","A040"," 장병원성 대장균감염 ","1","","1"
"질병","A044"," 기타 장대장균감염 ","","1","1"
"질병","A045"," 캄필로박터장염 ","","2","2"
"질병","A047"," 클로스트리듐 디피실리에 의한 장결장염 ","134","94","228"
"질병","A048"," 기타 명시된 세균성 장감염 ","2","","2"
"질병","A049"," 상세불명의 세균성 장감염 ","1","","1"
"질병","A081"," 노로바이러스에 의한 급성 위장병증 ","","1","1"
"질병","A0838"," 기타 바이러스장염 ","1","","1"
"질병","A090"," 감염성 기원의 기타 및 상세불명의 위장염 및 결장염 ","7","6","13"
"질병","A099"," 상세불명 기원의 위장염 및 결장염 ","94","72","166"
"질병","A1500"," 배양 유무에 관계없이 가래 현미경 검사로 확인된 공동이 있는 폐결핵 ","3","2","5"
"질병","A1501"," 배양 유무에 관계없이 가래 현미경 검사로 확인된 폐결핵, 공동이 없거나 상세불명의 ","10","9","19"
"질병","A1510"," 배양만으로 확인된 공동이 있는 폐결핵 ","1","1","2"
"질병","A1511"," 배양만으로 확인된 공동이 없거나 상세불명의 폐결핵 ","3","2","5"
"질병","A1531"," 상세불명의 수단으로 확인된 공동이 없거나 상세불명의 폐결핵 ","1","1","2"
"질병","A1620"," 세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 있는 폐결핵 ","1","","1"
"질병","A1621"," 세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 폐결핵 ","","2","2"
"질병","A1651"," 세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 결핵성 흉막염 ","5","3","8"
"질병","A1691"," 세균학적 또는 조직학적 확인에 대한 언급이 없는 공동이 없거나 상세불명의 호흡기결핵 ","1","2","3"
"질병","A1808"," 기타 관절의 결핵 ","","2","2"
"질병","A1814"," 남성생식기관의 결핵(N51.-*) ","1","","1"
"질병","A182"," 결핵성 말초림프절병증 ","","4","4"
"질병","A1831"," 결핵성 장염(K93.0*) ","","2","2"
"질병","A1883"," 심장의 결핵 ","1","","1"
"질병","A191"," 여러 부위의 급성 좁쌀결핵 ","","3","3"
"질병","A199"," 상세불명의 좁쌀결핵 ","1","","1"
"질병","A310"," 폐마이코박테리아감염 ","14","13","27"
"질병","A318"," 기타 마이코박테리아감염 ","","1","1"
"질병","A319"," 상세불명의 마이코박테리아감염 ","","4","4"
"질병","A4020"," 장알균에 의한 패혈증 ","2","7","9"
"질병","A4021"," 연쇄알균D군에 의한 패혈증 ","1","","1"
"질병","A408"," 기타 연쇄알균패혈증 ","1","","1"
"질병","A409"," 상세불명의 연쇄알균패혈증 ","1","","1"
"질병","A410"," 황색포도알균에 의한 패혈증 ","17","10","27"
"질병","A411"," 기타 명시된 포도알균에 의한 패혈증 ","7","1","8"
"질병","A413"," 인플루엔자균에 의한 패혈증 ","","2","2"
"질병","A4150"," 대장균에 의한 패혈증 ","14","22","36"
"질병","A4151"," 슈도모나스에 의한 패혈증 ","4","3","7"
"질병","A4153"," 아시네토박터에 의한 패혈증 ","2","","2"
"질병","A4158"," 기타 명시된 그람음성균에 의한 패혈증 ","14","22","36"
"질병","A418"," 기타 명시된 패혈증 ","5","3","8"
"질병","A419"," 상세불명의 패혈증 ","63","42","105"
"질병","A420"," 폐방선균증 ","","2","2"
"질병","A422"," 목얼굴방선균증 ","1","1","2"
"질병","A428"," 기타 형태의 방선균증 ","1","2","3"
"질병","A46"," 단독(丹毒) ","1","","1"
"질병","A490"," 상세불명 부위의 포도알균감염 ","47","37","84"
"질병","A491"," 상세불명 부위의 연쇄알균 및 장내알균 감염 ","71","80","151"
"질병","A493"," 상세불명 부위의 마이코플라스마감염 ","","1","1"
"질병","A498"," 상세불명 부위의 기타 세균감염 ","113","75","188"
