년도,지역,순위,질병코드,상병명,실인원,진료과
2019,광주,1,C34,기관지 및 폐의 악성 신생물,55,가정의학과
2019,광주,2,C22,간 및 간내 담관의 악성 신생물,42,가정의학과
2019,광주,3,C18,결장의 악성 신생물,22,가정의학과
2019,광주,3,C25,췌장의 악성 신생물,22,가정의학과
2019,광주,5,C16,위의 악성 신생물,21,가정의학과
2019,광주,6,R53,병감 및 피로,9,가정의학과
2019,광주,7,C56,난소의 악성 신생물,8,가정의학과
2019,광주,7,C50,유방의 악성 신생물,8,가정의학과
2019,광주,9,E11,2형 당뇨병,7,가정의학과
2019,광주,9,M48,기타 척추병증,7,가정의학과
2019,광주,9,C20,직장의 악성 신생물,7,가정의학과
2019,광주,12,C61,전립선의 악성 신생물,5,가정의학과
2019,광주,12,C71,뇌의 악성 신생물,5,가정의학과
2019,광주,14,C23,담낭의 악성 신생물,4,가정의학과
2019,광주,15,C19,직장구불결장접합부의 악성 신생물,3,가정의학과
2019,광주,15,I69,뇌혈관질환의 후유증,3,가정의학과
2019,광주,15,I10,본태성(원발성) 고혈압,3,가정의학과
2019,광주,15,C85,기타 및 상세불명 유형의 비호지킨림프종,3,가정의학과
2019,광주,19,B02,대상포진,2,가정의학과
2019,광주,19,C24,담도의 기타 및 상세불명 부분의 악성 신생물,2,가정의학과
2019,광주,19,C73,갑상선의 악성 신생물,2,가정의학과
2019,광주,19,C64,신우를 제외한 신장의 악성 신생물,2,가정의학과
2019,광주,19,C54,자궁체부의 악성 신생물,2,가정의학과
2019,광주,19,M51,기타 추간판장애,2,가정의학과
2019,광주,19,J11,바이러스가 확인되지 않은 인플루엔자,2,가정의학과
2019,광주,19,G58,기타 단일신경병증,2,가정의학과
2019,광주,19,C15,식도의 악성 신생물,2,가정의학과
2019,광주,19,G81,편마비,2,가정의학과
2019,광주,19,C65,신우의 악성 신생물,2,가정의학과
2019,광주,19,M54,등통증,2,가정의학과
2019,광주,19,C53,자궁경부의 악성 신생물,2,가정의학과
2019,광주,19,C43,피부의 악성 흑색종,2,가정의학과
2019,광주,1,A41,기타 패혈증,8,감염내과
2019,광주,2,L03,연조직염,6,감염내과
2019,광주,2,J18,상세불명 병원체의 폐렴,6,감염내과
2019,광주,4,N10,급성 세뇨관-간질신장염,5,감염내과
2019,광주,5,M46,기타 염증성 척추병증,3,감염내과
2019,광주,5,R50,기타 및 원인미상의 열,3,감염내과
2019,광주,7,N39,비뇨계통의 기타 장애,2,감염내과
2019,광주,7,N30,방광염,2,감염내과
2019,광주,7,J03,급성 편도염,2,감염내과
2019,광주,7,K75,기타 염증성 간질환,2,감염내과
2019,광주,7,T85,"기타 내부 인공삽입장치, 삽입물 및 이식편의 합병증",2,감염내과
2019,광주,7,J01,급성 부비동염,2,감염내과
2019,광주,13,K52,기타 비감염성 위장염 및 결장염,1,감염내과
2019,광주,13,J15,달리 분류되지 않은 세균성 폐렴,1,감염내과
2019,광주,13,D37,구강 및 소화기관의 행동양식 불명 또는 미상의 신생물,1,감염내과
2019,광주,13,J69,고체 및 액체에 의한 폐렴,1,감염내과
2019,광주,13,K80,담석증,1,감염내과
2019,광주,13,A46,단독(丹毒),1,감염내과
2019,광주,13,L51,다형홍반,1,감염내과
2019,광주,13,B95,다른 장에서 분류된 질환의 원인으로서의 연쇄구균 및 포도구균,1,감염내과
2019,광주,13,J21,급성 세기관지염,1,감염내과
2019,광주,13,K81,담낭염,1,감염내과
2019,광주,13,M71,기타 윤활낭병증,1,감염내과
2019,광주,13,C85,기타 및 상세불명 유형의 비호지킨림프종,1,감염내과
2019,광주,13,J11,바이러스가 확인되지 않은 인플루엔자,1,감염내과
2019,광주,13,E14,상세불명의 당뇨병,1,감염내과
2019,광주,13,K51,궤양성 대장염,1,감염내과
2019,광주,1,E11,2형 당뇨병,127,내분비내과
2019,광주,2,E14,상세불명의 당뇨병,9,내분비내과
2019,광주,3,E10,1형 당뇨병,3,내분비내과
2019,광주,3,G63,달리 분류된 질환에서의 다발신경병증,3,내분비내과
2019,광주,5,N08,달리 분류된 질환에서의 사구체장애,1,내분비내과
2019,광주,5,E13,기타 명시된 당뇨병,1,내분비내과
2019,광주,5,E87,"수분, 전해질 및 산-염기균형의 기타 장애",1,내분비내과
2019,광주,5,E23,뇌하수체의 기능저하 및 기타 장애,1,내분비내과
2019,광주,5,I48,심방세동 및 조동,1,내분비내과
2019,광주,5,E03,기타 갑상선기능저하증,1,내분비내과
2019,광주,1,N40,전립선증식증,405,비뇨의학과
2019,광주,2,C67,방광의 악성 신생물,58,비뇨의학과
2019,광주,3,C61,전립선의 악성 신생물,40,비뇨의학과
