작업일자,전일재원환자수,입원실인원수,전입인원수,전출인원수,퇴원실인원수,금일재원인원수
2023-01-01,91,0,1,1,3,88
2023-01-02,88,9,1,1,5,92
2023-01-03,92,7,0,0,1,98
2023-01-04,98,3,1,1,2,99
2023-01-05,99,6,1,1,5,100
2023-01-06,101,0,2,2,10,90
2023-01-07,90,0,0,0,1,89
2023-01-08,89,2,0,0,0,91
2023-01-09,91,9,1,1,5,95
2023-01-10,94,10,4,4,4,100
2023-01-11,100,3,1,1,7,96
2023-01-12,96,2,1,1,5,93
2023-01-13,93,5,0,0,7,91
2023-01-14,91,0,1,1,1,90
2023-01-15,90,1,0,0,1,90
2023-01-16,90,3,1,1,5,88
2023-01-17,88,7,2,2,4,91
2023-01-18,91,9,0,0,5,95
2023-01-19,96,1,1,1,9,88
2023-01-20,88,3,1,1,14,77
2023-01-21,77,1,1,1,3,75
2023-01-22,75,1,1,1,0,76
2023-01-23,76,1,0,0,2,75
2023-01-24,75,1,0,0,1,75
2023-01-25,75,10,2,2,2,83
2023-01-26,83,10,0,0,5,88
2023-01-27,89,6,2,2,5,90
2023-01-28,90,0,2,2,2,88
2023-01-29,88,2,1,1,1,89
2023-01-30,89,6,0,0,7,88
2023-01-31,88,6,2,2,6,88
2023-02-01,88,7,3,3,3,92
2023-02-02,93,8,3,3,2,99
2023-02-03,98,4,1,1,6,96
2023-02-04,96,0,0,0,5,91
2023-02-05,91,1,0,0,1,91
2023-02-06,93,10,2,2,8,95
2023-02-07,95,7,5,5,4,98
2023-02-08,97,4,0,0,4,97
2023-02-09,97,7,1,1,4,100
2023-02-10,100,3,3,3,8,95
2023-02-11,95,0,1,1,1,94
2023-02-12,94,0,0,0,0,94
2023-02-13,94,6,0,0,5,95
2023-02-14,95,9,0,0,4,100
2023-02-15,100,12,1,1,5,107
2023-02-16,107,5,5,5,5,107
2023-02-17,107,3,3,3,7,103
2023-02-18,103,1,0,0,3,101
2023-02-19,101,0,0,0,0,101
2023-02-20,101,8,1,1,3,106
2023-02-21,106,7,1,1,4,109
2023-02-22,109,8,2,2,2,115
2023-02-23,115,3,2,2,8,110
2023-02-24,110,7,0,0,10,107
2023-02-25,107,1,0,0,1,107
2023-02-26,107,0,0,0,2,105
2023-02-27,104,10,1,1,5,109
2023-02-28,109,5,3,3,5,109
2023-03-01,109,0,1,1,1,108
2023-03-02,108,7,1,1,8,107
2023-03-03,107,5,1,1,6,106
2023-03-04,106,0,0,0,4,102
2023-03-05,102,0,0,0,0,102
2023-03-06,102,7,1,1,7,102
2023-03-07,102,9,0,0,6,105
2023-03-08,105,8,3,3,3,110
2023-03-09,109,6,3,3,6,109
2023-03-10,109,4,3,3,12,101
2023-03-11,101,0,0,0,6,95
2023-03-12,95,0,0,0,0,95
2023-03-13,95,11,1,1,7,99
2023-03-14,99,7,1,1,5,101
2023-03-15,101,8,2,2,2,107
2023-03-16,107,6,2,2,3,110
2023-03-17,110,3,2,2,6,107
2023-03-18,107,1,0,0,2,106
2023-03-19,106,0,0,0,1,105
2023-03-20,105,8,0,0,6,107
2023-03-21,107,11,1,1,6,112
2023-03-22,112,9,4,4,5,116
2023-03-23,116,3,2,2,10,109
2023-03-24,109,1,1,1,6,104
2023-03-25,104,2,1,1,3,103
2023-03-26,103,0,0,0,0,103
2023-03-27,103,8,3,3,3,108
2023-03-28,108,7,4,4,7,108
2023-03-29,108,9,1,1,6,111
2023-03-30,111,8,1,1,8,111
2023-03-31,111,3,0,0,7,107
2023-04-01,107,0,0,0,6,101
