년도,지역,순위,질병코드,상병명,실인원,진료과,코드그룹,국비비율
2019,광주,1,C34,기관지 및 폐의 악성 신생물,28.794117647058826,가정의학과,C34,0.5235294117647059
2019,광주,2,C22,간 및 간내 담관의 악성 신생물,18.73846153846154,가정의학과,C22,0.4461538461538462
2019,광주,3,C18,결장의 악성 신생물,11.6875,가정의학과,C18,0.53125
2019,광주,3,C25,췌장의 악성 신생물,11.440000000000001,가정의학과,C25,0.52
2019,광주,5,C16,위의 악성 신생물,14.25,가정의학과,C16,0.6785714285714286
2019,광주,6,R53,병감 및 피로,5.7857142857142865,가정의학과,R53,0.6428571428571429
2019,광주,7,C56,난소의 악성 신생물,0.0,가정의학과,C56,0.0
2019,광주,7,C50,유방의 악성 신생물,0.7272727272727273,가정의학과,C50,0.09090909090909091
2019,광주,9,E11,2형 당뇨병,4.653179190751445,가정의학과,E11,0.6647398843930635
2019,광주,9,M48,기타 척추병증,4.756676557863502,가정의학과,M48,0.6795252225519288
2019,광주,9,C20,직장의 악성 신생물,5.345454545454546,가정의학과,C20,0.7636363636363637
2019,광주,12,C61,전립선의 악성 신생물,3.4615384615384617,가정의학과,C61,0.6923076923076923
2019,광주,12,C71,뇌의 악성 신생물,1.5,가정의학과,C71,0.3
2019,광주,14,C23,담낭의 악성 신생물,2.4,가정의학과,C23,0.6
2019,광주,15,C19,직장구불결장접합부의 악성 신생물,1.125,가정의학과,C19,0.375
2019,광주,15,I69,뇌혈관질환의 후유증,2.0,가정의학과,I69,0.6666666666666666
2019,광주,15,I10,본태성(원발성) 고혈압,2.048780487804878,가정의학과,I10,0.6829268292682927
2019,광주,15,C85,기타 및 상세불명 유형의 비호지킨림프종,2.4375,가정의학과,C85,0.8125
2019,광주,19,B02,대상포진,0.4,가정의학과,B02,0.2
2019,광주,19,C24,담도의 기타 및 상세불명 부분의 악성 신생물,1.1666666666666667,가정의학과,C24,0.5833333333333334
2019,광주,19,C73,갑상선의 악성 신생물,0.7692307692307693,가정의학과,C73,0.38461538461538464
2019,광주,19,C64,신우를 제외한 신장의 악성 신생물,0.5714285714285714,가정의학과,C64,0.2857142857142857
2019,광주,19,C54,자궁체부의 악성 신생물,0.0,가정의학과,C54,0.0
2019,광주,19,M51,기타 추간판장애,1.3653846153846154,가정의학과,M51,0.6826923076923077
2019,광주,19,J11,바이러스가 확인되지 않은 인플루엔자,0.03278688524590164,가정의학과,J11,0.01639344262295082
2019,광주,19,G58,기타 단일신경병증,1.0,가정의학과,G58,0.5
2019,광주,19,C15,식도의 악성 신생물,0.8888888888888888,가정의학과,C15,0.4444444444444444
2019,광주,19,G81,편마비,1.3333333333333333,가정의학과,G81,0.6666666666666666
2019,광주,19,C65,신우의 악성 신생물,0.0,가정의학과,C65,0.0
2019,광주,19,M54,등통증,1.0344827586206897,가정의학과,M54,0.5172413793103449
2019,광주,19,C53,자궁경부의 악성 신생물,0.0,가정의학과,C53,0.0
2019,광주,19,C43,피부의 악성 흑색종,0.0,가정의학과,C43,0.0
2019,광주,1,A41,기타 패혈증,2.3703703703703702,감염내과,A41,0.2962962962962963
2019,광주,2,L03,연조직염,3.782608695652174,감염내과,L03,0.6304347826086957
2019,광주,2,J18,상세불명 병원체의 폐렴,2.128,감염내과,J18,0.3546666666666667
2019,광주,4,N10,급성 세뇨관-간질신장염,0.8,감염내과,N10,0.16
2019,광주,5,M46,기타 염증성 척추병증,1.7142857142857142,감염내과,M46,0.5714285714285714
2019,광주,5,R50,기타 및 원인미상의 열,0.3529411764705882,감염내과,R50,0.11764705882352941
2019,광주,7,N39,비뇨계통의 기타 장애,0.35555555555555557,감염내과,N39,0.17777777777777778
2019,광주,7,N30,방광염,1.0,감염내과,N30,0.5
2019,광주,7,J03,급성 편도염,0.0,감염내과,J03,0.0
2019,광주,7,K75,기타 염증성 간질환,0.7368421052631579,감염내과,K75,0.3684210526315789
2019,광주,7,T85,"기타 내부 인공삽입장치, 삽입물 및 이식편의 합병증",2.0,감염내과,T85,1.0
2019,광주,7,J01,급성 부비동염,0.2,감염내과,J01,0.1
2019,광주,13,K52,기타 비감염성 위장염 및 결장염,0.13043478260869565,감염내과,K52,0.13043478260869565
2019,광주,13,J15,달리 분류되지 않은 세균성 폐렴,0.06086956521739131,감염내과,J15,0.06086956521739131
2019,광주,13,D37,구강 및 소화기관의 행동양식 불명 또는 미상의 신생물,0.7,감염내과,D37,0.7
2019,광주,13,J69,고체 및 액체에 의한 폐렴,0.4793388429752066,감염내과,J69,0.4793388429752066
2019,광주,13,K80,담석증,0.3541666666666667,감염내과,K80,0.3541666666666667
2019,광주,13,A46,단독(丹毒),1.0,감염내과,A46,1.0
2019,광주,13,L51,다형홍반,0.0,감염내과,L51,0.0
2019,광주,13,B95,다른 장에서 분류된 질환의 원인으로서의 연쇄구균 및 포도구균,1.0,감염내과,B95,1.0
2019,광주,13,J21,급성 세기관지염,0.028846153846153848,감염내과,J21,0.028846153846153848
2019,광주,13,K81,담낭염,0.49019607843137253,감염내과,K81,0.49019607843137253
2019,광주,13,M71,기타 윤활낭병증,0.8571428571428571,감염내과,M71,0.8571428571428571
2019,광주,13,C85,기타 및 상세불명 유형의 비호지킨림프종,0.8125,감염내과,C85,0.8125
2019,광주,13,J11,바이러스가 확인되지 않은 인플루엔자,0.01639344262295082,감염내과,J11,0.01639344262295082
2019,광주,13,E14,상세불명의 당뇨병,0.4375,감염내과,E14,0.4375
2019,광주,13,K51,궤양성 대장염,0.2857142857142857,감염내과,K51,0.2857142857142857
2019,광주,1,E11,2형 당뇨병,84.42196531791907,내분비내과,E11,0.6647398843930635
2019,광주,2,E14,상세불명의 당뇨병,3.9375,내분비내과,E14,0.4375
2019,광주,3,E10,1형 당뇨병,1.0,내분비내과,E10,0.3333333333333333
