병원명,진료과,20대,30대,40대,50대,60대,70대,80대,90대
중앙보훈,가정의학과,1951.37,9949.78,3902.74,5854.11,13659.59,11804.69,7805.48,0.00
중앙보훈,순환기내과,0.00,0.00,0.00,34.98,75.60,402.23,0.00,0.00
중앙보훈,호흡기내과,0.00,0.00,0.00,0.00,0.00,274.17,0.00,0.00
부산보훈,가정의학과,0.00,0.00,0.00,3691.75,1057.77,1585.81,0.00,0.00
부산보훈,호흡기내과,0.00,0.00,0.00,855.24,5490.24,18485.83,5986.68,0.00
부산보훈,정형외과,0.00,1076.95,4451.09,5277.55,10803.90,6069.61,6326.30,0.00
광주보훈,일반외과,0.00,2275.19,2275.19,0.00,0.00,0.00,0.00,0.00
대구보훈,가정의학과,0.00,0.00,0.00,0.00,3258.49,814.62,0.00,0.00
대전보훈,일반내과,0.00,225.66,0.00,0.00,451.31,0.00,0.00,0.00
대구보훈,신경외과,425.93,1537.85,3612.21,1167.21,4613.56,3020.42,741.28,0.00
대전보훈,내분비내과,0.00,570.91,2283.65,1712.74,2854.56,3996.39,0.00,0.00
인천보훈,신경과,0.00,0.00,0.00,125.80,0.00,0.00,0.00,0.00
부산보훈,혈액종양내과,0.00,0.00,0.00,0.00,371.77,371.77,0.00,0.00
대구보훈,피부과,0.00,3832.22,3789.35,3810.78,0.00,13915.71,0.00,0.00
대구보훈,일반외과,626.20,626.20,1252.40,0.00,1304.86,2557.26,0.00,0.00
대구보훈,정형외과,0.00,1580.16,5235.24,6681.14,7954.41,9005.41,4380.00,0.00
대구보훈,소아청소년과,0.00,2218.77,0.00,0.00,0.00,0.00,0.00,0.00
대전보훈,신장내과,0.00,0.00,994.02,497.01,0.00,497.01,0.00,0.00
대전보훈,혈액종양내과,0.00,0.00,0.00,1719.51,429.88,0.00,0.00,0.00
인천보훈,재활의학과,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
인천보훈,안과,0.00,0.00,0.00,46.26,46.26,92.52,0.00,0.00
부산보훈,내분비내과,0.00,0.00,1629.24,0.00,814.62,4652.48,0.00,0.00
대구보훈,이비인후과,0.00,0.00,6842.49,3503.33,1167.78,4452.21,1113.05,0.00
대구보훈,신경과,0.00,0.00,2058.56,1199.37,14588.73,12610.85,4976.30,1109.10
대구보훈,비뇨기과,0.00,2051.22,1577.34,2206.93,7568.54,9626.53,473.88,947.76
대전보훈,일반외과,0.00,0.00,0.00,0.00,417.47,1795.67,0.00,0.00
대전보훈,호흡기내과,0.00,0.00,0.00,724.36,0.00,2657.11,0.00,0.00
대전보훈,신경외과,0.00,0.00,1113.62,3311.52,2197.90,3340.85,1113.62,1113.62
대전보훈,재활의학과,0.00,0.00,3642.11,0.00,1214.04,3642.11,0.00,0.00
인천보훈,피부과,0.00,0.00,0.00,596.86,0.00,1193.73,0.00,2387.45
인천보훈,가정의학과,0.00,424.24,848.47,0.00,424.24,848.47,0.00,0.00
인천보훈,이비인후과,0.00,0.00,240.32,0.00,240.32,240.32,0.00,0.00
중앙보훈,감염내과,0.00,100.42,132.57,902.06,906.01,0.00,0.00,0.00
중앙보훈,신경과,0.00,0.00,107.19,340.18,1184.70,3949.00,532.55,0.00
중앙보훈,정형외과,54.16,1020.53,1703.15,2293.24,12495.76,11083.71,54.16,733.95
중앙보훈,비뇨기과,0.00,0.00,0.00,0.00,821.39,376.85,188.42,0.00
부산보훈,순환기내과,0.00,0.00,2608.03,5164.73,3085.86,17797.01,2494.64,353.72
부산보훈,신장내과,0.00,0.00,0.00,0.00,0.00,1609.50,0.00,0.00
대구보훈,마취통증의학과,0.00,0.00,332.84,984.99,652.15,0.00,0.00,0.00
대구보훈,안과,0.00,1312.76,1699.20,2588.85,3088.68,13940.53,1389.48,0.00
대전보훈,이비인후과,0.00,3176.69,1058.90,0.00,0.00,3176.69,0.00,0.00
대전보훈,정형외과,1316.71,811.24,2704.50,1645.60,2989.39,3686.11,0.00,0.00
인천보훈,정형외과,0.00,78.98,227.91,0.00,350.90,66.00,0.00,0.00
대구보훈,신장내과,0.00,880.06,452.44,0.00,452.44,3582.31,0.00,0.00
중앙보훈,내분비내과,0.00,691.07,2472.07,2200.16,4629.92,5782.46,733.39,0.00
중앙보훈,정신과,0.00,0.00,0.00,101.55,304.64,755.95,203.09,0.00
부산보훈,일반외과,0.00,1434.05,0.00,0.00,1434.05,6062.84,0.00,0.00
부산보훈,신경외과,0.00,588.40,2747.37,2388.02,3318.85,17028.08,1340.97,424.80
광주보훈,재활의학과,0.00,5720.41,0.00,0.00,0.00,5720.41,0.00,0.00
대전보훈,가정의학과,0.00,0.00,0.00,0.00,2679.68,1339.84,0.00,0.00
대전보훈,소화기내과,0.00,1311.07,972.02,3789.91,3169.35,6774.79,279.81,0.00
대전보훈,한방진료과,0.00,0.00,0.00,0.00,0.00,4024.59,0.00,0.00
대구보훈,소화기내과,0.00,375.15,3376.39,375.15,3094.32,1125.46,0.00,0.00
중앙보훈,이비인후과,0.00,1616.83,3406.29,5638.04,7158.41,19713.97,3996.95,0.00
부산보훈,피부과,0.00,0.00,3569.90,1157.06,1157.06,11669.29,0.00,0.00
부산보훈,이비인후과,0.00,1301.48,2624.96,1301.48,11867.31,23602.60,0.00,1301.48
부산보훈,비뇨기과,0.00,0.00,2055.17,7830.86,21720.62,28275.96,1589.75,0.00
대구보훈,재활의학과,0.00,0.00,2457.41,1793.97,511.11,4143.06,1435.18,0.00
대전보훈,피부과,0.00,0.00,3155.25,3155.25,3155.25,0.00,0.00,0.00
대전보훈,순환기내과,0.00,97.03,514.50,0.00,2057.99,1543.49,514.50,0.00
대전보훈,안과,0.00,0.00,0.00,495.32,1981.27,2971.90,495.32,495.32
대전보훈,비뇨기과,0.00,0.00,0.00,1896.08,5776.82,11768.58,0.00,0.00
인천보훈,비뇨기과,0.00,0.00,486.86,0.00,2921.13,0.00,486.86,0.00
대구보훈,순환기내과,874.42,865.39,1295.84,4764.19,8865.50,12241.33,2327.65,1298.09
대구보훈,내분비내과,0.00,354.28,354.28,2045.58,354.28,2393.09,0.00,0.00
중앙보훈,흉부외과,0.00,0.00,0.00,519.58,911.09,5203.09,519.58,0.00
중앙보훈,신장내과,0.00,1074.13,2498.02,1875.21,1148.59,4952.61,1074.13,0.00
중앙보훈,혈액종양내과,0.00,665.12,0.00,0.00,0.00,912.22,0.00,0.00
중앙보훈,산부인과,79.54,9822.85,22890.65,27138.08,9663.76,1932.75,1932.75,0.00
중앙보훈,재활의학과,2388.02,6497.23,1659.71,2510.44,1595.40,1047.61,2364.89,632.40
부산보훈,신경과,0.00,0.00,0.00,2637.93,1318.97,6594.83,2637.93,2637.93
대구보훈,정신과,0.00,3651.13,3651.13,1825.57,0.00,3651.13,5476.70,0.00
대전보훈,정신과,5965.81,5965.81,3977.21,0.00,0.00,0.00,3977.21,0.00
대구보훈,산부인과,0.00,0.00,0.00,0.00,507.73,0.00,0.00,0.00
중앙보훈,일반외과,0.00,1170.60,429.88,0.00,3401.78,1907.37,0.00,2089.02
중앙보훈,신경외과,0.00,2291.55,3573.84,2013.43,4440.93,6977.88,3181.76,0.00
부산보훈,소화기내과,0.00,1498.93,10370.07,3443.53,6372.56,28376.94,3281.62,0.00
부산보훈,재활의학과,0.00,399.98,1456.05,2256.01,0.00,5824.21,0.00,0.00
대구보훈,핵의학과,0.00,452.44,904.88,0.00,0.00,0.00,0.00,0.00
대전보훈,신경과,0.00,0.00,0.00,0.00,4002.03,28988.47,6166.08,0.00
인천보훈,일반내과,0.00,0.00,856.37,0.00,285.46,0.00,0.00,0.00
