진료과,순위,상명코드,상병명,건수,지역,년도,코드그룹,국비비율
가정의학과,1,E86,체액용적고갈,2999.6000000000004,대전,2019,E86,0.4
가정의학과,2,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,,대전,2019,Z26,
가정의학과,3,J30,혈관운동성 및 앨러지성 비염,1483.7307692307693,대전,2019,J30,0.8076923076923077
가정의학과,4,I10,본태성(일차성)고혈압,936.2396694214875,대전,2019,I10,0.5743801652892562
가정의학과,5,R63,음식 및 수액섭취에 관계된 증상 및 징후,1181.25,대전,2019,R63,0.75
가정의학과,6,J00,급성 코인두염[감기],675.4285714285714,대전,2019,J00,0.5714285714285714
가정의학과,7,J02,급성 인두염,572.0,대전,2019,J02,0.5
가정의학과,8,J06,다발성 및 상세불명 부위의 급성 상기도감염,513.5,대전,2019,J06,0.5
가정의학과,9,E11,인슐린-비의존 당뇨병,627.0,대전,2019,E11,0.7437722419928826
가정의학과,10,K29,위염 및 십이지장염,533.5963541666666,대전,2019,K29,0.7526041666666666
가정의학과,11,E78,지질단백질대사장애 및 기타 지질증,536.1304347826087,대전,2019,E78,0.8260869565217391
가정의학과,12,R53,병감 및 피로,281.7241379310345,대전,2019,R53,0.6551724137931034
가정의학과,13,J20,급성 기관지염,199.5,대전,2019,J20,0.5
가정의학과,14,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,,대전,2019,Z00,
가정의학과,15,M81,병적골절이 없는 골다공증,162.0,대전,2019,M81,0.6
가정의학과,16,K21,위-식도역류병,173.04545454545453,대전,2019,K21,0.7363636363636363
가정의학과,17,K59,기타 기능적 창자 장애,166.87074829931973,대전,2019,K59,0.7482993197278912
가정의학과,18,C34,기관지 및 폐의 악성 신생물,50.76923076923077,대전,2019,C34,0.4230769230769231
가정의학과,19,C16,위의 악성 신생물,58.285714285714285,대전,2019,C16,0.4857142857142857
가정의학과,20,J40,급성인지 만성인지 명시되지 않은 기관지염,76.5,대전,2019,J40,0.6428571428571429
일반내과,1,E11,인슐린-비의존 당뇨병,7126.081850533808,대전,2019,E11,0.7437722419928826
일반내과,2,I10,본태성(일차성)고혈압,2721.987603305785,대전,2019,I10,0.5743801652892562
일반내과,3,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,,대전,2019,Z26,
일반내과,4,K29,위염 및 십이지장염,690.1380208333333,대전,2019,K29,0.7526041666666666
일반내과,5,E78,지질단백질대사장애 및 기타 지질증,734.3913043478261,대전,2019,E78,0.8260869565217391
일반내과,6,I20,협심증,440.90410958904107,대전,2019,I20,0.7031963470319634
일반내과,7,K21,위-식도역류병,312.95454545454544,대전,2019,K21,0.7363636363636363
일반내과,8,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,,대전,2019,Z00,
일반내과,9,E10,인슐린-의존 당뇨병,169.39999999999998,대전,2019,E10,0.7333333333333333
일반내과,10,E03,기타 갑상선기능저하증,193.77777777777777,대전,2019,E03,0.8888888888888888
일반내과,11,J00,급성 코인두염[감기],102.28571428571428,대전,2019,J00,0.5714285714285714
일반내과,12,J18,상세불명 병원체의 폐렴,63.97191011235956,대전,2019,J18,0.5421348314606742
일반내과,13,J44,기타 만성 폐쇄성 폐질환,71.19008264462809,대전,2019,J44,0.6033057851239669
일반내과,14,K58,자극성 장증후군,70.0,대전,2019,K58,0.625
일반내과,15,J06,다발성 및 상세불명 부위의 급성 상기도감염,53.0,대전,2019,J06,0.5
일반내과,16,K76,간의 기타 질환,35.0,대전,2019,K76,0.3333333333333333
일반내과,17,K63,창자의 기타 질환,67.91946308724832,대전,2019,K63,0.7718120805369127
일반내과,18,K59,기타 기능적 창자 장애,56.12244897959184,대전,2019,K59,0.7482993197278912
일반내과,19,J98,기타 호흡장애,45.0,대전,2019,J98,0.625
일반내과,20,B18,만성 바이러스간염,35.0,대전,2019,B18,0.5
류마티스내과,1,E11,인슐린-비의존 당뇨병,2745.26334519573,대전,2019,E11,0.7437722419928826
류마티스내과,2,I10,본태성(일차성)고혈압,1272.8264462809916,대전,2019,I10,0.5743801652892562
류마티스내과,3,M15,진균증,440.75,대전,2019,M15,0.8958333333333334
류마티스내과,4,M10,활막 및 건 장애,361.5,대전,2019,M10,0.75
류마티스내과,5,M19,"연기, 불 및 화염에 노출",239.375,대전,2019,M19,0.625
류마티스내과,6,M05,흑색종 및 피부의 기타 악성 신생물,29.0,대전,2019,M05,0.1111111111111111
