월,퇴원과,퇴원결과,건수,지역,년도,주상병코드,주상병명
1,순환기내과,48시간 후 사망,1.13,광주,2022,,
1,내분비내과,호전,2.82,광주,2022,,
1,응급의학과,호전,11.28,광주,2022,,
1,신장내과,경쾌,1.13,광주,2022,,
1,호흡기내과,불변(호전안됨),2.26,광주,2022,,
2,안과,호전,11.85,광주,2022,,
2,가정의학과,경쾌,0.56,광주,2022,,
3,순환기내과,경쾌,2.26,광주,2022,,
3,호흡기내과,호전,6.77,광주,2022,,
3,순환기내과,호전,22.00,광주,2022,,
3,호흡기내과,48시간 후 사망,2.82,광주,2022,,
3,응급의학과,48시간 후 사망,1.13,광주,2022,,
3,신장내과,48시간 후 사망,1.13,광주,2022,,
3,신경과,진단만실시,1.13,광주,2022,,
4,정형외과,진단만실시,0.56,광주,2022,,
5,신경과,호전,17.49,광주,2022,,
5,외과,진단만실시,0.56,광주,2022,,
5,소화기내과,48시간 후 사망,0.56,광주,2022,,
6,신경과,호전,23.13,광주,2022,,
6,정형외과,경쾌,1.69,광주,2022,,
6,재활의학과,불변(호전안됨),1.13,광주,2022,,
7,감염내과,호전,4.51,광주,2022,,
7,혈액종양내과,48시간 후 사망,0.56,광주,2022,,
7,가정의학과,48시간 전 사망,0.56,광주,2022,,
7,가정의학과,불변(호전안됨),1.13,광주,2022,,
7,소화기내과,치료안함,0.56,광주,2022,,
7,호흡기내과,불변(호전안됨),0.56,광주,2022,,
7,재활의학과,불변(호전안됨),0.56,광주,2022,,
8,재활의학과,호전,32.16,광주,2022,,
8,응급의학과,호전,5.64,광주,2022,,
8,응급의학과,48시간 전 사망,0.56,광주,2022,,
8,비뇨의학과,불변(호전안됨),1.13,광주,2022,,
8,비뇨의학과,치료안함,0.56,광주,2022,,
8,소화기내과,48시간 전 사망,0.56,광주,2022,,
8,외과,48시간 후 사망,1.13,광주,2022,,
8,순환기내과,48시간 전 사망,0.56,광주,2022,,
9,신경과,불변(호전안됨),0.56,광주,2022,,
9,호흡기내과,48시간 후 사망,1.13,광주,2022,,
9,순환기내과,경쾌,1.13,광주,2022,,
10,호흡기내과,48시간 후 사망,1.13,광주,2022,,
10,신장내과,호전,5.64,광주,2022,,
10,순환기내과,경쾌,0.56,광주,2022,,
11,소화기내과,호전,15.23,광주,2022,,
11,재활의학과,호전,28.21,광주,2022,,
11,비뇨의학과,호전,34.98,광주,2022,,
11,비뇨의학과,진단만실시,18.05,광주,2022,,
12,외과,호전,34.98,광주,2022,,
12,응급의학과,48시간 후 사망,1.13,광주,2022,,
12,이비인후과,경쾌,0.56,광주,2022,,
1,정형외과,호전,64.88,광주,2022,,
1,호흡기내과,호전,10.72,광주,2022,,
1,가정의학과,경쾌,1.69,광주,2022,,
1,비뇨의학과,치료안함,2.26,광주,2022,,
1,혈액종양내과,경쾌,4.51,광주,2022,,
1,비뇨의학과,불변(호전안됨),1.69,광주,2022,,
2,신장내과,진단만실시,0.56,광주,2022,,
2,정형외과,호전,41.75,광주,2022,,
2,순환기내과,경쾌,14.10,광주,2022,,
2,신경과,48시간 후 사망,1.13,광주,2022,,
2,순환기내과,진단만실시,0.56,광주,2022,,
3,신경과,호전,16.92,광주,2022,,
3,내분비내과,호전,2.26,광주,2022,,
3,외과,치료안함,1.13,광주,2022,,
3,신장내과,경쾌,0.56,광주,2022,,
4,외과,호전,26.51,광주,2022,,
4,호흡기내과,경쾌,8.46,광주,2022,,
4,순환기내과,호전,14.67,광주,2022,,
4,신경과,경쾌,0.56,광주,2022,,
4,정형외과,호전,33.85,광주,2022,,
4,가정의학과,48시간 후 사망,3.95,광주,2022,,
4,비뇨의학과,불변(호전안됨),1.13,광주,2022,,
4,정형외과,경쾌,1.13,광주,2022,,
4,순환기내과,48시간 전 사망,0.56,광주,2022,,
4,혈액종양내과,48시간 후 사망,1.13,광주,2022,,
4,신장내과,경쾌,0.56,광주,2022,,
5,응급의학과,불변(호전안됨),1.13,광주,2022,,
6,응급의학과,불변(호전안됨),1.69,광주,2022,,
6,외과,호전,41.18,광주,2022,,
6,비뇨의학과,진단만실시,16.92,광주,2022,,
6,감염내과,호전,2.26,광주,2022,,
6,신장내과,호전,5.08,광주,2022,,
6,호흡기내과,호전,4.51,광주,2022,,
6,신장내과,48시간 후 사망,0.56,광주,2022,,
6,소아청소년과,호전,1.69,광주,2022,,
7,혈액종양내과,경쾌,2.82,광주,2022,,
7,소아청소년과,진단만실시,3.95,광주,2022,,
7,순환기내과,경쾌,0.56,광주,2022,,
7,비뇨의학과,불변(호전안됨),0.56,광주,2022,,
8,응급의학과,48시간 후 사망,3.95,광주,2022,,
8,감염내과,호전,6.21,광주,2022,,
8,순환기내과,호전,24.26,광주,2022,,
8,신장내과,48시간 후 사망,1.13,광주,2022,,
8,호흡기내과,48시간 후 사망,0.56,광주,2022,,
8,신장내과,경쾌,0.56,광주,2022,,
9,호흡기내과,48시간 전 사망,0.56,광주,2022,,
9,이비인후과,호전,0.56,광주,2022,,
9,비뇨의학과,치료안함,0.56,광주,2022,,
10,외과,호전,32.72,광주,2022,,
10,비뇨의학과,진단만실시,15.80,광주,2022,,
10,호흡기내과,호전,5.08,광주,2022,,
10,신경과,48시간 전 사망,1.13,광주,2022,,
10,정형외과,호전,5.08,광주,2022,,
10,소아청소년과,호전,4.51,광주,2022,,
10,신경과,진단만실시,0.56,광주,2022,,
10,순환기내과,불변(호전안됨),0.56,광주,2022,,
10,순환기내과,48시간 후 사망,0.56,광주,2022,,
11,응급의학과,호전,6.21,광주,2022,,
11,순환기내과,호전,16.92,광주,2022,,
