코드그룹,년도,지역,구분,국비,사비,합계
0.0,2023,서울,수술,1,1,2
1.1,2023,서울,수술,0,1,1
1.2,2020,부산,수술,4,0,4
1.3,2023,서울,수술,22,32,54
1.5,2023,서울,수술,2,2,4
10.,2023,서울,수술,2,2,4
11.,2023,서울,수술,4,4,8
12.,2020,부산,수술,1,0,1
12.,2023,서울,수술,76,75,151
13.,2020,부산,수술,374,116,490
13.,2023,서울,수술,1452,905,2357
14.,2020,부산,수술,16,0,16
14.,2023,서울,수술,369,382,751
15.,2023,서울,수술,3,0,3
16.,2023,서울,수술,7,2,9
18.,2023,서울,수술,7,17,24
19.,2023,서울,수술,20,34,54
2.3,2023,서울,수술,2,4,6
20.,2023,서울,수술,50,39,89
21.,2020,부산,수술,21,4,25
21.,2023,서울,수술,77,59,136
22.,2020,부산,수술,7,2,9
22.,2023,서울,수술,143,131,274
24.,2023,서울,수술,1,0,1
25.,2023,서울,수술,10,3,13
26.,2023,서울,수술,8,6,14
27.,2023,서울,수술,14,8,22
28,2023,서울,수술,2,0,2
28.,2023,서울,수술,6,5,11
29.,2023,서울,수술,10,8,18
3.0,2020,부산,수술,2,1,3
3.0,2023,서울,수술,124,134,258
3.1,2020,부산,수술,19,0,19
3.3,2023,서울,수술,0,2,2
3.4,2023,서울,수술,1,0,1
3.5,2020,부산,수술,145,9,154
3.5,2023,서울,수술,23,70,93
3.6,2020,부산,수술,6,0,6
3.6,2023,서울,수술,2,0,2
3.9,2020,부산,수술,170,7,177
3.9,2023,서울,수술,258,198,456
30.,2023,서울,수술,41,24,65
31.,2020,부산,수술,1,0,1
31.,2023,서울,수술,69,37,106
32.,2023,서울,수술,57,31,88
33.,2023,서울,수술,3,1,4
34.,2023,서울,수술,38,21,59
35.,2023,서울,수술,30,10,40
36.,2023,서울,수술,41,18,59
37.,2023,서울,수술,10,2,12
38.,2020,부산,수술,10,2,12
38.,2023,서울,수술,173,123,296
39.,2020,부산,수술,11,0,11
39.,2023,서울,수술,235,144,379
4.0,2020,부산,수술,1,0,1
4.4,2020,부산,수술,6,3,9
4.4,2023,서울,수술,18,11,29
4.6,2023,서울,수술,3,8,11
4.7,2020,부산,수술,524,3,527
4.7,2023,서울,수술,68,7,75
4.8,2023,서울,수술,91,204,295
40.,2023,서울,수술,170,150,320
41.,2023,서울,수술,5,4,9
43.,2020,부산,수술,5,0,5
43.,2023,서울,수술,44,39,83
44.,2023,서울,수술,10,2,12
45.,2020,부산,수술,4,0,4
45.,2023,서울,수술,67,72,139
46.,2023,서울,수술,33,23,56
47.,2020,부산,수술,6,5,11
47.,2023,서울,수술,24,35,59
48.,2020,부산,수술,1,0,1
48.,2023,서울,수술,19,27,46
49.,2020,부산,수술,3,6,9
49.,2023,서울,수술,50,92,142
5.3,2023,서울,수술,1,1,2
50,2023,서울,수술,0,3,3
50.,2023,서울,수술,8,9,17
51.,2020,부산,수술,25,24,49
51.,2023,서울,수술,93,122,215
52.,2023,서울,수술,7,2,9
53.,2020,부산,수술,25,23,48
53.,2023,서울,수술,132,120,252
54,2023,서울,수술,1,1,2
54.,2020,부산,수술,1,0,1
54.,2023,서울,수술,415,394,809
55,2023,서울,수술,8,2,10
55.,2023,서울,수술,16,17,33
56,2023,서울,수술,15,19,34
56.,2023,서울,수술,36,19,55
57,2023,서울,수술,12,25,37
57.,2020,부산,수술,48,3,51
57.,2023,서울,수술,243,116,359
58.,2020,부산,수술,11,0,11
58.,2023,서울,수술,53,13,66
59.,2023,서울,수술,46,65,111
6.2,2020,부산,수술,0,1,1
6.2,2023,서울,수술,19,11,30
6.3,2023,서울,수술,1,0,1
6.4,2023,서울,수술,1,1,2
6.8,2023,서울,수술,3,0,3
60.,2020,부산,수술,135,70,205
60.,2023,서울,수술,184,160,344
61,2023,서울,수술,2,0,2
61.,2023,서울,수술,3,1,4
62.,2020,부산,수술,1,0,1
62.,2023,서울,수술,1,1,2
63.,2020,부산,수술,4,2,6
63.,2023,서울,수술,10,13,23
64,2023,서울,수술,3,2,5
64.,2020,부산,수술,14,0,14
64.,2023,서울,수술,18,5,23
65.,2023,서울,수술,0,49,49
66.,2023,서울,수술,0,5,5
67.,2023,서울,수술,0,10,10
68.,2023,서울,수술,1,169,170
69.,2023,서울,수술,0,1,1
7.2,2023,서울,수술,3,1,4
7.6,2023,서울,수술,2,4,6
70.,2023,서울,수술,1,24,25
71.,2023,서울,수술,0,6,6
76.,2023,서울,수술,1,0,1
77.,2020,부산,수술,7,0,7
77.,2023,서울,수술,34,41,75
78.,2020,부산,수술,15,15,30
78.,2023,서울,수술,71,78,149
79.,2020,부산,수술,15,15,30
79.,2023,서울,수술,58,116,174
8.2,2023,서울,수술,2,1,3
8.3,2023,서울,수술,4,0,4
8.4,2023,서울,수술,7,8,15
8.8,2023,서울,수술,2,2,4
8.9,2023,서울,수술,2,1,3
80.,2020,부산,수술,87,93,180
80.,2023,서울,수술,226,276,502
81.,2020,부산,수술,99,66,165
81.,2023,서울,수술,344,690,1034
82.,2020,부산,수술,6,1,7
82.,2023,서울,수술,0,4,4
83.,2020,부산,수술,133,19,152
83.,2023,서울,수술,140,196,336
84.,2020,부산,수술,5,1,6
84.,2023,서울,수술,97,83,180
85.,2023,서울,수술,4,40,44
86.,2020,부산,수술,24,5,29
86.,2023,서울,수술,200,93,293
87.,2023,서울,수술,6,8,14
88.,2020,부산,수술,1,0,1
88.,2023,서울,수술,0,2,2
9.4,2023,서울,수술,4,3,7
9.7,2023,서울,수술,0,1,1
9.8,2023,서울,수술,2,2,4
92.,2023,서울,수술,1,0,1
93.,2020,부산,수술,12,1,13
93.,2023,서울,수술,12,11,23
96.,2023,서울,수술,46,15,61
97.,2020,부산,수술,1,0,1
97.,2023,서울,수술,15,14,29
98.,2020,부산,수술,1,3,4
99.,2020,부산,수술,1,0,1
99.,2023,서울,수술,3,12,15
