년도,지역,구분,코드,상병명,연령별.합계,X59이하,X60.64,X65.69,X70.79,X80.89,X90이상
2021,광주,입원(실인원),"I10~I13, I15",고혈압,50,7,1,3,26,10,3
2021,광주,입원(실인원),E10~E14,당뇨병,120,16,6,5,83,10,0
2021,광주,입원(실인원),"F00~F99, G40~G41",정신 및 행동장애,49,1,0,0,21,21,6
2021,광주,입원(실인원),"A15, A16, A19",호흡기결핵,21,2,0,1,11,4,3
2021,광주,입원(실인원),"I05~I09, I20~I27, I30~I52",심장질환,616,42,17,41,403,81,32
2021,광주,입원(실인원),I60~I69,대뇌혈관질환,379,17,10,27,240,69,16
2021,광주,입원(실인원),"G00~G37, G43~G83",신경계질환,261,74,19,18,122,26,2
2021,광주,입원(실인원),"C00~C97, D00~D09",악성신생물,958,48,54,67,590,165,34
2021,광주,입원(실인원),E00~E07,갑상선의 장애,4,1,0,0,2,1,0
2021,광주,입원(실인원),"B18, B19, K70~K77",간의 질환,64,5,0,14,40,3,2
2021,광주,입원(실인원),N18,만성신부전증,77,3,0,2,44,24,4
2021,광주,입원(연인원),"I10~I13, I15",고혈압,511,27,3,42,219,164,56
2021,광주,입원(연인원),E10~E14,당뇨병,2395,303,93,26,1828,145,0
2021,광주,입원(연인원),"F00~F99, G40~G41",정신 및 행동장애,795,3,0,0,442,238,112
2021,광주,입원(연인원),"A15, A16, A19",호흡기결핵,343,20,0,7,166,108,42
2021,광주,입원(연인원),"I05~I09, I20~I27, I30~I52",심장질환,5729,281,51,280,3486,1274,357
2021,광주,입원(연인원),I60~I69,대뇌혈관질환,15247,809,521,1178,10391,1974,374
2021,광주,입원(연인원),"G00~G37, G43~G83",신경계질환,7437,2050,417,440,3822,672,36
2021,광주,입원(연인원),"C00~C97, D00~D09",악성신생물,20303,934,1096,1445,11278,4469,1081
2021,광주,입원(연인원),E00~E07,갑상선의 장애,73,3,0,0,52,18,0
2021,광주,입원(연인원),"B18, B19, K70~K77",간의 질환,1206,98,0,194,749,101,64
2021,광주,입원(연인원),N18,만성신부전증,4330,46,0,241,2071,1906,66
2021,광주,외래,"I10~I13, I15",고혈압,21335,1912,1350,2149,12797,2499,628
2021,광주,외래,E10~E14,당뇨병,20797,1747,1273,1773,13888,1846,270
2021,광주,외래,"F00~F99, G40~G41",정신 및 행동장애,22021,3285,1184,1434,10178,4735,1205
2021,광주,외래,"A15, A16, A19",호흡기결핵,216,24,12,9,107,34,30
2021,광주,외래,"I05~I09, I20~I27, I30~I52",심장질환,25683,1685,1256,1975,17022,3090,655
2021,광주,외래,I60~I69,대뇌혈관질환,14119,1645,640,1121,8358,1924,431
2021,광주,외래,"G00~G37, G43~G83",신경계질환,13682,1734,1098,1655,7421,1591,183
2021,광주,외래,"C00~C97, D00~D09",악성신생물,13324,612,490,671,9360,1860,331
2021,광주,외래,E00~E07,갑상선의 장애,2544,565,178,358,1178,230,35
2021,광주,외래,"B18, B19, K70~K77",간의 질환,4307,1015,392,391,2252,207,50
2021,광주,외래,N18,만성신부전증,4229,662,86,117,2352,800,212
2021,서울,입원(실인원),"I10~I13, I15",고혈압,4,,,,4,,
2021,서울,입원(실인원),E10~E14,당뇨병,147,19,8,4,93,15,8
2021,서울,입원(실인원),"F00~F99, G40~G41",정신 및 행동장애,184,77,27,13,62,4,1
2021,서울,입원(실인원),"A15, A16, A19",호흡기결핵,13,,,,8,4,1
2021,서울,입원(실인원),"I05~I09, I20~I27, I30~I52",심장질환,1009,27,24,46,650,200,62
2021,서울,입원(실인원),I60~I69,대뇌혈관질환,836,40,32,79,569,88,28
2021,서울,입원(실인원),"G00~G37, G43~G83",신경계질환,173,15,7,14,113,21,3
2021,서울,입원(실인원),"C00~C97, D00~D09",악성신생물,1905,74,47,98,1356,274,56
2021,서울,입원(실인원),E00~E07,갑상선의 장애,9,,,,8,1,
2021,서울,입원(실인원),"B18, B19, K70~K77",간의 질환,94,10,8,10,55,8,3
2021,서울,입원(실인원),N18,만성신부전증,177,9,6,5,121,34,2
2021,서울,입원(연인원),"I10~I13, I15",고혈압,27,,,,27,,
2021,서울,입원(연인원),E10~E14,당뇨병,3904,293,232,86,2283,581,429
2021,서울,입원(연인원),"F00~F99, G40~G41",정신 및 행동장애,13636,5763,2432,1103,4179,152,7
2021,서울,입원(연인원),"A15, A16, A19",호흡기결핵,207,,,,126,24,57
2021,서울,입원(연인원),"I05~I09, I20~I27, I30~I52",심장질환,12937,158,135,458,7087,4246,853
2021,서울,입원(연인원),I60~I69,대뇌혈관질환,8300,229,550,485,4748,1889,399
2021,서울,입원(연인원),"G00~G37, G43~G83",신경계질환,3596,227,197,761,1878,456,77
2021,서울,입원(연인원),"C00~C97, D00~D09",악성신생물,33464,999,744,1171,23534,5605,1411
2021,서울,입원(연인원),E00~E07,갑상선의 장애,82,,,,79,3,
2021,서울,입원(연인원),"B18, B19, K70~K77",간의 질환,1679,86,150,106,1017,138,182
2021,서울,입원(연인원),N18,만성신부전증,5383,113,83,123,3573,1471,20
2021,서울,외래,"I10~I13, I15",고혈압,55005,2493,2621,4663,34995,8550,1683
2021,서울,외래,E10~E14,당뇨병,58595,3309,2656,4872,39473,7225,1060
2021,서울,외래,"F00~F99, G40~G41",정신 및 행동장애,40478,5530,1729,2579,20778,7721,2141
2021,서울,외래,"A15, A16, A19",호흡기결핵,477,30,17,9,199,126,96
2021,서울,외래,"I05~I09, I20~I27, I30~I52",심장질환,45789,1226,1310,2579,31916,7221,1537
2021,서울,외래,I60~I69,대뇌혈관질환,35455,1320,1059,2306,23489,5781,1500
2021,서울,외래,"G00~G37, G43~G83",신경계질환,56804,7489,2558,3663,36350,5716,1028
2021,서울,외래,"C00~C97, D00~D09",악성신생물,61004,1775,1567,3063,45205,8125,1269
2021,서울,외래,E00~E07,갑상선의 장애,8139,896,562,1182,4582,797,120
2021,서울,외래,"B18, B19, K70~K77",간의 질환,11007,1458,889,1241,6595,743,81
2021,서울,외래,N18,만성신부전증,17612,1338,634,778,10792,3125,945
2021,부산,입원(실인원),"I10~I13, I15",고혈압,54,3,2,6,32,10,1
2021,부산,입원(실인원),E10~E14,당뇨병,144,7,2,6,121,8,0
2021,부산,입원(실인원),"F00~F99, G40~G41",정신 및 행동장애,6,1,2,0,2,0,1
2021,부산,입원(실인원),"A15, A16, A19",호흡기결핵,13,0,1,1,7,4,0
2021,부산,입원(실인원),"I05~I09, I20~I27, I30~I52",심장질환,1088,15,22,54,845,125,27
2021,부산,입원(실인원),I60~I69,대뇌혈관질환,137,10,3,3,106,10,5
2021,부산,입원(실인원),"G00~G37, G43~G83",신경계질환,72,5,2,5,57,2,1
2021,부산,입원(실인원),"C00~C97, D00~D09",악성신생물,525,28,21,25,358,82,11
2021,부산,입원(실인원),E00~E07,갑상선의 장애,3,0,0,0,1,2,0
2021,부산,입원(실인원),"B18, B19, K70~K77",간의 질환,79,6,7,5,53,7,1
2021,부산,입원(실인원),N18,만성신부전증,54,0,1,3,41,7,2
2021,부산,입원(연인원),"I10~I13, I15",고혈압,623,12,26,26,390,159,10
2021,부산,입원(연인원),E10~E14,당뇨병,5026,276,48,144,4234,324,0
2021,부산,입원(연인원),"F00~F99, G40~G41",정신 및 행동장애,172,16,91,0,17,0,48
2021,부산,입원(연인원),"A15, A16, A19",호흡기결핵,369,0,3,14,247,105,0
2021,부산,입원(연인원),"I05~I09, I20~I27, I30~I52",심장질환,7882,63,104,285,5768,1399,263
2021,부산,입원(연인원),I60~I69,대뇌혈관질환,7821,663,194,290,6014,513,147
2021,부산,입원(연인원),"G00~G37, G43~G83",신경계질환,4480,417,80,440,3379,150,14
2021,부산,입원(연인원),"C00~C97, D00~D09",악성신생물,14240,461,404,521,10156,2381,317
2021,부산,입원(연인원),E00~E07,갑상선의 장애,64,0,0,0,16,48,0
2021,부산,입원(연인원),"B18, B19, K70~K77",간의 질환,2369,310,278,130,1426,201,24
2021,부산,입원(연인원),N18,만성신부전증,1813,0,1,217,1496,78,21
2021,부산,외래,"I10~I13, I15",고혈압,20042,831,772,1533,14213,2255,438
2021,부산,외래,E10~E14,당뇨병,26141,1121,1072,2091,19059,2460,338
2021,부산,외래,"F00~F99, G40~G41",정신 및 행동장애,19341,1402,654,1199,12553,2830,703
2021,부산,외래,"A15, A16, A19",호흡기결핵,197,0,18,29,125,20,5
2021,부산,외래,"I05~I09, I20~I27, I30~I52",심장질환,20056,377,518,1133,15239,2338,451
2021,부산,외래,I60~I69,대뇌혈관질환,12716,700,308,538,9419,1446,305
2021,부산,외래,"G00~G37, G43~G83",신경계질환,7227,606,212,426,5219,676,88
2021,부산,외래,"C00~C97, D00~D09",악성신생물,15518,310,231,713,12276,1760,228
2021,부산,외래,E00~E07,갑상선의 장애,2957,318,194,314,1841,251,39
2021,부산,외래,"B18, B19, K70~K77",간의 질환,4546,557,306,390,3006,266,21
2021,부산,외래,N18,만성신부전증,14458,709,558,880,10203,1667,441
2021,대전,입원(실인원),"I10~I13, I15",고혈압,34,,,7,21,3,3
2021,대전,입원(실인원),E10~E14,당뇨병,248,10,11,9,183,34,1
2021,대전,입원(실인원),"F00~F99, G40~G41",정신 및 행동장애,13,3,,,5,3,2
2021,대전,입원(실인원),"A15, A16, A19",호흡기결핵,1,1,,,,,
2021,대전,입원(실인원),"I05~I09, I20~I27, I30~I52",심장질환,90,2,3,5,70,8,2
