"구분","병동구분","병상.합계","병실.합계","X.1인실.병상.","X.1인실.병실.","X.2인실.병상.","X.2인실.병실.","X.4인실.병상.","X.4인실.병실.","X.5인실.병상.","X.5인실.병실.","X.6인실.병상.","X.6인실.병실.","X.기타.병상.","X.기타.병실.","지역","년도","병동.구분","X.특실.병상.","X.특실.병실.","X.3인실.병상.","X.3인실.병실.","X.8인실.병상.","X.8인실.병실.","X.7인실.병상.","X.7인실.병실.","병상현황","X.9인실.병상.","X.9인실.병실.","X.격리실.병상.","X.격리실.병실.","X.국비.병상.","X.국비.병실.","X.사비.병상.","X.사비.병실.","X6인실.병실","특실.병상","특실.병실","X1인실.병상","X1인실.병실","X2인실.병상","X2인실.병실","X3인실.병상","X3인실.병실","X4인실.병상","X4인실.병실","X5인실.병상","X5인실.병실","X6인실.병상","기타.병상","기타.병실"
"운영병상(일반)","일반병실","470","105","18","18","32","16","4","1","20","4","396","66","0","0","광주",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"운영병상(일반)","간호간병","45","9","1","1","2","1","0","0","0","0","42","7","0","0","광주",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"운영병상(일반)","완화의료","29","8","1","1","0","0","28","7","0","0","0","0","0","0","광주",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"운영병상(일반)","정신과폐쇄","0","0","0","0","0","0","0","0","0","0","0","0","0","0","광주",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"운영병상","중환자","28","2","1","1","0","0","0","0","0","0","0","0","27","1","광주",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"운영병상","격리병실","5","5","5","5","0","0","0","0","0","0","0","0","0","0","광주",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"운영병상","무균치료실","0","0","0","0","0","0","0","0","0","0","0","0","0","0","광주",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"기타병상","응급실","1","0","1","0","0","0","0","0","0","0","0","0","0","0","광주",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"기타병상","수술실","8","0","8","0","0","0","0","0","0","0","0","0","0","0","광주",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"기타병상","분만실","1","0","1","0","0","0","0","0","0","0","0","0","0","0","광주",2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
