진료과,순위,상명코드,상병명,건수,지역,년도
가정의학과,1,E86,체액용적고갈,7499,대전,2019
가정의학과,2,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,3606,대전,2019
가정의학과,3,J30,혈관운동성 및 앨러지성 비염,1837,대전,2019
가정의학과,4,I10,본태성(일차성)고혈압,1630,대전,2019
가정의학과,5,R63,음식 및 수액섭취에 관계된 증상 및 징후,1575,대전,2019
가정의학과,6,J00,급성 코인두염[감기],1182,대전,2019
가정의학과,7,J02,급성 인두염,1144,대전,2019
가정의학과,8,J06,다발성 및 상세불명 부위의 급성 상기도감염,1027,대전,2019
가정의학과,9,E11,인슐린-비의존 당뇨병,843,대전,2019
가정의학과,10,K29,위염 및 십이지장염,709,대전,2019
가정의학과,11,E78,지질단백질대사장애 및 기타 지질증,649,대전,2019
가정의학과,12,R53,병감 및 피로,430,대전,2019
가정의학과,13,J20,급성 기관지염,399,대전,2019
가정의학과,14,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,333,대전,2019
가정의학과,15,M81,병적골절이 없는 골다공증,270,대전,2019
가정의학과,16,K21,위-식도역류병,235,대전,2019
가정의학과,17,K59,기타 기능적 창자 장애,223,대전,2019
가정의학과,18,C34,기관지 및 폐의 악성 신생물,120,대전,2019
가정의학과,19,C16,위의 악성 신생물,120,대전,2019
가정의학과,20,J40,급성인지 만성인지 명시되지 않은 기관지염,119,대전,2019
내과,1,E11,인슐린-비의존 당뇨병,9581,대전,2019
내과,2,I10,본태성(일차성)고혈압,4739,대전,2019
내과,3,Z26,기타 단일 감염성 질환에 대한 예방접종의 필요,1896,대전,2019
내과,4,K29,위염 및 십이지장염,917,대전,2019
내과,5,E78,지질단백질대사장애 및 기타 지질증,889,대전,2019
내과,6,I20,협심증,627,대전,2019
내과,7,K21,위-식도역류병,425,대전,2019
내과,8,Z00,호소증상 및 보고된 진단명이 없는 사람의 일반적 검사 및 조사,349,대전,2019
내과,9,E10,인슐린-의존 당뇨병,231,대전,2019
내과,10,E03,기타 갑상선기능저하증,218,대전,2019
내과,11,J00,급성 코인두염[감기],179,대전,2019
내과,12,J18,상세불명 병원체의 폐렴,118,대전,2019
내과,13,J44,기타 만성 폐쇄성 폐질환,118,대전,2019
내과,14,K58,자극성 장증후군,112,대전,2019
내과,15,J06,다발성 및 상세불명 부위의 급성 상기도감염,106,대전,2019
내과,16,K76,간의 기타 질환,105,대전,2019
