Type,Model,CV_F1_Mean,CV_F1_Std,CV_Acc_Mean,CV_Acc_Std,Test_Accuracy,Test_F1_Weighted,Test_F1_Macro,Test_Precision_Weighted,Test_Recall_Weighted,Test_Precision_Macro,Test_Recall_Macro,Test_AUC,Test_F1_Score,Test_Precision,Test_Recall,Best_Params
Sampling-Original,Random Forest,0.918967846110118,0.01661010162083684,0.9296503085512782,0.01765582610465044,0.9615384615384616,0.9569937541091387,0.8511294261294262,0.9629807692307693,0.9615384615384616,0.9755952380952382,0.81055900621118,0.9996050136928586,,,,
Sampling-Original,XGBoost,0.9903118509026054,0.004900012232099855,0.9903026741110785,0.004849108163959855,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Sampling-Original,LightGBM,0.9828681590794993,0.010591862775126061,0.9830149867763737,0.009727377544366063,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Sampling-Original,CatBoost,0.995169704382263,0.005961562259204823,0.9951513370555393,0.005938556839997251,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Sampling-Original,AdaBoost,0.6416090287944858,0.0023772651228334634,0.7451366441375258,0.0015115863825579255,0.75,0.6482142857142856,0.45357142857142857,0.5783132530120482,0.75,0.42168674698795183,0.5,0.9683707118666038,,,,
Sampling-Original,Neural Network,0.8314807199188994,0.03791469112761299,0.8375257126065238,0.04457768369044463,0.875,0.8690055433740276,0.6584985784063571,0.8642254638017349,0.875,0.6584672389757136,0.6597199520540482,0.9696933481397226,,,,
Sampling-Original,Logistic Regression,0.8086160111593669,0.052224983584125015,0.8206876285630326,0.058145548133099745,0.8365384615384616,0.8145601398906517,0.6175443954797329,0.8070367132867133,0.8365384615384616,0.6306818181818182,0.6172768878718535,0.955624879729662,,,,
Sampling-SMOTE,Random Forest,0.9798186518464099,0.007639172469174003,0.9798254974577867,0.007606021675347263,0.9711538461538461,0.970240829397684,0.9287225289794128,0.9718057366362451,0.9711538461538461,0.9806558585114222,0.8938923395445135,0.9964061872635709,,,,
Sampling-SMOTE,XGBoost,0.9932628875588175,0.004207564128104441,0.9932647040361559,0.004205805443054639,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Sampling-SMOTE,LightGBM,0.9944292408428886,0.008611660046108326,0.9944071307513653,0.008654720493406794,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Sampling-SMOTE,CatBoost,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,
Sampling-SMOTE,AdaBoost,0.37949913395466855,0.0013896254260920317,0.5044881049526082,0.0013838056421472925,0.5769230769230769,0.4624742653939734,0.2635847526358475,0.39411057692307694,0.5769230769230769,0.209375,0.5,0.7809883825261958,,,,
Sampling-SMOTE,Neural Network,0.9360099522815102,0.020246629316893163,0.9361245370660974,0.02014659187438559,0.9134615384615384,0.9103708791208791,0.6934523809523809,0.90904384077461,0.9134615384615384,0.6854728604728604,0.7031982129236134,0.9659309089687016,,,,
Sampling-SMOTE,Logistic Regression,0.90996383475828,0.01899980933239691,0.9103257799259306,0.018679144567372435,0.8461538461538461,0.8461980618204336,0.777041713542975,0.8480745948966288,0.8461538461538461,0.7696731234866828,0.79148959354909,0.9551399680815595,,,,
Sampling-ADASYN,Random Forest,0.9671176461804507,0.01677667932178857,0.9668690425596502,0.017135823546193838,0.9423076923076923,0.9374416433239964,0.8339402427637722,0.9451727177745853,0.9423076923076923,0.9666808149405772,0.7867494824016563,0.9974382405962001,,,,
