Type,Model,CV_F1_Mean,CV_F1_Std,CV_Acc_Mean,CV_Acc_Std,Test_Accuracy,Test_F1_Score,Test_Precision,Test_Recall,Test_AUC,Best_Params
Sampling-Original,Random Forest,0.9313893961530999,0.02696261249746382,0.9394064061122538,0.025133841436849835,0.9615384615384616,0.9474901762916074,0.9345716783216784,0.9615384615384616,0.9997002155207337,
Sampling-Original,XGBoost,0.9903118509026054,0.004900012232099855,0.9903026741110785,0.004849108163959855,1.0,1.0,1.0,1.0,1.0,
Sampling-Original,LightGBM,0.980303940173817,0.013191171702469919,0.9805759623861299,0.012431424306066845,1.0,1.0,1.0,1.0,1.0,
Sampling-Original,Neural Network,0.8366719977922316,0.05196017037839419,0.8423156038789303,0.05847673571098442,0.8557692307692307,0.8416487011299177,0.8285402097902098,0.8557692307692307,0.9565211401271674,
Sampling-Original,Logistic Regression,0.8243400002406682,0.05545173610585973,0.832823978842198,0.05769461214617464,0.8269230769230769,0.8117189232543355,0.8065602825483341,0.8269230769230769,0.9587631833807392,
Sampling-SMOTE,Random Forest,0.978685129354494,0.004166670344480557,0.9787019019521687,0.004174303374711319,0.9903846153846154,0.9894648829431438,0.9905503978779842,0.9903846153846154,0.9946157952310961,
Sampling-SMOTE,XGBoost,0.9955107847751531,0.004204233188939295,0.9955118950473917,0.004202450222772241,1.0,1.0,1.0,1.0,1.0,
Sampling-SMOTE,LightGBM,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,
Sampling-SMOTE,Neural Network,0.9380066765174604,0.007090383339753459,0.9383528968677421,0.0069885638296054205,0.8173076923076923,0.8109266028881803,0.8076508620689655,0.8173076923076923,0.9426242589258038,
Sampling-SMOTE,Logistic Regression,0.8986260628811833,0.019051267750048968,0.8991525955683887,0.018810016739951103,0.8461538461538461,0.8410450660450661,0.8368615080571603,0.8461538461538461,0.9550374855875349,
Sampling-ADASYN,Random Forest,0.9313893961530999,0.02696261249746382,0.9394064061122538,0.025133841436849835,0.9615384615384616,0.9474901762916074,0.9345716783216784,0.9615384615384616,0.9997002155207337,
Sampling-ADASYN,XGBoost,0.9903118509026054,0.004900012232099855,0.9903026741110785,0.004849108163959855,1.0,1.0,1.0,1.0,1.0,
Sampling-ADASYN,LightGBM,0.980303940173817,0.013191171702469919,0.9805759623861299,0.012431424306066845,1.0,1.0,1.0,1.0,1.0,
Sampling-ADASYN,Neural Network,0.8366719977922316,0.05196017037839419,0.8423156038789303,0.05847673571098442,0.8557692307692307,0.8416487011299177,0.8285402097902098,0.8557692307692307,0.9565211401271674,
Sampling-ADASYN,Logistic Regression,0.8243400002406682,0.05545173610585973,0.832823978842198,0.05769461214617464,0.8269230769230769,0.8117189232543355,0.8065602825483341,0.8269230769230769,0.9587631833807392,
Sampling-RandomUnderSampler,Random Forest,0.6580423280423281,0.15292246521453595,0.6844444444444445,0.1550149335697359,0.8557692307692307,0.8647598342826596,0.8868766578249336,0.8557692307692307,0.9462764072277013,
Sampling-RandomUnderSampler,XGBoost,0.9400000000000001,0.07999999999999999,0.9400000000000001,0.07999999999999999,0.9903846153846154,0.9904443607606853,0.9907852564102565,0.9903846153846154,0.9992675435937848,
Sampling-RandomUnderSampler,LightGBM,0.07232323232323233,0.006927849777568588,0.2088888888888889,0.010886621079036336,1.0,1.0,1.0,1.0,1.0,
Sampling-RandomUnderSampler,Neural Network,0.5537883597883598,0.23004878624439237,0.5466666666666666,0.22568414506414344,0.40384615384615385,0.436416467851037,0.5117982178622911,0.40384615384615385,0.6795425770259166,
Sampling-RandomUnderSampler,Logistic Regression,0.4428677248677249,0.2440137904602366,0.4311111111111111,0.2573751645140649,0.6538461538461539,0.6827266483516484,0.722465034965035,0.6538461538461539,0.8221393403118831,
Sampling-SMOTEENN,Random Forest,0.9775615604578437,0.009332092676299879,0.977572029376687,0.009321979219006042,0.9615384615384616,0.9600726196880044,0.9620650183150183,0.9615384615384616,0.996221622753292,
Sampling-SMOTEENN,XGBoost,0.9966337864142247,0.004494246934500127,0.9966354905530098,0.004491259936854414,1.0,1.0,1.0,1.0,1.0,
Sampling-SMOTEENN,LightGBM,0.9977588038005918,0.002744909916697605,0.9977590860586278,0.0027445658022662686,1.0,1.0,1.0,1.0,1.0,
Sampling-SMOTEENN,Neural Network,0.9369084009185554,0.01563632712221446,0.9371414223840311,0.01567739385320251,0.8076923076923077,0.8035636679704475,0.803245503418066,0.8076923076923077,0.9395819594371333,
Sampling-SMOTEENN,Logistic Regression,0.9072735730684295,0.0237671816235351,0.9079718787270101,0.023176217038102714,0.8365384615384616,0.8359222818525145,0.8356643356643357,0.8365384615384616,0.9500703494027749,
Ensemble,Voting,0.9905281237597403,0.008712352164878557,0.9903320599471055,0.009024083558116588,1.0,1.0,1.0,1.0,1.0,
Ensemble,Stacking,0.9951255911810876,0.006014825431383946,0.9951513370555393,0.005938556839997251,1.0,1.0,1.0,1.0,1.0,
Tuned,Random Forest,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,"{'max_depth': None, 'max_features': None, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}"
Tuned,XGBoost,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'reg_alpha': 0, 'reg_lambda': 0, 'subsample': 0.8}"
Tuned,LightGBM,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,"{'colsample_bytree': 1.0, 'learning_rate': 0.1, 'max_depth': -1, 'n_estimators': 100, 'num_leaves': 31, 'reg_alpha': 0, 'reg_lambda': 0, 'subsample': 0.8}"
Tuned,Neural Network,0.0,0.0,0.0,0.0,0.7884615384615384,0.7853303611282334,0.0,0.0,0.0,"{'alpha': 0.001, 'hidden_layer_sizes': (100, 50), 'learning_rate_init': 0.01, 'max_iter': 500}"
Tuned,Logistic Regression,0.0,0.0,0.0,0.0,0.8557692307692307,0.8389147617088794,0.0,0.0,0.0,"{'C': 10, 'penalty': 'l2', 'solver': 'liblinear'}"
