feature_name,mean,std,count
ohe__age_group_60-64,,,0
ohe__age_group_65-69,,,0
ohe__age_group_70-79,,,0
ohe__age_group_80-89,,,0
ohe__age_group_90이상,,,0
ohe__disease_group_B35,,,0
ohe__disease_group_C16,,,0
ohe__disease_group_C18,,,0
ohe__disease_group_C22,,,0
ohe__disease_group_C25,,,0
ohe__disease_group_C34,,,0
ohe__disease_group_C61,,,0
ohe__disease_group_C67,,,0
ohe__disease_group_D13,,,0
ohe__disease_group_E11,,,0
ohe__disease_group_E14,,,0
ohe__disease_group_E30,,,0
ohe__disease_group_E86,,,0
ohe__disease_group_F00,,,0
ohe__disease_group_F03,,,0
ohe__disease_group_F06,,,0
ohe__disease_group_F20,,,0
ohe__disease_group_G20,,,0
ohe__disease_group_G62,,,0
ohe__disease_group_G81,,,0
ohe__disease_group_G82,,,0
ohe__disease_group_G95,,,0
ohe__disease_group_H04,,,0
ohe__disease_group_H25,,,0
ohe__disease_group_H35,,,0
ohe__disease_group_H36,,,0
ohe__disease_group_H42,,,0
ohe__disease_group_H90,,,0
ohe__disease_group_I10,,,0
ohe__disease_group_I11,,,0
ohe__disease_group_I20,,,0
ohe__disease_group_I25,,,0
ohe__disease_group_I48,,,0
ohe__disease_group_I50,,,0
ohe__disease_group_I61,,,0
ohe__disease_group_I63,,,0
ohe__disease_group_I69,,,0
ohe__disease_group_I70,,,0
ohe__disease_group_J00,,,0
ohe__disease_group_J15,,,0
ohe__disease_group_J18,,,0
ohe__disease_group_J21,,,0
ohe__disease_group_J30,,,0
ohe__disease_group_J40,,,0
ohe__disease_group_J44,,,0
ohe__disease_group_J45,,,0
ohe__disease_group_J69,,,0
ohe__disease_group_J98,,,0
ohe__disease_group_K02,,,0
ohe__disease_group_K04,,,0
ohe__disease_group_K05,,,0
ohe__disease_group_K08,,,0
ohe__disease_group_K21,,,0
ohe__disease_group_K29,,,0
ohe__disease_group_K40,,,0
ohe__disease_group_K56,,,0
ohe__disease_group_K59,,,0
ohe__disease_group_K63,,,0
ohe__disease_group_K80,,,0
ohe__disease_group_K81,,,0
ohe__disease_group_L23,,,0
ohe__disease_group_L24,,,0
ohe__disease_group_L29,,,0
ohe__disease_group_L30,,,0
ohe__disease_group_L89,,,0
ohe__disease_group_M17,,,0
ohe__disease_group_M19,,,0
ohe__disease_group_M43,,,0
ohe__disease_group_M48,,,0
ohe__disease_group_M50,,,0
ohe__disease_group_M51,,,0
ohe__disease_group_M54,,,0
ohe__disease_group_M75,,,0
ohe__disease_group_M96,,,0
ohe__disease_group_N17,,,0
ohe__disease_group_N18,,,0
ohe__disease_group_N30,,,0
ohe__disease_group_N31,,,0
ohe__disease_group_N40,,,0
ohe__disease_group_R07,,,0
ohe__disease_group_R41,,,0
ohe__disease_group_R42,,,0
ohe__disease_group_R52,,,0
ohe__disease_group_R53,,,0
ohe__disease_group_R63,,,0
ohe__disease_group_S06,,,0
ohe__disease_group_S22,,,0
ohe__disease_group_S32,,,0
ohe__disease_group_S46,,,0
ohe__disease_group_S72,,,0
ohe__disease_group_S82,,,0
ohe__disease_group_T84,,,0
ohe__disease_group_U07,,,0
ohe__disease_group_Z00,,,0
ohe__disease_group_Z03,,,0
ohe__disease_group_Z11,,,0
ohe__disease_group_Z26,,,0
ohe__disease_group_Z29,,,0
ohe__disease_group_Z49,,,0
ohe__disease_group_Z50,,,0
ohe__disease_group_Z51,,,0
ohe__region_age_광주_60-64,,,0
ohe__region_age_광주_65-69,,,0
ohe__region_age_광주_70-79,,,0
ohe__region_age_광주_80-89,,,0
ohe__region_age_광주_90이상,,,0
ohe__region_age_대구_59이하,,,0
ohe__region_age_대구_60-64,,,0
ohe__region_age_대구_65-69,,,0
ohe__region_age_대구_70-79,,,0
ohe__region_age_대구_80-89,,,0
ohe__region_age_대구_90이상,,,0
ohe__region_age_대전_59이하,,,0
ohe__region_age_대전_60-64,,,0
ohe__region_age_대전_65-69,,,0
ohe__region_age_대전_70-79,,,0
ohe__region_age_대전_80-89,,,0
ohe__region_age_대전_90이상,,,0
ohe__region_age_부산_59이하,,,0
ohe__region_age_부산_60-64,,,0
ohe__region_age_부산_65-69,,,0
ohe__region_age_부산_70-79,,,0
ohe__region_age_부산_80-89,,,0
ohe__region_age_부산_90이상,,,0
ohe__region_age_서울_59이하,,,0
ohe__region_age_서울_60-64,,,0
ohe__region_age_서울_65-69,,,0
ohe__region_age_서울_70-79,,,0
ohe__region_age_서울_80-89,,,0
ohe__region_age_서울_90이상,,,0
ohe__region_age_인천_59이하,,,0
ohe__region_age_인천_60-64,,,0
ohe__region_age_인천_65-69,,,0
ohe__region_age_인천_70-79,,,0
ohe__region_age_인천_80-89,,,0
ohe__region_age_인천_90이상,,,0
ohe__구분_입원(연인원),,,0
ohe__지역_대구,,,0
ohe__지역_대전,,,0
ohe__지역_부산,,,0
ohe__지역_서울,,,0
ohe__지역_인천,,,0
scale__age_city_interaction,,,0
scale__age_num,,,0
scale__age_year_interaction,,,0
scale__is_inpatient,,,0
scale__is_major_city,,,0
scale__year_num,,,0
scale__year_trend,,,0
