class_name,precision,recall,f1_score,support,accuracy
가정의학과,1.0,0.4605601233299075,0.630662327381476,7784.0,0.5
내과,0.7552796669719255,0.7492789877138499,0.752267360992674,397358.0,0.7859531772575251
비뇨의학과,0.996453671302967,0.9840856817601004,0.9902310589789222,172172.0,0.8484848484848485
소아청소년과,1.0,1.0,1.0,15036.0,1.0
신경과,0.7963657662431841,0.6413625796017386,0.710508634847957,89037.0,0.6111111111111112
신경외과,1.0,0.9610516701461378,0.9801390598489637,15328.0,0.84375
안과,0.5804347826086956,0.3815222487664382,0.4604130461140525,44789.0,0.6578947368421053
외과,1.0,0.9163152773272786,0.9563303994583615,3083.0,0.7692307692307693
응급실,1.0,1.0,1.0,15418.0,1.0
이비인후과,1.0,1.0,1.0,15142.0,1.0
재활의학과,1.0,0.9001578033769922,0.9474558394857698,63370.0,0.7738095238095238
정신건강의학과,0.06148294410022469,1.0,0.1158434894162925,4515.0,1.0
정형외과,1.0,0.9443343548773167,0.9713703329969727,254843.0,0.8671328671328671
치과,1.0,0.8449353713943578,0.9159511866865839,113572.0,0.8269230769230769
피부과,0.4916960976036893,0.7646845211075806,0.5985326251088096,22030.0,0.6956521739130435
