class_name,precision,recall,f1_score,support,accuracy
가정의학과,1.0,0.4605601233299075,0.630662327381476,7784.0,0.5
내과,0.8143205198704337,0.5105698136189531,0.6276254955552771,397358.0,0.7023411371237458
비뇨의학과,1.0,0.9838010826382919,0.9918344044151015,172172.0,0.8333333333333334
소아청소년과,1.0,1.0,1.0,15036.0,1.0
신경과,0.574926501114133,0.7621325965609803,0.6554238745134402,89037.0,0.6805555555555556
신경외과,1.0,0.9610516701461378,0.9801390598489637,15328.0,0.84375
안과,0.21622883592512893,0.9512157002835517,0.35235980332560035,44789.0,0.868421052631579
외과,1.0,0.9163152773272786,0.9563303994583615,3083.0,0.7692307692307693
응급실,1.0,1.0,1.0,15418.0,1.0
이비인후과,1.0,1.0,1.0,15142.0,1.0
재활의학과,1.0,0.9001578033769922,0.9474558394857698,63370.0,0.7738095238095238
정신건강의학과,1.0,0.9685492801771871,0.984023402340234,4515.0,0.875
정형외과,1.0,0.9443343548773167,0.9713703329969727,254843.0,0.8671328671328671
치과,1.0,0.8449353713943578,0.9159511866865839,113572.0,0.8269230769230769
피부과,0.4821626854198104,0.7687244666364049,0.5926198099837279,22030.0,0.7391304347826086
