class_name,precision,recall,f1_score,support,accuracy
가정의학과,1.0,0.4605601233299075,0.630662327381476,7784.0,0.5
내과,0.7498686404861444,0.660844880435275,0.7025478167113018,397358.0,0.7290969899665551
비뇨의학과,1.0,0.9838010826382919,0.9918344044151015,172172.0,0.8333333333333334
소아청소년과,1.0,1.0,1.0,15036.0,1.0
신경과,0.7615571473061351,0.6866134303716432,0.7221460971460971,89037.0,0.6527777777777778
신경외과,1.0,0.9610516701461378,0.9801390598489637,15328.0,0.84375
안과,0.1627155412583672,0.48900399651700194,0.24418034249018908,44789.0,0.8157894736842105
외과,1.0,0.9163152773272786,0.9563303994583615,3083.0,0.7692307692307693
응급실,1.0,1.0,1.0,15418.0,1.0
이비인후과,1.0,1.0,1.0,15142.0,1.0
재활의학과,1.0,0.9001578033769922,0.9474558394857698,63370.0,0.7738095238095238
정신건강의학과,1.0,0.9685492801771871,0.984023402340234,4515.0,0.875
정형외과,1.0,0.9443343548773167,0.9713703329969727,254843.0,0.8671328671328671
치과,1.0,0.8449353713943578,0.9159511866865839,113572.0,0.8269230769230769
피부과,0.4916960976036893,0.7646845211075806,0.5985326251088096,22030.0,0.6956521739130435
