"구분","순위","상병코드","상병명칭","실인원","연인원","진료비(천원)","59세이하","60세-64세","65세-69세","70세-79세","80세-89세","90세이상"
"입원실인원","1","M48","기타 척추병증","591","10584","2796650","33","37","62","380","63","16"
"입원실인원","2","N40","전립선증식증","515","3351","1544515","10","18","25","408","47","7"
"입원실인원","3","H25","노인성 백내장","480","559","703515","0","13","30","385","47","5"
"입원실인원","4","I20","협심증","312","1613","1494759","24","12","27","230","17","2"
"입원실인원","5","I63","뇌경색증","271","10589","2793320","7","7","15","175","53","14"
"입원실인원","6","M17","윤충증","149","4590","1393238","5","10","14","97","21","2"
"입원실인원","7","C61","전립선의 악성 신생물","137","1816","1023876","0","5","6","108","14","4"
"입원실인원","8","R42","현기 및 어지러움","129","1387","460132","20","6","7","74","20","2"
"입원실인원","9","S32","허리뼈 및 골반의 골절","126","2120","465527","8","0","5","59","42","12"
"입원실인원","10","C18","결장의 악성 신생물","124","2198","738263","1","18","7","72","22","4"
"입원실인원","11","C16","위의 악성 신생물","120","2979","1058474","8","1","13","64","28","6"
"입원실인원","12","J18","상세불명 병원체의 폐렴","114","3097","1463432","3","4","3","59","29","16"
"입원실인원","13","C34","기관지 및 폐의 악성 신생물","113","3094","1356648","6","3","3","59","35","7"
"입원실인원","14","M75","어깨병변","113","3211","899762","10","8","14","78","2","1"
"입원실인원","15","K80","담석증","110","1867","847848","20","8","3","49","21","9"
"입원실인원","16","E11","인슐린-비의존 당뇨병","97","1836","430425","9","6","5","70","7","0"
"입원실인원","17","C22","간 및 간내담관의 악성 신생물","96","2399","896738","6","2","7","64","15","2"
"입원실인원","18","M51","기타 추간판장애","94","2180","540846","27","3","10","52","2","0"
"입원실인원","19","S72","대퇴골의 골절","94","3858","1075416","4","3","2","25","49","11"
"입원실인원","20","A09","감염성 및 상세불명 기원의 기타 위장염 및 결장염","84","732","225320","15","5","5","36","19","4"
"입원연인원","1","I63","뇌경색증","271","10589","2793320","288","426","631","7485","1429","330"
"입원연인원","2","M48","기타 척추병증","591","10584","2796650","855","546","948","6824","1191","220"
"입원연인원","3","Z49","투석을 포함한 치료를 위하여 보건서비스와 접하고 있는 사람","69","7559","2058279","814","219","89","5825","612","0"
"입원연인원","4","J69","고체 및 액체에 의한 폐염","69","4622","1700801","29","0","20","1694","1500","1379"
"입원연인원","5","M17","윤충증","149","4590","1393238","63","237","442","3040","780","28"
"입원연인원","6","N18","만성 콩팥(신장)기능상실","77","4330","1270363","46","0","241","2071","1906","66"
"입원연인원","7","S72","대퇴골의 골절","94","3858","1075416","94","102","52","997","2247","366"
"입원연인원","8","L89","욕창성 및 압박부위 궤양","25","3390","797156","184","0","0","1604","954","648"
"입원연인원","9","N40","전립선증식증","515","3351","1544515","27","55","127","2518","530","94"
"입원연인원","10","M75","어깨병변","113","3211","899762","273","209","558","2056","71","44"
"입원연인원","11","J18","상세불명 병원체의 폐렴","114","3097","1463432","12","27","22","1996","543","497"
"입원연인원","12","C34","기관지 및 폐의 악성 신생물","113","3094","1356648","154","27","55","1444","1220","194"
"입원연인원","13","C16","위의 악성 신생물","120","2979","1058474","153","13","410","1541","554","308"
"입원연인원","14","C22","간 및 간내담관의 악성 신생물","96","2399","896738","56","9","78","1674","504","78"
"입원연인원","15","C18","결장의 악성 신생물","124","2198","738263","5","248","243","1252","338","112"
