구분,순위,상병코드,상병명칭,실인원,연인원,진료비(천원),59세이하,60세-64세,65세-69세,70세-79세,80세-89세,90세이상
입원실인원,1, I20 , 협심증 ,734,4709,4790358736,23,40,38,530,90,13
입원실인원,2, N40 , 전립선증식증 ,707,4185,2075643473,13,33,45,540,71,5
입원실인원,3, H25 , 노인성 백내장 ,586,696,892137393,4,8,28,479,62,5
입원실인원,4, M48 , 기타 척추병증 ,349,7956,2752516225,8,10,15,262,48,6
입원실인원,5, I63 , 뇌경색증 ,243,9469,3508147339,10,4,14,156,41,18
입원실인원,6, C61 , 전립선의 악성 신생물 ,225,3845,2447154337,1,7,6,179,29,3
입원실인원,7, C67 , 방광의 악성 신생물 ,134,1332,660945756,13,5,6,84,20,6
입원실인원,8, C22 , 간 및 간내담관의 악성 신생물 ,125,3214,1428828791,12,10,4,71,27,1
입원실인원,9, K80 , 담석증 ,120,2010,974673417,19,5,4,51,31,10
입원실인원,10, E11 , 인슐린-비의존 당뇨병 ,120,1955,636859198,9,7,4,89,10,1
입원실인원,11, I10 , 본태성(원발성) 고혈압 ,118,1062,474745450,11,5,6,69,24,3
입원실인원,12, M51 , 기타 추간판장애 ,117,3196,982302125,22,6,11,70,8,0
입원실인원,13, R42 , 현기 및 어지러움 ,117,1080,492144667,10,3,4,72,19,9
입원실인원,14, I48 , 심방세동 및 조동 ,106,1406,603889718,5,0,1,65,25,10
입원실인원,15, C25 , 췌장의 악성신생물 ,92,1955,808021071,6,7,5,40,32,2
입원실인원,16, C16 , 위의 악성 신생물 ,89,2634,1041347480,17,4,12,36,19,1
입원실인원,17, N18 , 만성 콩팥(신장)기능상실 ,87,2356,954116196,9,6,6,43,19,4
입원실인원,18, C18 , 결장의 악성 신생물 ,84,2133,924940442,5,2,2,51,17,7
입원실인원,19, J18 , 상세불명 병원체의 폐렴 ,80,1481,683615710,1,0,5,35,16,23
입원실인원,20, C34 , 기관지 및 폐의 악성 신생물 ,79,2237,1004837124,5,2,6,38,26,2
입원연인원,1, I63 , 뇌경색증 ,243,9469,3508147339,460,195,488,6764,996,566
입원연인원,2, M48 , 기타 척추병증 ,349,7956,2752516225,143,180,422,6112,962,137
입원연인원,3, I20 , 협심증 ,734,4709,4790358736,80,198,228,3272,781,150
입원연인원,4, N40 , 전립선증식증 ,707,4185,2075643473,41,127,182,3172,586,77
입원연인원,5, C61 , 전립선의 악성 신생물 ,225,3845,2447154337,37,85,83,2923,426,291
입원연인원,6, L89 , 욕창성 및 압박부위 궤양 ,13,3318,970836460,0,0,0,1879,1376,63
입원연인원,7, C22 , 간 및 간내담관의 악성 신생물 ,125,3214,1428828791,226,330,69,1455,737,397
입원연인원,8, M51 , 기타 추간판장애 ,117,3196,982302125,406,44,226,1882,638,0
입원연인원,9, C16 , 위의 악성 신생물 ,89,2634,1041347480,250,167,204,1146,805,62
입원연인원,10, S72 , 대퇴골의 골절 ,72,2559,805227495,0,0,0,1112,1114,333
입원연인원,11, G20 , 파킨슨병 ,41,2531,942553965,118,38,11,2225,128,11
입원연인원,12, I61 , 뇌내출혈 ,36,2414,743687614,198,489,377,1244,101,5
입원연인원,13, N18 , 만성 콩팥(신장)기능상실 ,87,2356,954116196,226,179,93,1493,290,75
입원연인원,14, C34 , 기관지 및 폐의 악성 신생물 ,79,2237,1004837124,130,28,119,883,1005,72
입원연인원,15, C18 , 결장의 악성 신생물 ,84,2133,924940442,209,50,72,910,659,233
입원연인원,16, K80 , 담석증 ,120,2010,974673417,225,30,46,782,668,259
입원연인원,17, E11 , 인슐린-비의존 당뇨병 ,120,1955,636859198,57,166,54,1482,186,10
입원연인원,18, C25 , 췌장의 악성신생물 ,92,1955,808021071,109,136,162,987,537,24
입원연인원,19, M17 , 윤충증 ,59,1740,478760053,2,160,246,1178,154,0
입원연인원,20, K81 , 담낭염 ,74,1704,763150795,101,4,44,973,387,195
외래,1, N40 , 전립선증식증 ,,24580,2253915899,681,953,1439,17455,2885,1167
외래,2, I10 , 본태성(원발성) 고혈압 ,,18198,1625072595,1694,990,1655,11120,2091,648
외래,3, E11 , 인슐린-비의존 당뇨병 ,,16018,2259575684,1278,895,1403,10351,1793,298
외래,4, E30 , 달리 분류되지 않은 사춘기의 장애 ,,14942,1536126402,14938,4,0,0,0,0
외래,5, I20 , 협심증 ,,14881,1874324975,619,731,870,10559,1778,324
외래,6, M48 , 기타 척추병증 ,,14816,1933228732,691,728,1075,10167,1788,367
외래,7, K05 , 치은염(잇몸염)및 치주 질환 ,,10702,2445993545,766,414,872,7554,955,141
외래,8, M17 , 윤충증 ,,10421,1234789933,318,416,843,7336,1180,328
외래,9, Z26 , 기타 단일 감염성 질환에 대한 예방접종의 필요 ,,9082,813675722,4953,771,788,2154,316,100
외래,10, H25 , 노인성 백내장 ,,8948,660433576,73,170,493,7073,963,176
외래,11, N18 , 만성 콩팥(신장)기능상실 ,,8791,1873804922,1645,337,885,4152,1611,161
외래,12, I63 , 뇌경색증 ,,7804,769296084,483,358,449,4611,1475,428
외래,13, K21 , 위-식도역류병 ,,7094,795985349,450,389,492,4837,805,121
외래,14, C61 , 전립선의 악성 신생물 ,,5862,1292832649,12,130,167,4386,943,224
외래,15, M75 , 어깨병변 ,,5849,525659110,630,307,450,3574,834,54
외래,16, M51 , 기타 추간판장애 ,,5835,444124597,839,447,469,3737,301,42
외래,17, F00 , 알츠하이머병에서의 치매(G30.-+) ,,5767,311712418,6,39,103,1880,2462,1277
외래,18, R41 , 인지기능 및 자각에 관한 기타 증상 및 징후 ,,4999,650191112,51,61,310,3563,859,155
외래,19, J00 , 급성 코인두염 [감기] ,,4576,362853589,2203,121,199,1657,257,139
외래,20,K02,치아우식증,,4167,987722755,356,187,245,2897,415,67
