구분,순위,코드,명칭,실인원,연인원,진료비(천원),59이하,60-64,65-69,70-79,80-89,90이상
입원실인원,1, I20 , 협심증 ,596,5412,3924432,9,20,30,452,75,10
입원실인원,2, H25 , 노년백내장 ,506,562,759685,3,8,33,408,46,8
입원실인원,3, M51 , 기타 추간판장애 ,292,11509,3063874,11,14,9,198,52,8
입원실인원,4, Z51 , 기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람 ,236,5302,2658121,20,18,25,87,52,34
입원실인원,5, E11 , 2형 당뇨병 ,222,10439,2830490,13,11,5,148,39,6
입원실인원,6, M17 , 무릎관절증 ,167,5862,2100384,3,5,16,132,11, 
입원실인원,7, M48 , 기타 척추병증 ,148,6937,1654964,1, ,8,109,19,11
입원실인원,8, I48 , 심방세동 및 조동 ,137,2246,1898105,8,1,6,84,16,22
입원실인원,9, S32 , 요추 및 골반의 골절 ,121,3807,954935,4, ,3,60,35,19
입원실인원,10, J18 , 상세불명 병원체의 폐렴 ,121,6065,1815898, ,3,4,58,25,31
입원실인원,11, R07 , 목구멍 및 가슴의 통증 ,93,505,287869,5,5,5,66,11,1
입원실인원,12, M75 , 어깨병변 ,92,2454,866456,3,2,13,72,2, 
입원실인원,13, N18 , 만성 신장병 ,74,4667,1514227,4,1,3,54,8,4
입원실인원,14, C61 , 전립선의 악성 신생물 ,73,323,127102, ,2,4,56,10,1
입원실인원,15, Z50 , 재활처치를 포함한 치료를 위하여 보건서비스와 접하고 있는 사람 ,67,4576,1171542,8,5,7,37,10, 
입원실인원,16, Z03 ," 의심되는 질병 및 병태를 위한 의학적 관찰 및 평가, 배제된 ",64,80,41993,2,4,5,52,1, 
입원실인원,17, J44 , 기타 만성 폐쇄성 폐질환 ,62,2968,856421, , ,1,43,13,5
입원실인원,18, U07 , 바이러스가 확인된 코로나바이러스 질환 2019 [바이러스가 확인된 코로나-19] ,59,1095,326996,2,1,3,25,11,17
입원실인원,19, I70 , 죽상경화증 ,55,779,767304,1,2,3,37,8,4
입원실인원,20, S22 ," 늑골, 흉골 및 흉추의 골절 ",55,1635,403014, ,1,3,21,25,5
입원연인원,1, M51 , 기타 추간판장애 ,292,11509,3063874,247,444,284,8114,2236,184
입원연인원,2, E11 , 2형 당뇨병 ,222,10439,2830490,508,251,94,8046,1255,285
입원연인원,3, M48 , 기타 척추병증 ,148,6937,1654964,69, ,313,4858,1168,529
입원연인원,4, J18 , 상세불명 병원체의 폐렴 ,121,6065,1815898, ,14,43,2630,586,2792
입원연인원,5, M17 , 무릎관절증 ,167,5862,2100384,64,168,674,4467,489, 
입원연인원,6, I20 , 협심증 ,596,5412,3924432,10,34,55,4055,1150,108
입원연인원,7, Z51 , 기타 의학적 관리를 위하여 보건서비스와 접하고 있는 사람 ,236,5302,2658121,339,328,728,1821,1281,805
입원연인원,8, N18 , 만성 신장병 ,74,4667,1514227,223,64,53,3850,385,92
입원연인원,9, Z50 , 재활처치를 포함한 치료를 위하여 보건서비스와 접하고 있는 사람 ,67,4576,1171542,461,260,364,2341,1150, 
입원연인원,10, S32 , 요추 및 골반의 골절 ,121,3807,954935,132, ,96,2052,936,591
입원연인원,11, J44 , 기타 만성 폐쇄성 폐질환 ,62,2968,856421, , ,1,1302,1457,208
입원연인원,12, M75 , 어깨병변 ,92,2454,866456,52,62,261,2023,56, 
입원연인원,13, I48 , 심방세동 및 조동 ,137,2246,1898105,19,2,28,1211,426,560
입원연인원,14, S22 ," 늑골, 흉골 및 흉추의 골절 ",55,1635,403014, ,9,123,625,744,134
입원연인원,15, U07 , 바이러스가 확인된 코로나바이러스 질환 2019 [바이러스가 확인된 코로나-19] ,59,1095,326996,5,20,131,572,184,183
입원연인원,16, I70 , 죽상경화증 ,55,779,767304,10,4,25,430,252,58
입원연인원,17, H25 , 노년백내장 ,506,562,759685,4,9,35,454,51,9
입원연인원,18, R07 , 목구멍 및 가슴의 통증 ,93,505,287869,8,5,5,391,81,15
입원연인원,19, C61 , 전립선의 악성 신생물 ,73,323,127102, ,2,5,224,91,1
입원연인원,20, Z03 ," 의심되는 질병 및 병태를 위한 의학적 관찰 및 평가, 배제된 ",64,80,41993,2,4,5,68,1, 
외래,1, N40 , 전립선증식증 ,24961,24961,1878169,386,584,1075,18255,3098,1563
외래,2, M51 , 기타 추간판장애 ,22781,22781,1854327,903,643,985,17897,1966,387
외래,3, E11 , 2형 당뇨병 ,21303,21303,1859882,1162,1064,1758,13842,2783,694
외래,4, I10 , 본태성(원발성) 고혈압 ,18000,18000,1230291,1064,839,1746,10748,2581,1022
외래,5, I20 , 협심증 ,13445,13445,1855180,350,406,760,9737,1768,424
외래,6, M48 , 기타 척추병증 ,11214,11214,1146707,183,386,549,7625,1726,745
외래,7, N18 , 만성 신장병 ,10858,10858,2322591,621,410,907,7054,1162,704
외래,8, I63 , 뇌경색증 ,9568,9568,830878,153,291,526,6020,1820,758
외래,9, K08 , 치아 및 지지구조의 기타 장애 ,8233,8233,2598916,341,277,484,5928,1001,202
외래,10, Z26 , 기타 단일 감염성 질환에 대한 예방접종의 필요 ,7700,7700,421554,2534,899,658,2851,520,238
외래,11, H25 , 노년백내장 ,7442,7442,695206,60,158,410,5680,910,224
외래,12, M17 , 무릎관절증 ,6704,6704,653768,267,282,581,4691,695,188
외래,13, K05 , 치은염 및 치주질환 ,6416,6416,1343449,547,378,579,4273,494,145
외래,14, F00 , 알츠하이머병에서의 치매 ,5941,5941,444639, ,46,70,2274,2246,1305
외래,15, G62 , 기타 다발신경병증 ,5590,5590,383670,14,7, ,5121,441,7
외래,16, K04 , 치수 및 근단주위조직의 질환 ,5159,5159,1179834,440,137,332,3678,487,85
외래,17, C61 , 전립선의 악성 신생물 ,4845,4845,843279,17,27,74,3437,987,303
외래,18, M75 , 어깨병변 ,4729,4729,469789,214,215,479,3442,352,27
외래,19, B35 , 백선증 ,4521,4521,127431,264,182,225,3283,451,116
외래,20, I48 , 심방세동 및 조동 ,4562,4562,692101,135,104,177,3204,637,305
