"구분","순위","상병코드","상병명칭","실인원","연인원","진료비(천원)","59세이하","60세-64세","65세-69세","70세-79세","80세-89세","90세이상"
"입원실인원","1"," U07 "," 병인이 불확실한 신종질환의 임시적 지정이나 응급사용 ","1187","10091","3292668760","765","109","80","135","78","20"
"입원실인원","2"," M48 "," 기타 척추병증 ","695","7404","3425873675","7","8","25","566","73","16"
"입원실인원","3"," K63 "," 장의 기타 질환 ","321","1618","821314983","6","20","14","250","30","1"
"입원실인원","4"," E11 "," 2형 당뇨병 ","233","4531","1437897562","9","11","8","172","32","1"
"입원실인원","5"," H25 "," 노년백내장 ","205","205","246099209","1","","18","172","8","6"
"입원실인원","6"," M17 "," 무릎관절증 ","149","5113","2226791763","4","5","11","109","19","1"
"입원실인원","7"," K29 "," 위염 및 십이지장염 ","144","700","340894726","6","6","8","106","13","5"
"입원실인원","8"," M51 "," 기타 추간판장애 ","137","1906","907398229","19","7","6","92","12","1"
"입원실인원","9"," M75 "," 어깨병변 ","129","2763","1247912220","8","9","7","96","8","1"
"입원실인원","10"," M96 "," 달리 분류되지 않은 처치후 근골격장애 ","111","1741","753812922","2","2","3","92","10","2"
"입원실인원","11"," C16 "," 위의 악성 신생물 ","99","1907","800793397","10","2","3","62","22",""
"입원실인원","12"," N18 "," 만성 신장병 ","91","830","480733528","3","4","5","68","7","4"
"입원실인원","13"," C18 "," 결장의 악성 신생물 ","83","572","315155777","3","1","2","71","4","2"
"입원실인원","14"," M43 "," 기타 변형성 등병증 ","83","649","398346748","1","2","7","61","7","5"
"입원실인원","15"," I20 "," 협심증 ","73","138","282914408","2","2","3","60","6",""
"입원실인원","16"," S32 "," 요추 및 골반의 골절 ","71","1702","522070416","2","1","4","28","20","16"
"입원실인원","17"," I63 "," 뇌경색증 ","68","1352","587029532","3","2","2","41","14","6"
"입원실인원","18"," K59 "," 기타 기능성 장장애 ","65","510","167107906","3","1","3","45","12","1"
"입원실인원","19"," K40 "," 사타구니탈장 ","61","317","182698384","1","3","2","42","9","4"
"입원실인원","20"," N40 "," 전립선증식증 ","61","132","51739256","1","3","2","51","4",""
"입원연인원","1"," U07 "," 병인이 불확실한 신종질환의 임시적 지정이나 응급사용 ","1187","10091","3292668760","6472","909","639","1093","667","311"
"입원연인원","2"," M48 "," 기타 척추병증 ","695","7404","3425873675","59","48","161","5558","1142","436"
"입원연인원","3"," M17 "," 무릎관절증 ","149","5113","2226791763","43","377","341","3685","579","88"
"입원연인원","4"," E11 "," 2형 당뇨병 ","233","4531","1437897562","255","122","402","2936","671","145"
"입원연인원","5"," I69 "," 뇌혈관질환의 후유증 ","48","3035","968582336","335","","","2009","682","9"
"입원연인원","6"," M75 "," 어깨병변 ","129","2763","1247912220","111","276","86","2170","81","39"
"입원연인원","7"," J18 "," 상세불명 병원체의 폐렴 ","59","2433","1504793726","60","2","44","723","985","619"
"입원연인원","8"," I61 "," 뇌내출혈 ","17","2171","666947017","","","","1230","867","74"
"입원연인원","9"," J98 "," 기타 호흡장애 ","28","1930","507155072","21","","2","610","825","472"
"입원연인원","10"," C16 "," 위의 악성 신생물 ","99","1907","800793397","222","28","70","1181","406",""
"입원연인원","11"," M51 "," 기타 추간판장애 ","137","1906","907398229","89","96","134","1303","261","23"
"입원연인원","12"," M96 "," 달리 분류되지 않은 처치후 근골격장애 ","111","1741","753812922","3","2","111","1489","108","28"
"입원연인원","13"," S32 "," 요추 및 골반의 골절 ","71","1702","522070416","58","2","109","538","508","487"
"입원연인원","14"," K63 "," 장의 기타 질환 ","321","1618","821314983","12","99","60","1287","159","1"
"입원연인원","15"," M54 "," 등통증 ","54","1582","452495272","17","","36","1297","182","50"
"입원연인원","16"," S06 "," 두개내손상 ","24","1565","637338529","","","5","1188","352","20"
"입원연인원","17"," G82 "," 하반신마비 및 사지마비 ","14","1524","527428609","552","","11","961","",""
"입원연인원","18"," I63 "," 뇌경색증 ","68","1352","587029532","10","14","38","930","309","51"
"입원연인원","19"," S72 "," 대퇴골의 골절 ","30","1338","409013466","","","54","314","661","309"
"입원연인원","20"," R42 "," 어지럼증 및 어지럼 ","54","1287","438415414","18","","2","1195","62","10"
"외래","1"," N40 "," 전립선증식증 ","26092","26092","1989904946","277","663","1217","19621","3120","1194"
"외래","2"," E11 "," 2형 당뇨병 ","20033","20033","1804203900","1050","1123","1797","13721","1931","411"
"외래","3"," I10 "," 본태성(원발성) 고혈압 ","15111","15111","804352141","900","853","1400","9582","1724","652"
"외래","4"," U07 "," 병인이 불확실한 신종질환의 임시적 지정이나 응급사용 ","14926","14926","712473139","10929","971","915","1647","356","108"
"외래","5"," M48 "," 기타 척추병증 ","14728","14728","2357131111","262","397","838","11155","1667","409"
"외래","6"," K05 "," 치은염 및 치주질환 ","13706","13706","4628677308","1228","746","1232","9419","899","182"
"외래","7"," M54 "," 등통증 ","12608","12608","1378888162","854","605","798","8802","1289","260"
"외래","8"," K63 "," 장의 기타 질환 ","9891","9891","1515660944","607","666","903","7106","580","29"
"외래","9"," K29 "," 위염 및 십이지장염 ","9016","9016","780481753","1467","772","853","5010","748","166"
"외래","10"," I69 "," 뇌혈관질환의 후유증 ","8957","8957","653983313","269","213","485","6231","1414","345"
"외래","11"," E86 "," 용적고갈 ","8608","8608","232432365","273","441","883","5546","1167","298"
"외래","12"," M17 "," 무릎관절증 ","7941","7941","1098509481","323","373","696","5346","1039","164"
"외래","13"," Z26 "," 기타 단일 감염성 질환에 대한 예방접종의 필요 ","7365","7365","534524151","4714","697","418","1319","179","38"
"외래","14"," N18 "," 만성 신장병 ","7234","7234","1106491836","744","481","195","4270","1071","473"
"외래","15"," Z29 "," 기타 예방적 조치의 필요 ","6717","6717","431767624","3784","303","237","2068","261","64"
"외래","16"," F03 "," 상세불명의 치매 ","6466","6466","546101493","","59","215","3497","1801","894"
"외래","17"," L29 "," 가려움 ","5920","5920","187243188","249","160","295","4428","593","195"
