"구분","순위","상병코드","상병명칭","실인원","연인원","진료비(천원)","59이하","60-64","65-69","70-79","80-89","90이상"
"입원실인원","1","  M48  ","  기타 척추병증  ","674","5709","2880149","7","9","23","543","75","17"
"입원실인원","2","  U07  ","  병인이 불확실한 신종질환의 임시적 지정이나 응급사용  ","446","3585","1266568","143","26","27","120","98","32"
"입원실인원","3","  K63  ","  장의 기타 질환  ","355","1444","740633","7","13","16","276","40","3"
"입원실인원","4","  H25  ","  노년백내장  ","250","250","308184","1","5","17","200","25","2"
"입원실인원","5","  E11  ","  2형 당뇨병  ","190","3520","1377971","5","3","10","152","19","1"
"입원실인원","6","  M17  ","  무릎관절증  ","186","5260","2366164","6","11","7","136","22","4"
"입원실인원","7","  M51  ","  기타 추간판장애  ","147","1423","777204","14","4","7","109","13","0"
"입원실인원","8","  M96  ","  달리 분류되지 않은 처치후 근골격장애  ","137","1918","1033882","2","1","3","110","19","2"
"입원실인원","9","  M75  ","  어깨병변  ","128","2592","1289799","4","2","11","100","11","0"
"입원실인원","10","  N18  ","  만성 신장병  ","126","1979","771613","2","3","1","82","23","15"
"입원실인원","11","  I20  ","  협심증  ","101","246","375564","0","1","6","78","16","0"
"입원실인원","12","  M43  ","  기타 변형성 등병증  ","100","743","444864","0","2","4","79","11","4"
"입원실인원","13","  K29  ","  위염 및 십이지장염  ","90","694","304565","4","3","6","62","13","2"
"입원실인원","14","  S32  ","  요추 및 골반의 골절  ","78","1091","415246","0","2","2","44","17","13"
"입원실인원","15","  C18  ","  결장의 악성 신생물  ","73","827","444977","13","4","2","37","16","1"
"입원실인원","16","  C16  ","  위의 악성 신생물  ","70","1150","632746","6","2","2","42","11","7"
"입원실인원","17","  N40  ","  전립선증식증  ","64","135","54664","1","2","5","50","6","0"
"입원실인원","18","  I63  ","  뇌경색증  ","63","1482","354120","2","3","2","36","12","8"
"입원실인원","19","  I83  ","  하지의 정맥류  ","56","89","131854","5","4","7","36","4","0"
"입원실인원","20","  R07  ","  묵구멍 및 가슴의 통증  ","56","117","241399","2","0","3","48","3","0"
"입원연인원","1","  M48  ","   기타 척추병증   ","674","5709","2880149","73","190","130","3998","928","390"
"입원연인원","2","  M17  ","   무릎관절증   ","186","5260","2366164","296","244","149","3831","637","103"
"입원연인원","3","  U07  ","   병인이 불확실한 신종질환의 임시적 지정이나 응급사용   ","446","3585","1266568","948","188","166","1190","663","430"
"입원연인원","4","  E11  ","   2형 당뇨병   ","190","3520","1377971","64","44","157","2793","447","15"
"입원연인원","5","  I69  ","   뇌혈관질환의 후유증   ","39","3089","700721","365","11","97","1894","691","31"
"입원연인원","6","  M75  ","   어깨병변   ","128","2592","1289799","36","11","297","1936","312","0"
"입원연인원","7","  G82  ","   하반신마비 및 사지마비   ","20","2434","330053","649","0","0","1785","0","0"
"입원연인원","8","  N18  ","   만성 신장병   ","126","1979","771613","2","3","1","1183","343","447"
"입원연인원","9","  S06  ","   두개내손상   ","40","1939","631855","0","13","39","1183","453","251"
"입원연인원","10","  M96  ","   달리 분류되지 않은 처치후 근골격장애   ","137","1918","1033882","5","17","24","1524","317","31"
"입원연인원","11","  S72  ","   대퇴골의 골절   ","53","1874","787391","0","27","82","629","551","585"
"입원연인원","12","  J18  ","   상세불명 병원체의 폐렴   ","48","1485","471802","5","0","29","395","780","276"
"입원연인원","13","  I63  ","   뇌경색증   ","63","1482","354120","10","24","30","797","473","148"
"입원연인원","14","  K63  ","   장의 기타 질환   ","355","1444","740633","18","37","19","1180","140","50"
"입원연인원","15","  M51  ","   기타 추간판장애   ","147","1423","777204","45","7","81","1132","158","0"
"입원연인원","16","  M54  ","   등통증   ","36","1233","302310","5","48","16","1023","135","6"
"입원연인원","17","  C16  ","   위의 악성 신생물   ","70","1150","632746","102","13","19","534","315","167"
"입원연인원","18","  C34  ","   기관지 및 폐의 악성 신생물   ","40","1147","517695","124","1","157","407","370","88"
"입원연인원","19","  S32  ","  요추 및 골반의 골절  ","78","1091","415246","0","13","40","618","286","134"
"입원연인원","20","  K80  ","   담석증   ","54","981","360447","28","14","3","843","59","34"
"외래","1","  N40  ","  전립선증식증  ","26265","26265","1930406","305","576","1139","19647","3208","1390"
"외래","2","  E11  ","  2형 당뇨병  ","19788","19788","1811203","1030","1028","1492","13961","1812","465"
"외래","3","  M48  ","  기타 척추병증  ","14961","14961","2574374","286","397","830","11162","1744","542"
"외래","4","  I10  ","  본태성(원발성) 고혈압  ","14592","14592","899525","883","716","1310","9273","1701","709"
"외래","5","  K05  ","  치은염 및 치주질환  ","13738","13738","4550024","1127","728","1226","9272","1189","196"
"외래","6","  M54  ","  등통증  ","11803","11803","1312582","960","454","633","8181","1365","210"
"외래","7","  U07  ","  병인이 불확실한 신종질환의 임시적 지정이나 응급사용  ","10820","10820","591860","5317","1103","984","2662","614","140"
