"구분","순위","상병코드","상병명칭","실인원","연인원","진료비(천원)","59세이하","60세-64세","65세-69세","70세-79세","80세-89세","90세이상"
"입원실인원","1"," I20 "," 협심증 ","696","4355","3343042","14","8","23","579","67","5"
"입원실인원","2"," N40 "," 전립선증식증 ","339","2228","826226","4","7","23","264","39","2"
"입원실인원","3"," M48 "," 기타 척추병증 ","294","15276","4704472","10","9","13","229","31","2"
"입원실인원","4"," J18 "," 상세불명 병원체의 폐렴 ","281","6182","2261993","5","1","8","194","47","26"
"입원실인원","5"," I50 "," 심부전 ","194","2691","949228","1","1","2","90","60","40"
"입원실인원","6"," M51 "," 기타 추간판장애 ","183","8169","2593604","8","5","2","147","21",""
"입원실인원","7"," H25 "," 노년백내장 ","119","119","148274","","","3","112","4",""
"입원실인원","8"," M17 "," 무릎관절증 ","113","5073","1811293","2","3","7","86","11","4"
"입원실인원","9"," M96 "," 달리 분류되지 않은 처치후 근골격장애 ","112","5683","1623770","6","3","5","84","14",""
"입원실인원","10"," S46 "," 어깨 및 위팔 부위의 근육 및 힘줄의 손상 ","96","4659","1803782","7","4","11","66","8",""
"입원실인원","11"," I63 "," 뇌경색증 ","85","5281","1460683","6","","","51","25","3"
"입원실인원","12"," C16 "," 위의 악성 신생물 ","84","1900","724665","1","","3","59","14","7"
"입원실인원","13"," M75 "," 어깨병변 ","82","3312","1124944","8","2","5","63","4",""
"입원실인원","14"," K40 "," 사타구니탈장 ","80","401","168622","","","","71","7","2"
"입원실인원","15"," S32 "," 요추 및 골반의 골절 ","71","2931","681850","","","3","45","19","4"
"입원실인원","16"," K63 "," 장의 기타 질환 ","67","647","212691","","1","3","53","10",""
"입원실인원","17"," G81 "," 편마비 ","66","4895","1372684","","","5","56","5",""
"입원실인원","18"," C61 "," 전립선의 악성 신생물 ","63","1286","473253","","","1","46","13","3"
"입원실인원","19"," N18 "," 만성 신장병 ","62","3059","1019435","2","","","45","9","6"
"입원실인원","19"," C34 "," 기관지 및 폐의 악성 신생물 ","62","2066","887463","3","4","4","34","13","4"
"입원연인원","1"," M48 "," 기타 척추병증 ","294","15276","4704472","280","350","511","12557","1449","129"
"입원연인원","2"," M51 "," 기타 추간판장애 ","183","8169","2593604","279","38","124","6732","996",""
"입원연인원","3"," J18 "," 상세불명 병원체의 폐렴 ","281","6182","2261993","108","21","343","3966","1210","534"
"입원연인원","4"," M96 "," 달리 분류되지 않은 처치후 근골격장애 ","112","5683","1623770","279","198","330","3996","880",""
"입원연인원","5"," I63 "," 뇌경색증 ","85","5281","1460683","430","","","2939","1801","111"
"입원연인원","6"," M17 "," 무릎관절증 ","113","5073","1811293","140","204","318","3656","509","246"
"입원연인원","7"," G81 "," 편마비 ","66","4895","1372684","","","410","4167","318",""
"입원연인원","8"," S46 "," 어깨 및 위팔 부위의 근육 및 힘줄의 손상 ","96","4659","1803782","238","151","336","3433","501",""
"입원연인원","9"," I20 "," 협심증 ","696","4355","3343042","43","25","136","3736","393","22"
"입원연인원","10"," M75 "," 어깨병변 ","82","3312","1124944","308","90","147","2435","332",""
"입원연인원","11"," N18 "," 만성 신장병 ","62","3059","1019435","29","","","2299","578","153"
"입원연인원","12"," I69 "," 뇌혈관질환의 후유증 ","48","3046","921669","49","119","135","2476","267",""
"입원연인원","13"," S32 "," 요추 및 골반의 골절 ","71","2931","681850","","","107","1959","737","128"
"입원연인원","14"," I50 "," 심부전 ","194","2691","949228","8","8","32","1141","983","519"
"입원연인원","15"," N40 "," 전립선증식증 ","339","2228","826226","29","29","94","1645","427","4"
"입원연인원","16"," M43 "," 기타 변형성 등병증 ","41","2089","714753","","","162","1687","240",""
"입원연인원","17"," C34 "," 기관지 및 폐의 악성 신생물 ","62","2066","887463","85","128","229","1010","442","172"
"입원연인원","18"," G82 "," 하반신마비 및 사지마비 ","23","1960","553110","478","","173","1309","",""
"입원연인원","19"," M54 "," 등통증 ","38","1956","493166","","","","1716","240",""
"입원연인원","20"," C16 "," 위의 악성 신생물 ","84","1900","724665","16","","74","1122","244","444"
"외래","1"," N40 "," 전립선증식증 ","29435","29435","2509272","323","448","1020","22297","4195","1152"
"외래","2"," E11 "," 2형 당뇨병 ","22656","22656","1980131","817","751","1207","16832","2671","378"
"외래","3"," L30 "," 기타 피부염 ","21747","21747","897897","920","550","878","16215","2765","419"
"외래","4"," M17 "," 무릎관절증 ","17450","17450","2991075","463","543","1582","12662","1987","213"
"외래","5"," I20 "," 협심증 ","17077","17077","2205978","268","315","710","13309","2086","389"
"외래","6"," M48 "," 기타 척추병증 ","16763","16763","3479842","272","558","647","12806","2200","280"
"외래","7"," N18 "," 만성 신장병 ","13928","13928","3119807","768","393","217","10250","1746","554"
"외래","8"," K05 "," 치은염 및 치주질환 ","12407","12407","2191664","655","431","784","9076","1266","195"
"외래","9"," I10 "," 본태성(원발성) 고혈압 ","11643","11643","592413","490","388","694","8188","1515","368"
"외래","10"," K08 "," 치아 및 지지구조의 기타 장애 ","8535","8535","1899055","174","197","527","6480","891","266"
"외래","11"," M54 "," 등통증 ","8504","8504","674998","294","381","245","6135","1369","80"
"외래","12"," K02 "," 치아우식 ","7810","7810","1413117","485","241","455","5667","839","123"
"외래","13"," N31 "," 달리 분류되지 않은 방광의 신경근육기능장애 ","7558","7558","778712","278","161","373","5471","1093","182"
"외래","14"," F06 "," 뇌손상, 뇌기능이상 및 신체질환에 의한 기타 정신장애 ","7422","7422","517768","4","59","306","5900","1011","142"
"외래","15"," H35 "," 기타 망막장애 ","7056","7056","1027093","102","86","235","5497","941","195"
"외래","16"," I63 "," 뇌경색증 ","7001","7001","1075103","138","136","175","5139","1168","245"
"외래","17"," H36 "," 달리 분류된 질환에서의 망막장애 ","6995","6995","701233","136","152","326","5497","771","113"
"외래","18"," M75 "," 어깨병변 ","6706","6706","1422206","771","301","673","4522","394","45"
"외래","19"," C61 "," 전립선의 악성 신생물 ","6406","6406","1190444","8","12","34","5406","780","166"
"외래","20","K21","위-식도역류병","6301","6301","782946","313","186","391","4594","699","118"
