"구분","순위","상병명 코드","상병명칭","진료인원(실인원)","진료인원(연인원)","진료비(천원)","연령별 59이하","연령별(60-64)","연령별(65-69)","연령별(70-79)","연령별(80-89)","연령별(90이상)"
"입원(실인원)","1"," N40 "," 전립선증식증 ","71","1584","382206","0","1","2","43","19","6"
"입원(실인원)","2"," U07 "," U07의 응급사용 ","67","466","137462","25","6","13","14","7","2"
"입원(실인원)","3"," M48 "," 기타 척추병증 ","62","813","267384","0","1","0","48","11","2"
"입원(실인원)","4"," E11 "," 인슐린-비의존 당뇨병 ","56","864","201127","4","1","4","36","11","0"
"입원(실인원)","5"," N31 "," 달리 분류되지 않은 방광의 신경근육기능장애 ","45","1243","290216","1","0","1","22","17","4"
"입원(실인원)","6"," C67 "," 방광의 악성 신생물 ","41","626","185275","1","0","0","23","11","6"
"입원(실인원)","7"," C61 "," 전립선의 악성 신생물 ","17","534","143682","0","0","0","2","8","7"
"입원(실인원)","8"," M54 "," 배통 ","11","267","57679","0","2","0","3","6","0"
"입원(실인원)","9"," M19 "," 연기, 불 및 화염에 노출 ","10","235","93727","0","0","2","8","0","0"
"입원(실인원)","10"," M17 "," 윤충증 ","10","237","92746","0","0","2","6","2","0"
"입원(실인원)","11"," C34 "," 기관지 및 폐의 악성 신생물 ","10","179","47763","0","5","0","3","2","0"
"입원(실인원)","12"," J44 "," 기타 만성 폐쇄성 폐질환 ","10","185","37132","1","3","0","4","2","0"
"입원(실인원)","13"," G81 "," 편마비 ","9","280","75110","0","0","1","6","2","0"
"입원(실인원)","14"," E14 "," 상세불명의 당뇨병 ","9","234","51146","0","0","0","3","4","2"
"입원(실인원)","15"," I63 "," 뇌경색증 ","8","197","56551","0","0","1","5","1","1"
"입원(실인원)","16"," G95 "," 척수의 기타질환 ","8","191","45630","1","0","1","3","3","0"
"입원(실인원)","17"," D17 "," 양성 지방종성 신생물 ","8","143","32907","1","0","1","6","0","0"
"입원(실인원)","18"," A09 "," 감염성 및 상세불명 기원의 기타 위장염 및 대장염 ","8","78","22195","1","1","0","6","0","0"
"입원(실인원)","19"," K29 "," 위염 및 십이지장염 ","8","63","15599","4","0","1","1","2","0"
"입원(실인원)","20"," H25 "," 노인성 백내장 ","8","8","8859","0","1","0","5","2","0"
"입원(연인원)","1"," N40 "," 전립선증식증 ","71","1584","382206","0","1","18","976","423","166"
"입원(연인원)","2"," N31 "," 달리 분류되지 않은 방광의 신경근육기능장애 ","45","1243","290216","7","0","9","656","501","70"
"입원(연인원)","3"," E11 "," 인슐린-비의존 당뇨병 ","56","864","201127","32","12","31","527","262","0"
"입원(연인원)","4"," M48 "," 기타 척추병증 ","62","813","267384","0","1","0","583","217","12"
"입원(연인원)","5"," C67 "," 방광의 악성 신생물 ","41","626","185275","2","0","0","235","202","187"
"입원(연인원)","6"," C61 "," 전립선의 악성 신생물 ","17","534","143682","0","0","0","141","158","235"
"입원(연인원)","7"," U07 "," U07의 응급사용 ","67","466","137462","151","25","73","146","64","7"
"입원(연인원)","8"," G81 "," 편마비 ","9","280","75110","0","0","7","186","87","0"
"입원(연인원)","9"," M54 "," 배통 ","11","267","57679","0","36","0","56","175","0"
"입원(연인원)","10"," M17 "," 윤충증 ","10","237","92746","0","0","67","137","33","0"
"입원(연인원)","11"," M19 "," 연기, 불 및 화염에 노출 ","10","235","93727","0","0","33","202","0","0"
"입원(연인원)","12"," E14 "," 상세불명의 당뇨병 ","9","234","51146","0","0","0","70","63","101"
"입원(연인원)","13"," M51 "," 기타 추간판장애 ","7","208","61251","11","15","40","76","9","57"
"입원(연인원)","14"," I63 "," 뇌경색증 ","8","197","56551","0","0","13","157","7","20"
"입원(연인원)","15"," G95 "," 척수의 기타질환 ","8","191","45630","79","0","6","27","79","0"
"입원(연인원)","16"," J44 "," 기타 만성 폐쇄성 폐질환 ","10","185","37132","14","75","0","79","17","0"
"입원(연인원)","17"," M50 "," 목뼈원판 장애 ","5","184","38509","0","0","0","31","0","153"
"입원(연인원)","18"," C34 "," 기관지 및 폐의 악성 신생물 ","10","179","47763","0","71","0","53","55","0"
"입원(연인원)","19"," I10 "," 본태성(일차성)고혈압 ","8","175","37855","0","0","0","24","0","151"
"입원(연인원)","20"," S72 "," 대퇴골의 골절 ","5","158","42537","0","0","0","58","26","74"
"외래","1"," N40 "," 전립선증식증 ","18383","","984046","265","504","791","13487","2374","962"
"외래","2"," I10 "," 본태성(일차성)고혈압 ","10702","","805298","517","608","866","6583","1530","598"
"외래","3"," M54 "," 배통 ","9310","","241820","775","621","953","5736","910","315"
"외래","4"," K05 "," 치은염(잇몸염)및 치주 질환 ","7591","","1096520","563","300","516","5126","839","247"
"외래","5"," E11 "," 인슐린-비의존 당뇨병 ","6625","","646091","471","338","618","4198","802","198"
"외래","6"," Z26 "," 기타 단일 감염성 질환에 대한 예방접종의 필요 ","6359","","276561","2185","563","650","2540","373","48"
"외래","7"," U07 "," U07의 응급사용 ","6025","","409785","1187","1393","1109","1639","609","88"
"외래","8"," M48 "," 기타 척추병증 ","5575","","677078","128","182","327","3980","721","237"
"외래","9"," M17 "," 윤충증 ","4225","","229407","228","223","343","3005","354","72"
"외래","10"," M75 "," 어깨병변 ","3737","","172092","434","236","343","2425","288","11"
"외래","11"," M51 "," 기타 추간판장애 ","3326","","110107","419","248","364","2030","216","49"
"외래","12"," I63 "," 뇌경색증 ","2719","","290804","100","85","198","1670","551","115"
"외래","13"," H04 "," 눈물기관의 장애 ","2706","","173130","156","145","182","1769","318","136"
"외래","14"," K04 "," 치수 및 치근단주위조직의 질환 ","2605","","482598","163","71","132","1983","201","55"
"외래","15"," M19 "," 연기, 불 및 화염에 노출 ","2526","","292733","64","116","205","1840","236","65"
"외래","16"," B35 "," 피부사상균증 ","2457","","80236","163","138","161","1750","181","64"
"외래","17"," G81 "," 편마비 ","2194","","143291","190","2","219","1656","105","22"
"외래","18"," L24 "," 자극성 접촉피부염 ","2119","","53596","116","89","89","1433","311","81"
"외래","19"," K29 "," 위염 및 십이지장염 ","1916","","169060","147","94","138","1285","192","60"
"외래","20"," H25 "," 노인성 백내장 ","1415","","96176","18","44","114","1066","149","24"
