"행정구역","2024년_계_총인구수","2024년_계_연령구간인구수","2024년_계_0~9세","2024년_계_10~19세","2024년_계_20~29세","2024년_계_30~39세","2024년_계_40~49세","2024년_계_50~59세","2024년_계_60~69세","2024년_계_70~79세","2024년_계_80~89세","2024년_계_90~99세","2024년_계_100세 이상","2024년_남_총인구수","2024년_남_연령구간인구수","2024년_남_0~9세","2024년_남_10~19세","2024년_남_20~29세","2024년_남_30~39세","2024년_남_40~49세","2024년_남_50~59세","2024년_남_60~69세","2024년_남_70~79세","2024년_남_80~89세","2024년_남_90~99세","2024년_남_100세 이상","2024년_여_총인구수","2024년_여_연령구간인구수","2024년_여_0~9세","2024년_여_10~19세","2024년_여_20~29세","2024년_여_30~39세","2024년_여_40~49세","2024년_여_50~59세","2024년_여_60~69세","2024년_여_70~79세","2024년_여_80~89세","2024년_여_90~99세","2024년_여_100세 이상"
"전국  (0000000000)","51,217,221","51,217,221","3,140,118","4,619,265","5,955,656","6,624,563","7,722,823","8,706,370","7,818,783","4,186,597","2,104,544","329,925","8,577","25,498,324","25,498,324","1,609,060","2,373,758","3,100,524","3,457,978","3,926,120","4,391,271","3,850,559","1,931,802","778,170","77,557","1,525","25,718,897","25,718,897","1,531,058","2,245,507","2,855,132","3,166,585","3,796,703","4,315,099","3,968,224","2,254,795","1,326,374","252,368","7,052"
"서울특별시  (1100000000)","9,331,828","9,331,828","483,780","720,767","1,308,260","1,442,665","1,383,950","1,486,068","1,326,239","773,771","355,250","49,594","1,484","4,505,355","4,505,355","248,113","368,724","615,810","722,187","683,706","730,924","627,775","349,792","144,375","13,615","334","4,826,473","4,826,473","235,667","352,043","692,450","720,478","700,244","755,144","698,464","423,979","210,875","35,979","1,150"
"부산광역시  (2600000000)","3,266,598","3,266,598","181,736","262,852","358,388","388,958","471,171","537,485","561,092","336,847","148,646","18,994","429","1,589,912","1,589,912","93,020","134,897","183,238","200,831","238,130","263,117","263,229","152,317","56,639","4,433","61","1,676,686","1,676,686","88,716","127,955","175,150","188,127","233,041","274,368","297,863","184,530","92,007","14,561","368"
"대구광역시  (2700000000)","2,363,629","2,363,629","142,228","212,438","268,100","282,632","344,645","418,181","375,530","205,143","100,506","13,966","260","1,159,601","1,159,601","73,047","109,308","140,840","150,942","171,028","204,079","179,299","91,060","36,601","3,360","37","1,204,028","1,204,028","69,181","103,130","127,260","131,690","173,617","214,102","196,231","114,083","63,905","10,606","223"
"인천광역시  (2800000000)","3,021,010","3,021,010","195,196","272,576","351,396","422,100","475,593","516,583","459,894","212,520","98,352","16,294","506","1,509,243","1,509,243","100,015","139,719","181,524","220,432","244,630","257,522","226,844","98,879","35,995","3,588","95","1,511,767","1,511,767","95,181","132,857","169,872","201,668","230,963","259,061","233,050","113,641","62,357","12,706","411"
"광주광역시  (2900000000)","1,408,422","1,408,422","92,837","145,418","182,033","173,762","219,511","243,154","190,637","103,523","49,754","7,612","181","695,224","695,224","47,389","74,961","94,953","90,216","109,527","120,323","91,317","45,932","18,791","1,790","25","713,198","713,198","45,448","70,457","87,080","83,546","109,984","122,831","99,320","57,591","30,963","5,822","156"
"대전광역시  (3000000000)","1,439,157","1,439,157","91,513","135,613","193,470","190,937","213,110","243,783","206,460","105,925","50,301","7,830","215","717,291","717,291","47,115","69,855","100,960","101,412","106,520","121,533","100,122","48,772","19,013","1,952","37","721,866","721,866","44,398","65,758","92,510","89,525","106,590","122,250","106,338","57,153","31,288","5,878","178"
"울산광역시  (3100000000)","1,098,049","1,098,049","73,097","109,370","117,157","136,293","173,188","202,978","175,205","77,310","29,297","4,068","86","564,888","564,888","37,487","56,820","67,244","74,655","89,470","101,711","88,369","37,511","10,771","840","10","533,161","533,161","35,610","52,550","49,913","61,638","83,718","101,267","86,836","39,799","18,526","3,228","76"
"세종특별자치시  (3600000000)","390,685","390,685","41,351","52,539","37,080","58,822","77,093","57,130","38,784","17,782","8,412","1,653","39","194,413","194,413","21,001","26,570","18,879","29,024","37,875","29,798","19,327","8,506","3,076","353","4","196,272","196,272","20,350","25,969","18,201","29,798","39,218","27,332","19,457","9,276","5,336","1,300","35"
"경기도  (4100000000)","13,694,685","13,694,685","939,988","1,318,307","1,627,548","1,907,383","2,214,874","2,357,607","1,911,010","905,114","440,674","70,233","1,947","6,882,186","6,882,186","481,144","674,010","853,005","997,554","1,130,022","1,186,937","953,479","420,816","167,243","17,543","433","6,812,499","6,812,499","458,844","644,297","774,543","909,829","1,084,852","1,170,670","957,531","484,298","273,431","52,690","1,514"
"강원특별자치도  (5100000000)","1,517,766","1,517,766","85,769","126,637","156,210","158,524","200,689","260,847","279,134","149,552","86,358","13,625","421","763,025","763,025","43,745","65,534","87,401","84,969","102,093","134,405","140,049","70,018","31,692","3,020","99","754,741","754,741","42,024","61,103","68,809","73,555","98,596","126,442","139,085","79,534","54,666","10,605","322"
"충청북도  (4300000000)","1,591,177","1,591,177","97,837","142,996","173,746","189,274","225,024","273,441","264,085","135,995","76,117","12,378","284","809,920","809,920","50,291","73,686","95,958","104,096","116,987","140,641","133,917","64,357","27,212","2,730","45","781,257","781,257","47,546","69,310","77,788","85,178","108,037","132,800","130,168","71,638","48,905","9,648","239"
"충청남도  (4400000000)","2,136,574","2,136,574","135,316","201,787","220,268","252,339","317,999","353,357","335,114","188,307","111,022","20,577","488","1,096,128","1,096,128","69,467","104,188","122,159","137,957","169,167","187,836","171,071","89,369","39,850","4,988","76","1,040,446","1,040,446","65,849","97,599","98,109","114,382","148,832","165,521","164,043","98,938","71,172","15,589","412"
