상병코드,59이하,60-64,65-69,70-79,80-89,90이상
 U07 ,1527.0,263.0,332.0,468,136.0,13.0
 H25 ,19.0,29.0,99.0,1051,185.0,37.0
 Z51 ,44.0,34.0,45.0,484,78.0,9.0
 M17 ,16.0,27.0,51.0,318,56.0,3.0
 C34 ,6.0,2.0,13.0,254,40.0,12.0
 M48 ,13.0,13.0,22.0,235,24.0,7.0
 I25 ,8.0,7.0,16.0,220,47.0,7.0
 I67 ,20.0,19.0,49.0,180,12.0,0.0
 C22 ,7.0,12.0,11.0,186,35.0,1.0
 I65 ,1.0,3.0,8.0,222,16.0,2.0
 Z04 ,0.0,1.0,0.0,215,26.0,2.0
 I63 ,9.0,7.0,5.0,134,58.0,29.0
 M75 ,21.0,12.0,20.0,168,9.0,1.0
 K80 ,9.0,4.0,9.0,148,40.0,14.0
 C61 ,2.0,4.0,6.0,187,18.0,3.0
 C16 ,6.0,4.0,5.0,127,27.0,12.0
 I50 ,3.0,1.0,1.0,73,78.0,23.0
 N18 ,9.0,6.0,5.0,119,33.0,5.0
 K40 ,4.0,2.0,3.0,123,30.0,9.0
 J18 ,2.0,1.0,2.0,75,46.0,27.0
 U07 ,13881.0,2907.0,3680.0,5521,1660.0,199.0
 M17 ,413.0,558.0,1125.0,6693,1301.0,46.0
 Z51 ,591.0,186.0,426.0,4467,2039.0,608.0
 F20 ,3608.0,1513.0,1395.0,1345,392.0,0.0
 C34 ,158.0,23.0,211.0,6370,1106.0,352.0
 N18 ,122.0,89.0,128.0,3689,932.0,599.0
 M48 ,179.0,224.0,333.0,3729,476.0,105.0
 H25 ,67.0,98.0,349.0,3628,642.0,132.0
 I63 ,100.0,155.0,34.0,1817,1499.0,450.0
 J15 ,0.0,15.0,9.0,1700,1412.0,556.0
 E11 ,278.0,183.0,116.0,1985,740.0,260.0
 I50 ,22.0,13.0,11.0,1378,1731.0,400.0
 S72 ,14.0,186.0,41.0,710,1712.0,878.0
 I25 ,36.0,54.0,247.0,2444,660.0,91.0
 C16 ,66.0,47.0,53.0,2532,567.0,196.0
 M75 ,328.0,149.0,277.0,2351,135.0,29.0
 C61 ,23.0,69.0,59.0,2718,194.0,189.0
 C22 ,57.0,103.0,108.0,2058,543.0,9.0
 K80 ,48.0,22.0,101.0,1842,496.0,166.0
 S06 ,50.0,13.0,183.0,1731,453.0,242.0
 N40 ,595.0,1319.0,2445.0,44207,8851.0,2971.0
 I10 ,2288.0,2355.0,4401.0,34447,8838.0,2140.0
 K05 ,4853.0,3260.0,5211.0,34906,4933.0,784.0
 E11 ,2832.0,2292.0,4141.0,35780,7091.0,1307.0
 K08 ,1474.0,1087.0,3225.0,30757,4476.0,905.0
 M48 ,898.0,946.0,2287.0,20767,4926.0,1140.0
 L30 ,1569.0,921.0,1497.0,20829,2840.0,609.0
 I20 ,355.0,530.0,1126.0,18836,3784.0,901.0
 I63 ,284.0,534.0,962.0,14843,4500.0,1587.0
 H25 ,425.0,627.0,1292.0,13158,2673.0,514.0
 G81 ,2350.0,605.0,1341.0,12041,1481.0,525.0
 M51 ,1354.0,437.0,940.0,12351,2167.0,344.0
 N18 ,1129.0,734.0,758.0,10283,3225.0,1144.0
 R42 ,594.0,490.0,1155.0,10572,3249.0,894.0
 C61 ,9.0,176.0,302.0,13458,2395.0,440.0
 U07 ,10370.0,1117.0,1330.0,2916,437.0,73.0
 M17 ,661.0,680.0,1567.0,10324,2348.0,448.0
 R52 ,2200.0,968.0,1166.0,9105,1525.0,553.0
 H35 ,181.0,248.0,697.0,10920,2751.0,678.0
K02,1979.0,719.0,1106.0,9262,1394.0,193.0
 H25 ,14.0,33.0,51.0,877,178.0,29.0
 U07 ,418.0,74.0,82.0,210,87.0,26.0
 Z51 ,47.0,51.0,23.0,381,100.0,34.0
 M17 ,12.0,18.0,48.0,284,59.0,5.0
 I25 ,8.0,9.0,21.0,318,49.0,16.0
 C34 ,2.0,2.0,14.0,253,47.0,18.0
 M48 ,10.0,9.0,18.0,232,41.0,11.0
 C61 ,3.0,2.0,11.0,261,13.0,6.0
 I65 ,2.0,0.0,7.0,246,32.0,2.0
 Z04 ,0.0,0.0,0.0,251,28.0,1.0
 I63 ,3.0,4.0,9.0,129,59.0,30.0
 M75 ,16.0,9.0,26.0,170,11.0,1.0
 C22 ,7.0,9.0,13.0,163,21.0,10.0
 I67 ,17.0,13.0,28.0,137,19.0,0.0
 K80 ,13.0,11.0,15.0,127,34.0,14.0
 J18 ,7.0,1.0,3.0,107,49.0,42.0
 N18 ,11.0,9.0,5.0,128,43.0,8.0
 K40 ,1.0,4.0,6.0,147,34.0,8.0
 I50 ,3.0,1.0,0.0,76,62.0,45.0
 C16 ,4.0,2.0,7.0,130,32.0,9.0
 M17 ,251.0,355.0,973.0,5793,1248.0,104.0
 Z51 ,850.0,464.0,524.0,3706,1749.0,921.0
 U07 ,3098.0,653.0,681.0,2471,1004.0,256.0
 F20 ,4132.0,882.0,1070.0,1622,351.0,0.0
 C34 ,34.0,6.0,258.0,4811,947.0,294.0
 I50 ,58.0,8.0,0.0,3677,1166.0,1036.0
 G81 ,30.0,216.0,0.0,3734,924.0,259.0
 N18 ,240.0,105.0,185.0,3945,546.0,73.0
 M48 ,104.0,140.0,233.0,3321,570.0,613.0
 I25 ,109.0,85.0,151.0,2914,644.0,186.0
 H25 ,41.0,110.0,175.0,2964,599.0,98.0
