년도,지역,구분,상병코드,연인원,59이하,60-64,65-69,70-79,80-89,90이상
2021,서울,입원(연인원), U07 ,27848.0,13881.0,2907.0,3680.0,5521,1660.0,199.0
2021,서울,입원(연인원), M17 ,10136.0,413.0,558.0,1125.0,6693,1301.0,46.0
2021,서울,입원(연인원), Z51 ,8317.0,591.0,186.0,426.0,4467,2039.0,608.0
2021,서울,입원(연인원), F20 ,8253.0,3608.0,1513.0,1395.0,1345,392.0,0.0
2021,서울,입원(연인원), C34 ,8220.0,158.0,23.0,211.0,6370,1106.0,352.0
2021,서울,입원(연인원), N18 ,5559.0,122.0,89.0,128.0,3689,932.0,599.0
2021,서울,입원(연인원), M48 ,5046.0,179.0,224.0,333.0,3729,476.0,105.0
2021,서울,입원(연인원), H25 ,4916.0,67.0,98.0,349.0,3628,642.0,132.0
2021,서울,입원(연인원), I63 ,4055.0,100.0,155.0,34.0,1817,1499.0,450.0
2021,서울,입원(연인원), J15 ,3692.0,0.0,15.0,9.0,1700,1412.0,556.0
2021,서울,입원(연인원), E11 ,3562.0,278.0,183.0,116.0,1985,740.0,260.0
2021,서울,입원(연인원), I50 ,3555.0,22.0,13.0,11.0,1378,1731.0,400.0
2021,서울,입원(연인원), S72 ,3541.0,14.0,186.0,41.0,710,1712.0,878.0
2021,서울,입원(연인원), I25 ,3532.0,36.0,54.0,247.0,2444,660.0,91.0
2021,서울,입원(연인원), C16 ,3461.0,66.0,47.0,53.0,2532,567.0,196.0
2021,서울,입원(연인원), M75 ,3269.0,328.0,149.0,277.0,2351,135.0,29.0
2021,서울,입원(연인원), C61 ,3252.0,23.0,69.0,59.0,2718,194.0,189.0
2021,서울,입원(연인원), C22 ,2878.0,57.0,103.0,108.0,2058,543.0,9.0
2021,서울,입원(연인원), K80 ,2675.0,48.0,22.0,101.0,1842,496.0,166.0
2021,서울,입원(연인원), S06 ,2672.0,50.0,13.0,183.0,1731,453.0,242.0
2021,서울,외래, N40 ,60388.0,595.0,1319.0,2445.0,44207,8851.0,2971.0
2021,서울,외래, I10 ,54469.0,2288.0,2355.0,4401.0,34447,8838.0,2140.0
2021,서울,외래, K05 ,53947.0,4853.0,3260.0,5211.0,34906,4933.0,784.0
2021,서울,외래, E11 ,53443.0,2832.0,2292.0,4141.0,35780,7091.0,1307.0
2021,서울,외래, K08 ,41924.0,1474.0,1087.0,3225.0,30757,4476.0,905.0
2021,서울,외래, M48 ,30964.0,898.0,946.0,2287.0,20767,4926.0,1140.0
2021,서울,외래, L30 ,28265.0,1569.0,921.0,1497.0,20829,2840.0,609.0
2021,서울,외래, I20 ,25532.0,355.0,530.0,1126.0,18836,3784.0,901.0
2021,서울,외래, I63 ,22710.0,284.0,534.0,962.0,14843,4500.0,1587.0
2021,서울,외래, H25 ,18689.0,425.0,627.0,1292.0,13158,2673.0,514.0
2021,서울,외래, G81 ,18343.0,2350.0,605.0,1341.0,12041,1481.0,525.0
2021,서울,외래, M51 ,17593.0,1354.0,437.0,940.0,12351,2167.0,344.0
2021,서울,외래, N18 ,17273.0,1129.0,734.0,758.0,10283,3225.0,1144.0
2021,서울,외래, R42 ,16954.0,594.0,490.0,1155.0,10572,3249.0,894.0
2021,서울,외래, C61 ,16780.0,9.0,176.0,302.0,13458,2395.0,440.0
2021,서울,외래, U07 ,16243.0,10370.0,1117.0,1330.0,2916,437.0,73.0
2021,서울,외래, M17 ,16028.0,661.0,680.0,1567.0,10324,2348.0,448.0
2021,서울,외래, R52 ,15517.0,2200.0,968.0,1166.0,9105,1525.0,553.0
2021,서울,외래, H35 ,15475.0,181.0,248.0,697.0,10920,2751.0,678.0
2021,서울,외래,K02,14653.0,1979.0,719.0,1106.0,9262,1394.0,193.0
2022,서울,입원(연인원), M17 ,8724.0,251.0,355.0,973.0,5793,1248.0,104.0
2022,서울,입원(연인원), Z51 ,8214.0,850.0,464.0,524.0,3706,1749.0,921.0
2022,서울,입원(연인원), U07 ,8163.0,3098.0,653.0,681.0,2471,1004.0,256.0
2022,서울,입원(연인원), F20 ,8057.0,4132.0,882.0,1070.0,1622,351.0,0.0
2022,서울,입원(연인원), C34 ,6350.0,34.0,6.0,258.0,4811,947.0,294.0
2022,서울,입원(연인원), I50 ,5945.0,58.0,8.0,0.0,3677,1166.0,1036.0
2022,서울,입원(연인원), G81 ,5163.0,30.0,216.0,0.0,3734,924.0,259.0
2022,서울,입원(연인원), N18 ,5094.0,240.0,105.0,185.0,3945,546.0,73.0
2022,서울,입원(연인원), M48 ,4981.0,104.0,140.0,233.0,3321,570.0,613.0
2022,서울,입원(연인원), I25 ,4089.0,109.0,85.0,151.0,2914,644.0,186.0
2022,서울,입원(연인원), H25 ,3987.0,41.0,110.0,175.0,2964,599.0,98.0
2022,서울,입원(연인원), C61 ,3985.0,21.0,21.0,164.0,3482,207.0,90.0
2022,서울,입원(연인원), J15 ,3735.0,1758.0,0.0,95.0,805,690.0,387.0
2022,서울,입원(연인원), S72 ,3342.0,123.0,74.0,26.0,1119,1541.0,459.0
2022,서울,입원(연인원), E11 ,3293.0,266.0,160.0,62.0,2144,557.0,104.0
2022,서울,입원(연인원), M75 ,3036.0,149.0,73.0,401.0,2210,173.0,30.0
2022,서울,입원(연인원), I63 ,3012.0,12.0,25.0,82.0,1678,739.0,476.0
2022,서울,입원(연인원), J18 ,3010.0,90.0,15.0,71.0,1491,863.0,480.0
2022,서울,입원(연인원), T84 ,2969.0,199.0,24.0,50.0,2320,330.0,46.0
2022,서울,입원(연인원), S06 ,2798.0,8.0,2.0,7.0,1674,543.0,564.0
2022,서울,외래, N40 ,57720.0,526.0,1134.0,2303.0,41658,8712.0,3387.0
2022,서울,외래, E11 ,55804.0,2800.0,2221.0,3919.0,37582,7746.0,1536.0
2022,서울,외래, K05 ,49278.0,3960.0,2783.0,4380.0,32118,5170.0,867.0
2022,서울,외래, I10 ,47553.0,1881.0,1770.0,3550.0,30258,7837.0,2257.0
2022,서울,외래, K08 ,40172.0,1930.0,1209.0,2900.0,28028,5049.0,1056.0
2022,서울,외래, L30 ,27516.0,1422.0,708.0,1137.0,20276,3172.0,801.0
2022,서울,외래, I20 ,26133.0,352.0,459.0,1023.0,18880,4227.0,1192.0
2022,서울,외래, M48 ,24547.0,603.0,537.0,1489.0,16480,4291.0,1147.0
2022,서울,외래, I63 ,22082.0,290.0,342.0,962.0,14515,4265.0,1708.0
2022,서울,외래, N18 ,20376.0,1023.0,557.0,946.0,12364,4059.0,1427.0
2022,서울,외래, M51 ,19706.0,1452.0,403.0,996.0,13045,3429.0,381.0
2022,서울,외래, H35 ,17644.0,192.0,269.0,659.0,12405,3078.0,1041.0
2022,서울,외래, Z11 ,17337.0,6680.0,1496.0,1996.0,6115,925.0,125.0
2022,서울,외래, R42 ,16810.0,657.0,515.0,1122.0,10448,3136.0,932.0
2022,서울,외래, G81 ,17313.0,2324.0,668.0,1455.0,10994,1558.0,314.0
2022,서울,외래, R52 ,16023.0,2668.0,1055.0,1058.0,9163,1480.0,599.0
2022,서울,외래, C61 ,16056.0,19.0,71.0,277.0,12188,2815.0,686.0
2022,서울,외래, H42 ,14462.0,366.0,372.0,767.0,9809,2523.0,625.0
2022,서울,외래, K02 ,14323.0,1871.0,515.0,1109.0,8916,1662.0,250.0
2022,서울,외래,K04,14094.0,1084.0,557.0,911.0,9913,1431.0,198.0
2023,서울,입원(연인원), G81 ,16944.0,1985.0,89.0,1499.0,8214,3792.0,1365.0
2023,서울,입원(연인원), M17 ,10614.0,320.0,256.0,808.0,7434,1757.0,39.0
2023,서울,입원(연인원), G82 ,10571.0,2155.0,435.0,497.0,5324,1509.0,651.0
2023,서울,입원(연인원), Z51 ,10290.0,317.0,846.0,879.0,4611,2183.0,1454.0
2023,서울,입원(연인원), F20 ,8577.0,3869.0,805.0,1668.0,1818,417.0,
2023,서울,입원(연인원), C34 ,7619.0,146.0,169.0,150.0,5665,1224.0,265.0
2023,서울,입원(연인원), I50 ,5535.0,98.0,31.0,87.0,2198,1962.0,1159.0
2023,서울,입원(연인원), M48 ,5351.0,78.0,148.0,296.0,3643,1037.0,149.0
2023,서울,입원(연인원), I63 ,5294.0,206.0,230.0,147.0,3211,1011.0,489.0
2023,서울,입원(연인원), C61 ,5286.0,11.0,39.0,119.0,4486,407.0,224.0
2023,서울,입원(연인원), H25 ,4893.0,50.0,159.0,223.0,3330,1020.0,111.0
2023,서울,입원(연인원), I25 ,4803.0,96.0,39.0,191.0,3465,839.0,173.0
2023,서울,입원(연인원), S72 ,4372.0,177.0,30.0,139.0,1628,1470.0,928.0
2023,서울,입원(연인원), E11 ,4152.0,259.0,173.0,36.0,2649,828.0,207.0
2023,서울,입원(연인원), J18 ,3926.0,30.0,36.0,91.0,1556,1071.0,1142.0
2023,서울,입원(연인원), S06 ,3714.0,,36.0,50.0,2445,836.0,347.0
2023,서울,입원(연인원), N17 ,3498.0,147.0,51.0,,1067,1441.0,792.0
2023,서울,입원(연인원), M75 ,3477.0,174.0,136.0,245.0,2683,239.0,
2023,서울,입원(연인원), N18 ,3431.0,190.0,112.0,170.0,2041,789.0,129.0
2023,서울,입원(연인원), C16 ,3423.0,78.0,53.0,36.0,1801,1065.0,390.0
2023,서울,외래, N40 ,57608.0,541.0,1059.0,2316.0,39889,10595.0,3208.0
2023,서울,외래, E11 ,54235.0,2549.0,2002.0,3703.0,35385,9034.0,1562.0
2023,서울,외래, K05 ,48156.0,3411.0,2275.0,4527.0,30325,6657.0,961.0
2023,서울,외래, K08 ,48154.0,2556.0,1458.0,3794.0,31979,7094.0,1273.0
2023,서울,외래, M51 ,31729.0,1759.0,600.0,1525.0,20442,6427.0,976.0
2023,서울,외래, I20 ,29410.0,396.0,469.0,1108.0,20181,5869.0,1387.0
2023,서울,외래, L30 ,26145.0,1299.0,704.0,1139.0,17909,4363.0,731.0
2023,서울,외래, I63 ,22266.0,304.0,311.0,816.0,14263,4778.0,1794.0
2023,서울,외래, N18 ,22051.0,1069.0,540.0,686.0,13008,5221.0,1527.0
2023,서울,외래, I10 ,21659.0,956.0,785.0,1678.0,12978,4031.0,1231.0
