구분,지역,상병코드,age_group,count,대표진료과
입원(연인원),서울, U07 ,59이하,13881,
입원(연인원),서울, M17 ,59이하,413,
입원(연인원),서울, Z51 ,59이하,591,
입원(연인원),서울, F20 ,59이하,3608,
입원(연인원),서울, C34 ,59이하,158,
입원(연인원),서울, N18 ,59이하,122,
입원(연인원),서울, M48 ,59이하,179,
입원(연인원),서울, H25 ,59이하,67,
입원(연인원),서울, I63 ,59이하,100,
입원(연인원),서울, J15 ,59이하,0,
입원(연인원),서울, E11 ,59이하,278,
입원(연인원),서울, I50 ,59이하,22,
입원(연인원),서울, S72 ,59이하,14,
입원(연인원),서울, I25 ,59이하,36,
입원(연인원),서울, C16 ,59이하,66,
입원(연인원),서울, M75 ,59이하,328,
입원(연인원),서울, C61 ,59이하,23,
입원(연인원),서울, C22 ,59이하,57,
입원(연인원),서울, K80 ,59이하,48,
입원(연인원),서울, S06 ,59이하,50,
외래,서울, N40 ,59이하,595,
외래,서울, I10 ,59이하,2288,
외래,서울, K05 ,59이하,4853,
외래,서울, E11 ,59이하,2832,
외래,서울, K08 ,59이하,1474,
외래,서울, M48 ,59이하,898,
외래,서울, L30 ,59이하,1569,
외래,서울, I20 ,59이하,355,
외래,서울, I63 ,59이하,284,
외래,서울, H25 ,59이하,425,
외래,서울, G81 ,59이하,2350,
외래,서울, M51 ,59이하,1354,
외래,서울, N18 ,59이하,1129,
외래,서울, R42 ,59이하,594,
외래,서울, C61 ,59이하,9,
외래,서울, U07 ,59이하,10370,
외래,서울, M17 ,59이하,661,
외래,서울, R52 ,59이하,2200,
외래,서울, H35 ,59이하,181,
외래,서울,K02,59이하,1979,치과
입원(연인원),서울, M17 ,59이하,251,
입원(연인원),서울, Z51 ,59이하,850,
입원(연인원),서울, U07 ,59이하,3098,
입원(연인원),서울, F20 ,59이하,4132,
입원(연인원),서울, C34 ,59이하,34,
입원(연인원),서울, I50 ,59이하,58,
입원(연인원),서울, G81 ,59이하,30,
입원(연인원),서울, N18 ,59이하,240,
입원(연인원),서울, M48 ,59이하,104,
입원(연인원),서울, I25 ,59이하,109,
입원(연인원),서울, H25 ,59이하,41,
입원(연인원),서울, C61 ,59이하,21,
입원(연인원),서울, J15 ,59이하,1758,
입원(연인원),서울, S72 ,59이하,123,
입원(연인원),서울, E11 ,59이하,266,
입원(연인원),서울, M75 ,59이하,149,
입원(연인원),서울, I63 ,59이하,12,
입원(연인원),서울, J18 ,59이하,90,
입원(연인원),서울, T84 ,59이하,199,
입원(연인원),서울, S06 ,59이하,8,
외래,서울, N40 ,59이하,526,
외래,서울, E11 ,59이하,2800,
외래,서울, K05 ,59이하,3960,
외래,서울, I10 ,59이하,1881,
외래,서울, K08 ,59이하,1930,
외래,서울, L30 ,59이하,1422,
외래,서울, I20 ,59이하,352,
외래,서울, M48 ,59이하,603,
외래,서울, I63 ,59이하,290,
외래,서울, N18 ,59이하,1023,
외래,서울, M51 ,59이하,1452,
외래,서울, H35 ,59이하,192,
외래,서울, Z11 ,59이하,6680,
외래,서울, R42 ,59이하,657,
외래,서울, G81 ,59이하,2324,
외래,서울, R52 ,59이하,2668,
외래,서울, C61 ,59이하,19,
외래,서울, H42 ,59이하,366,
외래,서울, K02 ,59이하,1871,
외래,서울,K04,59이하,1084,치과
입원(연인원),서울, G81 ,59이하,1985,
입원(연인원),서울, M17 ,59이하,320,
입원(연인원),서울, G82 ,59이하,2155,
입원(연인원),서울, Z51 ,59이하,317,
입원(연인원),서울, F20 ,59이하,3869,
입원(연인원),서울, C34 ,59이하,146,
입원(연인원),서울, I50 ,59이하,98,
입원(연인원),서울, M48 ,59이하,78,
입원(연인원),서울, I63 ,59이하,206,
입원(연인원),서울, C61 ,59이하,11,
입원(연인원),서울, H25 ,59이하,50,
입원(연인원),서울, I25 ,59이하,96,
입원(연인원),서울, S72 ,59이하,177,
입원(연인원),서울, E11 ,59이하,259,
입원(연인원),서울, J18 ,59이하,30,
입원(연인원),서울, S06 ,59이하,0,
입원(연인원),서울, N17 ,59이하,147,
입원(연인원),서울, M75 ,59이하,174,
입원(연인원),서울, N18 ,59이하,190,
입원(연인원),서울, C16 ,59이하,78,
외래,서울, N40 ,59이하,541,
외래,서울, E11 ,59이하,2549,
외래,서울, K05 ,59이하,3411,
외래,서울, K08 ,59이하,2556,
외래,서울, M51 ,59이하,1759,
외래,서울, I20 ,59이하,396,
외래,서울, L30 ,59이하,1299,
외래,서울, I63 ,59이하,304,
외래,서울, N18 ,59이하,1069,
외래,서울, I10 ,59이하,956,
외래,서울, R42 ,59이하,664,
외래,서울, C61 ,59이하,40,
외래,서울, G81 ,59이하,2272,
외래,서울, H35 ,59이하,131,
외래,서울, K02 ,59이하,1960,
외래,서울, I11 ,59이하,736,
외래,서울, K04 ,59이하,1150,
외래,서울, R52 ,59이하,2218,
외래,서울, M75 ,59이하,904,
외래,서울,H42,59이하,291,안과
입원(연인원),부산, M48 ,59이하,623,
입원(연인원),부산, M51 ,59이하,466,
입원(연인원),부산, M17 ,59이하,101,
입원(연인원),부산, M75 ,59이하,83,
입원(연인원),부산, S46 ,59이하,130,
입원(연인원),부산, I63 ,59이하,233,
입원(연인원),부산, I20 ,59이하,31,
입원(연인원),부산, U07 ,59이하,2048,
입원(연인원),부산, E11 ,59이하,213,
입원(연인원),부산, J18 ,59이하,103,
입원(연인원),부산, I50 ,59이하,13,
입원(연인원),부산, I69 ,59이하,220,
입원(연인원),부산, M50 ,59이하,99,
입원(연인원),부산, M96 ,59이하,184,
입원(연인원),부산, M43 ,59이하,0,
입원(연인원),부산, C16 ,59이하,75,
입원(연인원),부산, C34 ,59이하,52,
입원(연인원),부산, C22 ,59이하,62,
입원(연인원),부산, S32 ,59이하,102,
입원(연인원),부산, G81 ,59이하,60,
외래,부산,N40,59이하,418,비뇨의학과
외래,부산,E11,59이하,1058,내과
외래,부산,U07,59이하,15801,내과
외래,부산,I10,59이하,794,내과
외래,부산,M48,59이하,360,정형외과
외래,부산,M17,59이하,627,정형외과
외래,부산,I20,59이하,224,내과
외래,부산,N18,59이하,709,내과
외래,부산,K05,59이하,643,치과
외래,부산,Z26,59이하,6328,내과
외래,부산,L29,59이하,387,피부과
외래,부산,K02,59이하,661,치과
외래,부산,M54,59이하,373,재활의학과
외래,부산,L30,59이하,518,피부과
외래,부산,K08,59이하,299,치과
외래,부산,Z00,59이하,5735,내과
외래,부산,I63,59이하,308,신경과
외래,부산,H25,59이하,29,안과
외래,부산,H04,59이하,310,안과
외래,부산,H35,59이하,111,안과
입원(연인원),부산, M48 ,59이하,138,
입원(연인원),부산, M51 ,59이하,486,
입원(연인원),부산, M17 ,59이하,0,
입원(연인원),부산, I63 ,59이하,348,
입원(연인원),부산, U07 ,59이하,724,
입원(연인원),부산, J18 ,59이하,104,
입원(연인원),부산, M96 ,59이하,174,
입원(연인원),부산, S46 ,59이하,166,
입원(연인원),부산, I20 ,59이하,29,
입원(연인원),부산, G81 ,59이하,67,
입원(연인원),부산, E11 ,59이하,0,
입원(연인원),부산, C34 ,59이하,56,
입원(연인원),부산, M75 ,59이하,38,
입원(연인원),부산, I50 ,59이하,8,
입원(연인원),부산, C16 ,59이하,51,
입원(연인원),부산, I69 ,59이하,0,
입원(연인원),부산, S32 ,59이하,47,
입원(연인원),부산, N18 ,59이하,53,
입원(연인원),부산, S06 ,59이하,353,
입원(연인원),부산, M50 ,59이하,121,
외래,부산, N40 ,59이하,316,
외래,부산, E11 ,59이하,861,
외래,부산, U07 ,59이하,13578,
외래,부산, L30 ,59이하,763,
외래,부산, M17 ,59이하,490,
외래,부산, I20 ,59이하,214,
외래,부산, M48 ,59이하,329,
외래,부산, I10 ,59이하,615,
외래,부산, N18 ,59이하,716,
외래,부산, K05 ,59이하,607,
외래,부산, Z11 ,59이하,5888,
외래,부산, M54 ,59이하,541,
외래,부산, K08 ,59이하,214,
외래,부산, K02 ,59이하,532,
외래,부산, I63 ,59이하,175,
외래,부산, K21 ,59이하,323,
외래,부산, N31 ,59이하,285,
외래,부산, M75 ,59이하,380,
외래,부산, R53 ,59이하,282,
외래,부산,H25,59이하,12,안과
입원(연인원),부산, M48 ,59이하,280,
입원(연인원),부산, M51 ,59이하,279,
입원(연인원),부산, J18 ,59이하,108,
입원(연인원),부산, M96 ,59이하,279,
입원(연인원),부산, I63 ,59이하,430,
입원(연인원),부산, M17 ,59이하,140,
입원(연인원),부산, G81 ,59이하,0,
입원(연인원),부산, S46 ,59이하,238,
입원(연인원),부산, I20 ,59이하,43,
입원(연인원),부산, M75 ,59이하,308,
입원(연인원),부산, N18 ,59이하,29,
입원(연인원),부산, I69 ,59이하,49,
입원(연인원),부산, S32 ,59이하,0,
입원(연인원),부산, I50 ,59이하,8,
입원(연인원),부산, N40 ,59이하,29,
입원(연인원),부산, M43 ,59이하,0,
입원(연인원),부산, C34 ,59이하,85,
입원(연인원),부산, G82 ,59이하,478,
입원(연인원),부산, M54 ,59이하,0,
입원(연인원),부산, C16 ,59이하,16,
외래,부산, N40 ,59이하,323,
외래,부산, E11 ,59이하,817,
외래,부산, L30 ,59이하,920,
외래,부산, M17 ,59이하,463,
외래,부산, I20 ,59이하,268,
외래,부산, M48 ,59이하,272,
외래,부산, N18 ,59이하,768,
외래,부산, K05 ,59이하,655,
외래,부산, I10 ,59이하,490,
외래,부산, K08 ,59이하,174,
외래,부산, M54 ,59이하,294,
외래,부산, K02 ,59이하,485,
외래,부산, N31 ,59이하,278,
외래,부산, F06 ,59이하,4,
외래,부산, H35 ,59이하,102,
외래,부산, I63 ,59이하,138,
외래,부산, H36 ,59이하,136,
외래,부산, M75 ,59이하,771,
외래,부산, C61 ,59이하,8,
외래,부산,K21,59이하,313,내과
입원(연인원),인천, E11 ,59이하,157,
입원(연인원),인천, N31 ,59이하,0,
입원(연인원),인천, M17 ,59이하,60,
입원(연인원),인천, M48 ,59이하,22,
입원(연인원),인천, M19 ,59이하,18,
입원(연인원),인천, J44 ,59이하,127,
입원(연인원),인천, N40 ,59이하,21,
입원(연인원),인천, C61 ,59이하,0,
입원(연인원),인천, M75 ,59이하,35,
입원(연인원),인천, I10 ,59이하,5,
입원(연인원),인천, C67 ,59이하,3,
입원(연인원),인천, K56 ,59이하,23,
입원(연인원),인천, J45 ,59이하,0,
입원(연인원),인천, J21 ,59이하,7,
입원(연인원),인천, J18 ,59이하,0,
입원(연인원),인천, G81 ,59이하,0,
입원(연인원),인천, M96 ,59이하,26,
입원(연인원),인천, H25 ,59이하,5,
입원(연인원),인천, K81 ,59이하,0,
입원(연인원),인천, K59 ,59이하,0,
외래,인천, N40 ,59이하,160,
외래,인천, Z26 ,59이하,478,
외래,인천, I10 ,59이하,303,
외래,인천, K05 ,59이하,68,
외래,인천, E11 ,59이하,46,
외래,인천, M48 ,59이하,591,
외래,인천, H04 ,59이하,13,
외래,인천, M19 ,59이하,218,
외래,인천, H25 ,59이하,189,
외래,인천, M54 ,59이하,667,
외래,인천, L24 ,59이하,122,
외래,인천, K04 ,59이하,180,
외래,인천, B35 ,59이하,197,
외래,인천, I63 ,59이하,216,
외래,인천, K29 ,59이하,153,
외래,인천, R52 ,59이하,151,
외래,인천, K02 ,59이하,190,
외래,인천, H90 ,59이하,273,
외래,인천, K21 ,59이하,267,
외래,인천, M75 ,59이하,5154,
입원(연인원),인천, N40 ,59이하,0,
입원(연인원),인천, N31 ,59이하,7,
입원(연인원),인천, E11 ,59이하,32,
입원(연인원),인천, M48 ,59이하,0,
입원(연인원),인천, C67 ,59이하,2,
입원(연인원),인천, C61 ,59이하,0,
입원(연인원),인천, U07 ,59이하,151,
입원(연인원),인천, G81 ,59이하,0,
입원(연인원),인천, M54 ,59이하,0,
입원(연인원),인천, M17 ,59이하,0,
입원(연인원),인천, M19 ,59이하,0,
입원(연인원),인천, E14 ,59이하,0,
입원(연인원),인천, M51 ,59이하,11,
입원(연인원),인천, I63 ,59이하,0,
입원(연인원),인천, G95 ,59이하,79,
입원(연인원),인천, J44 ,59이하,14,
입원(연인원),인천, M50 ,59이하,0,
입원(연인원),인천, C34 ,59이하,0,
입원(연인원),인천, I10 ,59이하,0,
입원(연인원),인천, S72 ,59이하,0,
외래,인천, N40 ,59이하,265,
외래,인천, I10 ,59이하,517,
외래,인천, M54 ,59이하,775,
외래,인천, K05 ,59이하,563,
외래,인천, E11 ,59이하,471,
외래,인천, Z26 ,59이하,2185,
외래,인천, U07 ,59이하,1187,
외래,인천, M48 ,59이하,128,
외래,인천, M17 ,59이하,228,
외래,인천, M75 ,59이하,434,
외래,인천, M51 ,59이하,419,
외래,인천, I63 ,59이하,100,
외래,인천, H04 ,59이하,156,
외래,인천, K04 ,59이하,163,
외래,인천, M19 ,59이하,64,
외래,인천, B35 ,59이하,163,
외래,인천, G81 ,59이하,190,
외래,인천, L24 ,59이하,116,
외래,인천, K29 ,59이하,147,
외래,인천, H25 ,59이하,18,
입원(연인원),인천,M48,59이하,8,정형외과
입원(연인원),인천,N40,59이하,0,비뇨의학과
