상병코드,지역
A020,광주
A045,광주
A047,광주
A049,광주
A080,광주
A081,광주
A0830,광주
A0831,광주
A090,광주
A099,광주
A1501,광주
A1511,광주
A1531,광주
A1561,광주
A1620,광주
A1621,광주
A1651,광주
A1888,광주
A192,광주
A260,광주
A310,광주
A318,광주
A319,광주
A379,광주
A4150,광주
A4188,광주
A419,광주
A46,광주
A480,광주
A493,광주
A681,광주
A753,광주
A86,광주
A879,광주
A988,광주
B002,광주
B009,광주
B022,광주
B023,광주
B028,광주
B029,광주
B084,광주
B085,광주
B159,광주
B179,광주
B1810,광주
B182,광주
B199,광주
B269,광주
B340,광주
B341,광주
B342,광주
B349,광주
B3780,광주
B379,광주
B86,광주
B909,광주
B956,광주
B960,광주
C080,광주
C099,광주
C139,광주
C154,광주
C159,광주
C1629,광주
C1631,광주
C1690,광주
C1691,광주
C1699,광주
C180,광주
C182,광주
C184,광주
C186,광주
C187,광주
C189,광주
C19,광주
C20,광주
C210,광주
C220,광주
C221,광주
C229,광주
C23,광주
C240,광주
C241,광주
C250,광주
C251,광주
C252,광주
C253,광주
C257,광주
C258,광주
C259,광주
C300,광주
C310,광주
C321,광주
C3401,광주
C3410,광주
C3411,광주
C3419,광주
C3430,광주
C3439,광주
C3489,광주
C3490,광주
C3491,광주
C3499,광주
C37,광주
C381,광주
C419,광주
C437,광주
C439,광주
C459,광주
C488,광주
C499,광주
C5089,광주
C5090,광주
C5091,광주
C5099,광주
C530,광주
C539,광주
C541,광주
C561,광주
C569,광주
C61,광주
C640,광주
C641,광주
C649,광주
C650,광주
C669,광주
C674,광주
C679,광주
C696,광주
C710,광주
C713,광주
C718,광주
C719,광주
C73,광주
C749,광주
C753,광주
C779,광주
C7809,광주
C786,광주
C787,광주
C788,광주
C7950,광주
C7951,광주
C800,광주
C8338,광주
C839,광주
C859,광주
C865,광주
C880,광주
C900,광주
C911,광주
C9208,광주
C921,광주
C929,광주
C946,광주
D002,광주
D010,광주
D091,광주
D110,광주
D121,광주
D122,광주
D125,광주
D127,광주
D128,광주
D131,광주
D132,광주
D135,광주
D136,광주
D139,광주
D151,광주
D170,광주
D179,광주
D1802,광주
D1808,광주
D215,광주
D219,광주
D2490,광주
D2491,광주
D269,광주
D303,광주
D329,광주
D352,광주
D369,광주
D370,광주
D371,광주
D374,광주
D375,광주
D376,광주
D381,광주
D400,광주
D439,광주
D449,광주
D467,광주
D469,광주
D471,광주
D472,광주
D481,광주
D487,광주
D500,광주
D508,광주
D509,광주
D531,광주
D591,광주
D599,광주
D619,광주
D638,광주
D649,광주
D690,광주
D696,광주
D700,광주
D721,광주
D728,광주
D729,광주
D739,광주
D869,광주
D892,광주
E038,광주
E039,광주
E041,광주
E050,광주
E069,광주
E1008,광주
E1058,광주
E1063,광주
E1068,광주
E108,광주
E109,광주
E1100,광주
E1101,광주
E1102,광주
E1121,광주
E1128,광주
E1141,광주
E1158,광주
E118,광주
E119,광주
E139,광주
E1408,광주
E1458,광주
E148,광주
E149,광주
E15,광주
E1618,광주
E222,광주
E230,광주
E232,광주
E242,광주
E260,광주
E274,광주
E301,광주
E343,광주
E512,광주
E668,광주
E785,광주
E806,광주
E835,광주
E854,광주
E870,광주
E871,광주
E875,광주
E880,광주
F001,광주
F009,광주
F019,광주
F03,광주
F059,광주
F068,광주
F109,광주
F130,광주
F329,광주
F419,광주
F431,광주
G031,광주
G039,광주
G049,광주
G061,광주
G121,광주
G1221,광주
G20,광주
G214,광주
G218,광주
G219,광주
G22,광주
G245,광주
G250,광주
G251,광주
G253,광주
G301,광주
G3188,광주
G35,광주
G360,광주
G4010,광주
G4021,광주
G4030,광주
G4031,광주
G4090,광주
G419,광주
G430,광주
G431,광주
G439,광주
G441,광주
G442,광주
G450,광주
G458,광주
G459,광주
G463,광주
G470,광주
G500,광주
G509,광주
G510,광주
G513,광주
G530,광주
G542,광주
G544,광주
G560,광주
G568,광주
G569,광주
G570,광주
G573,광주
G580,광주
G587,광주
G5881,광주
G589,광주
G609,광주
G610,광주
G628,광주
G629,광주
G632,광주
G638,광주
G700,광주
G809,광주
G810,광주
G819,광주
G820,광주
G822,광주
G825,광주
G834,광주
G912,광주
G919,광주
G9380,광주
G9388,광주
G959,광주
H050,광주
H2510,광주
H2511,광주
H2519,광주
H2599,광주
H2640,광주
H492,광주
H512,광주
H532,광주
H6621,광주
H810,광주
H811,광주
H812,광주
H8130,광주
H8138,광주
H814,광주
H9120,광주
H9129,광주
I050,광주
I109,광주
I110,광주
I119,광주
I129,광주
I159,광주
I200,광주
I201,광주
I2080,광주
I2088,광주
I209,광주
I214,광주
I219,광주
I236,광주
I251,광주
I252,광주
I255,광주
I258,광주
I259,광주
I269,광주
I279,광주
I309,광주
I319,광주
I341,광주
I350,광주
I352,광주
I420,광주
I421,광주
I422,광주
I425,광주
I428,광주
I429,광주
I441,광주
I442,광주
I460,광주
I469,광주
I471,광주
I472,광주
I480,광주
I481,광주
I482,광주
I489,광주
I493,광주
I495,광주
I498,광주
I499,광주
I5004,광주
I5008,광주
I501,광주
I509,광주
I515,광주
I604,광주
I609,광주
I612,광주
I615,광주
I619,광주
I620,광주
I629,광주
I6319,광주
I6321,광주
I6329,광주
I6330,광주
I6332,광주
I6339,광주
I6340,광주
I6342,광주
I6349,광주
I6350,광주
I6352,광주
I6359,광주
I638,광주
I639,광주
I652,광주
I659,광주
I661,광주
I663,광주
I669,광주
I671,광주
I672,광주
I678,광주
I679,광주
I680,광주
I690,광주
I691,광주
I693,광주
I698,광주
I7022,광주
I7023,광주
I7024,광주
I7025,광주
I7029,광주
I70820,광주
I70830,광주
I70920,광주
I70991,광주
I714,광주
I719,광주
I723,광주
I731,광주
I7380,광주
I7381,광주
I739,광주
I744,광주
I749,광주
I771,광주
I788,광주
I802,광주
I803,광주
I839,광주
I8501,광주
I8591,광주
I861,광주
I880,광주
I890,광주
I950,광주
I951,광주
I952,광주
I959,광주
J00,광주
J0100,광주
J0190,광주
J0191,광주
J029,광주
J0390,광주
J0391,광주
J040,광주
J050,광주
J069,광주
J09,광주
J108,광주
J111,광주
J120,광주
J121,광주
J122,광주
J123,광주
J129,광주
J154,광주
J157,광주
J158,광주
J159,광주
J160,광주
J180,광주
J181,광주
J188,광주
J189,광주
J204,광주
J205,광주
J206,광주
J2088,광주
J209,광주
J210,광주
J2181,광주
J219,광주
J300,광주
J301,광주
J304,광주
J320,광주
J329,광주
J343,광주
J348,광주
J36,광주
J3848,광주
J398,광주
J40,광주
J42,광주
J439,광주
J4400,광주
J4409,광주
J4410,광주
J4412,광주
J4419,광주
J4481,광주
J4482,광주
J4490,광주
J4491,광주
J4492,광주
J4499,광주
J4501,광주
J4511,광주
J4519,광주
J459,광주
J47,광주
J64,광주
J698,광주
J700,광주
J80,광주
J81,광주
J8418,광주
J849,광주
J869,광주
J90,광주
J931,광주
J939,광주
J942,광주
J9601,광주
J9690,광주
J9810,광주
J9840,광주
J985,광주
K0509,광주
K0520,광주
K0532,광주
K1120,광주
K113,광주
K118,광주
K210,광주
K219,광주
K2210,광주
K2501,광주
K2531,광주
K2551,광주
K2591,광주
K260,광주
K264,광주
K269,광주
K274,광주
K279,광주
K291,광주
K296,광주
K297,광주
K298,광주
K30,광주
K317,광주
K3188,광주
K319,광주
K352,광주
K353,광주
K358,광주
K36,광주
K4020,광주
K4030,광주
K4090,광주
K4091,광주
K432,광주
K439,광주
K5000,광주
K5001,광주
K518,광주
K519,광주
K529,광주
K550,광주
K5520,광주
K559,광주
K560,광주
K561,광주
K562,광주
K564,광주
K565,광주
K566,광주
K567,광주
K5710,광주
K5730,광주
K5732,광주
K5792,광주
K580,광주
K5900,광주
K5909,광주
K591,광주
K599,광주
K601,광주
K603,광주
K610,광주
K621,광주
K623,광주
K624,광주
K625,광주
K627,광주
K629,광주
K631,광주
K633,광주
K6359,광주
K639,광주
K641,광주
K642,광주
K643,광주
K644,광주
K649,광주
K650,광주
K659,광주
K661,광주
K668,광주
K7010,광주
K7030,광주
K716,광주
K7290,광주
K7409,광주
K7420,광주
K7421,광주
K7462,광주
K7469,광주
K750,광주
K759,광주
K767,광주
K769,광주
K8000,광주
K8001,광주
K8010,광주
K8020,광주
K8030,광주
K8040,광주
K8050,광주
K8080,광주
K810,광주
K811,광주
K819,광주
K822,광주
K828,광주
K830,광주
K851,광주
K858,광주
K859,광주
K861,광주
K868,광주
K911,광주
K912,광주
K921,광주
K922,광주
L00,광주
L0109,광주
L0230,광주
L0240,광주
L0280,광주
L0290,광주
L0310,광주
L0311,광주
L039,광주
L040,광주
L059,광주
L089,광주
L209,광주
L309,광주
L500,광주
L5088,광주
L511,광주
L600,광주
L720,광주
L891,광주
L899,광주
L929,광주
L984,광주
M0091,광주
M0096,광주
M0099,광주
M1009,광주
M1099,광주
M1385,광주
M1386,광주
M1387,광주
M1389,광주
M167,광주
M169,광주
M170,광주
M179,광주
M1901,광주
M1929,광주
M1989,광주
M1996,광주
M1997,광주
M1999,광주
M2000,광주
M201,광주
M204,광주
M206,광주
M2199,광주
M2319,광주
M2329,광주
M2339,광주
M2421,광주
M2559,광주
M303,광주
M4029,광주
M4306,광주
M4316,광주
M4317,광주
M4319,광주
M4646,광주
M4659,광주
M4716,광주
M4796,광주
M4802,광주
M4806,광주
M4807,광주
M4809,광주
M4850,광주
M4854,광주
M4856,광주
M4859,광주
M4882,광주
M4889,광주
M501,광주
M502,광주
M509,광주
M511,광주
M512,광주
M5419,광주
M5422,광주
M5439,광주
M5447,광주
M5450,광주
M5456,광주
M5459,광주
M5465,광주
M6099,광주
M6265,광주
M6266,광주
M6269,광주
M6289,광주
M6299,광주
M6519,광주
M6539,광주
M654,광주
M6591,광주
M6595,광주
M6599,광주
M6739,광주
M6746,광주
M6747,광주
M6749,광주
M6791,광주
M704,광주
M707,광주
M7119,광주
M7155,광주
M7159,광주
M720,광주
M722,광주
M750,광주
M751,광주
M753,광주
M7689,광주
M771,광주
M79100,광주
M79108,광주
M79180,광주
M79190,광주
M7929,광주
M7999,광주
M8009,광주
M8029,광주
M8189,광주
M8199,광주
M8439,광주
M8445,광주
M8639,광주
M8697,광주
M8699,광주
M8795,광주
M8909,광주
M939,광주
M961,광주
M966,광주
M9973,광주
N019,광주
N049,광주
N059,광주
N083,광주
N088,광주
N10,광주
N12,광주
N132,광주
N1338,광주
N136,광주
N139,광주
N151,광주
N179,광주
N181,광주
N183,광주
N184,광주
N185,광주
N189,광주
N200,광주
N201,광주
N210,광주
N258,광주
N280,광주
N281,광주
N300,광주
N302,광주
N309,광주
N319,광주
N320,광주
N342,광주
N359,광주
N390,광주
N391,광주
N393,광주
N400,광주
N401,광주
N403,광주
N408,광주
N410,광주
N433,광주
N4500,광주
N4502,광주
N4590,광주
N481,광주
N499,광주
N62,광주
N719,광주
N739,광주
Q230,광주
Q273,광주
Q282,광주
Q613,광주
R001,광주
R002,광주
R02,광주
R042,광주
R05,광주
R060,광주
R074,광주
R1049,광주
R111,광주
R112,광주
R113,광주
R13,광주
R15,광주
R161,광주
R18,광주
R190,광주
R202,광주
R223,광주
R251,광주
R270,광주
R310,광주
R318,광주
R33,광주
R402,광주
R418,광주
R42,광주
R454,광주
R509,광주
R51,광주
R529,광주
R53,광주
R550,광주
R558,광주
R560,광주
R568,광주
R571,광주
R579,광주
R58,광주
R590,광주
R601,광주
R609,광주
R634,광주
R739,광주
R92,광주
R945,광주
S0089,광주
S010,광주
S0153,광주
S02620,광주
S02840,광주
S034,광주
S0600,광주
S0611,광주
S0621,광주
S0640,광주
S0650,광주
S0651,광주
S0661,광주
S0680,광주
S0681,광주
S1270,광주
S1290,광주
S134,광주
S141,광주
S146,광주
S2021,광주
S22060,광주
S22070,광주
S22090,광주
S2220,광주
S22320,광주
S22321,광주
S22330,광주
S22430,광주
S22450,광주
S22490,광주
S233,광주
S2340,광주
S246,광주
S301,광주
S311,광주
S32020,광주
S32030,광주
