상병코드,지역,연인원
 U07 ,서울,27848.0
 H25 ,서울,4916.0
 Z51 ,서울,8317.0
 M17 ,서울,10136.0
 C34 ,서울,8220.0
 M48 ,서울,5046.0
 I25 ,서울,3532.0
 I67 ,서울,1813.0
 C22 ,서울,2878.0
 I65 ,서울,1708.0
 Z04 ,서울,831.0
 I63 ,서울,4055.0
 M75 ,서울,3269.0
 K80 ,서울,2675.0
 C61 ,서울,3252.0
 C16 ,서울,3461.0
 I50 ,서울,3555.0
 N18 ,서울,5559.0
 K40 ,서울,614.0
 J18 ,서울,2474.0
 F20 ,서울,8253.0
 J15 ,서울,3692.0
 E11 ,서울,3562.0
 S72 ,서울,3541.0
 S06 ,서울,2672.0
 N40 ,서울,60388.0
 I10 ,서울,54469.0
 K05 ,서울,53947.0
 E11 ,서울,53443.0
 K08 ,서울,41924.0
 M48 ,서울,30964.0
 L30 ,서울,28265.0
 I20 ,서울,25532.0
 I63 ,서울,22710.0
 H25 ,서울,18689.0
 G81 ,서울,18343.0
 M51 ,서울,17593.0
 N18 ,서울,17273.0
 R42 ,서울,16954.0
 C61 ,서울,16780.0
 U07 ,서울,16243.0
 M17 ,서울,16028.0
 R52 ,서울,15517.0
 H35 ,서울,15475.0
K02,서울,14653.0
 H25 ,서울,3987.0
 U07 ,서울,8163.0
 Z51 ,서울,8214.0
 M17 ,서울,8724.0
 I25 ,서울,4089.0
 C34 ,서울,6350.0
 M48 ,서울,4981.0
 C61 ,서울,3985.0
 I65 ,서울,1784.0
 Z04 ,서울,873.0
 I63 ,서울,3012.0
 M75 ,서울,3036.0
 C22 ,서울,2688.0
 I67 ,서울,1120.0
 K80 ,서울,1815.0
 J18 ,서울,3010.0
 N18 ,서울,5094.0
 K40 ,서울,669.0
 I50 ,서울,5945.0
 C16 ,서울,2573.0
 F20 ,서울,8057.0
 G81 ,서울,5163.0
 J15 ,서울,3735.0
 S72 ,서울,3342.0
 E11 ,서울,3293.0
 T84 ,서울,2969.0
 S06 ,서울,2798.0
 N40 ,서울,57720.0
 E11 ,서울,55804.0
 K05 ,서울,49278.0
 I10 ,서울,47553.0
 K08 ,서울,40172.0
 L30 ,서울,27516.0
 I20 ,서울,26133.0
 M48 ,서울,24547.0
 I63 ,서울,22082.0
 N18 ,서울,20376.0
 M51 ,서울,19706.0
 H35 ,서울,17644.0
 Z11 ,서울,17337.0
 R42 ,서울,16810.0
 G81 ,서울,17313.0
 R52 ,서울,16023.0
 C61 ,서울,16056.0
 H42 ,서울,14462.0
 K02 ,서울,14323.0
K04,서울,14094.0
 H25 ,서울,4893.0
 Z51 ,서울,10290.0
 I25 ,서울,4803.0
 M17 ,서울,10614.0
 C34 ,서울,7619.0
 C61 ,서울,5286.0
 M48 ,서울,5351.0
 I63 ,서울,5294.0
 Z04 ,서울,1003.0
 J18 ,서울,3926.0
 K80 ,서울,2981.0
 I50 ,서울,5535.0
 M75 ,서울,3477.0
 I65 ,서울,1441.0
 E11 ,서울,4152.0
 K40 ,서울,793.0
 N18 ,서울,3431.0
 I20 ,서울,1146.0
 C22 ,서울,2134.0
 C16 ,서울,3423.0
 G81 ,서울,16944.0
 G82 ,서울,10571.0
 F20 ,서울,8577.0
 S72 ,서울,4372.0
 S06 ,서울,3714.0
 N17 ,서울,3498.0
 N40 ,서울,57608.0
 E11 ,서울,54235.0
 K05 ,서울,48156.0
 K08 ,서울,48154.0
 M51 ,서울,31729.0
 I20 ,서울,29410.0
 L30 ,서울,26145.0
 I63 ,서울,22266.0
