cost_bin,count,min_cost,max_cost,mean_cost,median_cost,unique_diseases,unique_depts
0,52,37132.0,143291.0,91713.81,94225.43,36,11
1,52,143682.0,342271.88,246286.1,253760.61,37,11
2,52,345166.0,562060.28,450967.27,449917.5,37,10
3,52,565913.0,777204.0,671300.07,673320.0,29,9
4,52,778061.0,1046953.0,880664.07,863143.5,27,10
5,52,1053060.0,1544904.0,1270951.43,1264312.5,27,8
6,52,1586334.0,2322591.0,1893103.63,1843345.5,17,6
7,52,2331293.0,458750772.0,113338471.93,3174346.0,24,10
8,52,463497893.0,974673417.0,725894227.35,748750268.0,36,8
9,52,976881874.0,4790358736.0,1889974634.33,1599847055.5,23,8
