cost_bin,count,min,max,mean,median,std
0,52,37132.0,143291.0,91713.81,94225.43,32076.02
1,52,143682.0,342271.88,246286.1,253760.61,60008.25
2,52,345166.0,562060.28,450967.27,449917.5,64782.81
3,52,565913.0,777204.0,671300.07,673320.0,58647.97
4,52,778061.0,1046953.0,880664.07,863143.5,80293.31
5,52,1053060.0,1544904.0,1270951.43,1264312.5,140652.53
6,52,1586334.0,2322591.0,1893103.63,1843345.5,204513.55
7,52,2331293.0,458750772.0,113338471.93,3174346.0,174489231.89
8,52,463497893.0,974673417.0,725894227.35,748750268.0,150061345.46
9,52,976881874.0,4790358736.0,1889974634.33,1599847055.5,858637349.74
