년도,지역,구분,순위,상병코드,상병명,실인원,연인원,59이하,60-64,65-69,70-79,80-89,90이상,진료비(천원)
2021,서울,입원(실인원),1.0, U07 , Emergency use of U07 ,2739,27848,1527,263,332,468,136,13,
2021,서울,입원(실인원),2.0, H25 ," Senile incipient cataract, ",1420,4916,19,29,99,1051,185,37,
2021,서울,입원(실인원),3.0, Z51 , therapeutic radiology ,694,8317,44,34,45,484,78,9,
2021,서울,입원(실인원),4.0, M17 ," Osteoarthritis of patellofemoral joint, both ",471,10136,16,27,51,318,56,3,
2021,서울,입원(실인원),5.0, C34 , lung cancer of hilus ,327,8220,6,2,13,254,40,12,
2021,서울,입원(실인원),6.0, M48 , spinal stenosis ,314,5046,13,13,22,235,24,7,
2021,서울,입원(실인원),7.0, I25 , Atherosclerotic cardiovascular disease ,305,3532,8,7,16,220,47,7,
2021,서울,입원(실인원),8.0, I67 , Dissection intracranial ,280,1813,20,19,49,180,12,0,
2021,서울,입원(실인원),9.0, C22 , Combined hepatocellular carcinoma and cholangiocarcinoma ,252,2878,7,12,11,186,35,1,
2021,서울,입원(실인원),10.0, I65 , Occlusion and stenosis of vertebral artery ,252,1708,1,3,8,222,16,2,
2021,서울,입원(실인원),11.0, Z04 , Examination and observation following work accident ,244,831,0,1,0,215,26,2,
2021,서울,입원(실인원),12.0, I63 , cerebral infarction due to thrombosis of precerebral arteries ,242,4055,9,7,5,134,58,29,
2021,서울,입원(실인원),13.0, M75 , periarthritis of shoulder ,231,3269,21,12,20,168,9,1,
2021,서울,입원(실인원),14.0, K80 , gallstone(impacted) of cystic duct ,224,2675,9,4,9,148,40,14,
2021,서울,입원(실인원),15.0, C61 , Acinar Prostate Adenocarcinoma ,220,3252,2,4,6,187,18,3,
2021,서울,입원(실인원),16.0, C16 , Malignant neoplasm of cardia of stomach ,181,3461,6,4,5,127,27,12,
2021,서울,입원(실인원),17.0, I50 , Right heart failure ,179,3555,3,1,1,73,78,23,
2021,서울,입원(실인원),18.0, N18 ," Chronic kidney disease, stage 1 ",177,5559,9,6,5,119,33,5,
2021,서울,입원(실인원),19.0, K40 ," Bilateral inguinal hernia, with obstruction, without gangrene ",171,614,4,2,3,123,30,9,
2021,서울,입원(실인원),20.0, J18 , bronchopneumonia ,153,2474,2,1,2,75,46,27,
2021,서울,입원(연인원),1.0, U07 , Emergency use of U07 ,2739,27848,13881,2907,3680,5521,1660,199,
2021,서울,입원(연인원),2.0, M17 ," Osteoarthritis of patellofemoral joint, both ",471,10136,413,558,1125,6693,1301,46,
2021,서울,입원(연인원),3.0, Z51 , therapeutic radiology ,694,8317,591,186,426,4467,2039,608,
2021,서울,입원(연인원),4.0, F20 , Paranoid schizophrenia ,79,8253,3608,1513,1395,1345,392,0,
2021,서울,입원(연인원),5.0, C34 , lung cancer of hilus ,327,8220,158,23,211,6370,1106,352,
2021,서울,입원(연인원),6.0, N18 ," Chronic kidney disease, stage 1 ",177,5559,122,89,128,3689,932,599,
2021,서울,입원(연인원),7.0, M48 , spinal stenosis ,314,5046,179,224,333,3729,476,105,
2021,서울,입원(연인원),8.0, H25 ," Senile incipient cataract, ",1420,4916,67,98,349,3628,642,132,
2021,서울,입원(연인원),9.0, I63 , cerebral infarction due to thrombosis of precerebral arteries ,242,4055,100,155,34,1817,1499,450,
2021,서울,입원(연인원),10.0, J15 , Pneumonia due to klebsiella pneumoniae ,87,3692,0,15,9,1700,1412,556,
2021,서울,입원(연인원),11.0, E11 , non-insulin-dependent diabetes mellitus with coma ,133,3562,278,183,116,1985,740,260,
2021,서울,입원(연인원),12.0, I50 , Right heart failure ,179,3555,22,13,11,1378,1731,400,
2021,서울,입원(연인원),13.0, S72 , femur neck fracture Garden type III ,108,3541,14,186,41,710,1712,878,
2021,서울,입원(연인원),14.0, I25 , Atherosclerotic cardiovascular disease ,305,3532,36,54,247,2444,660,91,
2021,서울,입원(연인원),15.0, C16 , Malignant neoplasm of cardia of stomach ,181,3461,66,47,53,2532,567,196,
2021,서울,입원(연인원),16.0, M75 , periarthritis of shoulder ,231,3269,328,149,277,2351,135,29,
2021,서울,입원(연인원),17.0, C61 , Acinar Prostate Adenocarcinoma ,220,3252,23,69,59,2718,194,189,
2021,서울,입원(연인원),18.0, C22 , Combined hepatocellular carcinoma and cholangiocarcinoma ,252,2878,57,103,108,2058,543,9,
2021,서울,입원(연인원),19.0, K80 , gallstone(impacted) of cystic duct ,224,2675,48,22,101,1842,496,166,
2021,서울,입원(연인원),20.0, S06 ," Cerebral concussion, without open intracranial wound ",81,2672,50,13,183,1731,453,242,
2021,서울,외래,1.0, N40 , benign prostate of hyperplasia(BPH) ,60388,60388,595,1319,2445,44207,8851,2971,
2021,서울,외래,2.0, I10 , essential hypertension ,54469,54469,2288,2355,4401,34447,8838,2140,
2021,서울,외래,3.0, K05 , Acute gingivitis ,53947,53947,4853,3260,5211,34906,4933,784,
2021,서울,외래,4.0, E11 , non-insulin-dependent diabetes mellitus with coma ,53443,53443,2832,2292,4141,35780,7091,1307,
2021,서울,외래,5.0, K08 , Other disorders of teeth and supporting  structures ,41924,41924,1474,1087,3225,30757,4476,905,
2021,서울,외래,6.0, M48 , spinal stenosis ,30964,30964,898,946,2287,20767,4926,1140,
2021,서울,외래,7.0, L30 , Nummular dermatitis ,28265,28265,1569,921,1497,20829,2840,609,
2021,서울,외래,8.0, I20 , Angina pectoris ,25532,25532,355,530,1126,18836,3784,901,
2021,서울,외래,9.0, I63 , cerebral infarction due to thrombosis of precerebral arteries ,22710,22710,284,534,962,14843,4500,1587,
2021,서울,외래,10.0, H25 ," Senile incipient cataract, ",18689,18689,425,627,1292,13158,2673,514,
2021,서울,외래,11.0, G81 , flaccid hemiplegia ,18343,18343,2350,605,1341,12041,1481,525,
2021,서울,외래,12.0, M51 , Lumbar and other intervertebral disc disorders with myelopathy ,17593,17593,1354,437,940,12351,2167,344,
2021,서울,외래,13.0, N18 ," Chronic kidney disease, stage 1 ",17273,17273,1129,734,758,10283,3225,1144,
2021,서울,외래,14.0, R42 , psychophysiologic dizziness ,16954,16954,594,490,1155,10572,3249,894,
2021,서울,외래,15.0, C61 , Acinar Prostate Adenocarcinoma ,16780,16780,9,176,302,13458,2395,440,
2021,서울,외래,16.0, U07 , Emergency use of U07 ,16243,16243,10370,1117,1330,2916,437,73,
2021,서울,외래,17.0, M17 ," Osteoarthritis of patellofemoral joint, both ",16028,16028,661,680,1567,10324,2348,448,
2021,서울,외래,18.0, R52 , acute pain ,15517,15517,2200,968,1166,9105,1525,553,
2021,서울,외래,19.0, H35 , radiation retinopathy ,15475,15475,181,248,697,10920,2751,678,
2021,서울,외래,20.0,K02,Caries limited to enamel,14653,14653,1979,719,1106,9262,1394,193,
2022,서울,입원(실인원),1.0, H25 ," Senile incipient cataract, ",1182,3987,14,33,51,877,178,29,
2022,서울,입원(실인원),2.0, U07 , Emergency use of U07 ,897,8163,418,74,82,210,87,26,
2022,서울,입원(실인원),3.0, Z51 , therapeutic radiology ,636,8214,47,51,23,381,100,34,
2022,서울,입원(실인원),4.0, M17 ," Osteoarthritis of patellofemoral joint, both ",426,8724,12,18,48,284,59,5,
2022,서울,입원(실인원),5.0, I25 , Atherosclerotic cardiovascular disease ,421,4089,8,9,21,318,49,16,
2022,서울,입원(실인원),6.0, C34 , lung cancer of hilus ,336,6350,2,2,14,253,47,18,
2022,서울,입원(실인원),7.0, M48 , spinal stenosis ,321,4981,10,9,18,232,41,11,
2022,서울,입원(실인원),8.0, C61 , Acinar Prostate Adenocarcinoma ,296,3985,3,2,11,261,13,6,
2022,서울,입원(실인원),9.0, I65 , Occlusion and stenosis of vertebral artery ,289,1784,2,0,7,246,32,2,
2022,서울,입원(실인원),10.0, Z04 , Examination and observation following work accident ,280,873,0,0,0,251,28,1,
2022,서울,입원(실인원),11.0, I63 , cerebral infarction due to thrombosis of precerebral arteries ,234,3012,3,4,9,129,59,30,
2022,서울,입원(실인원),12.0, M75 , periarthritis of shoulder ,233,3036,16,9,26,170,11,1,
2022,서울,입원(실인원),13.0, C22 , Ruptured hepatocellular carcinoma ,223,2688,7,9,13,163,21,10,
2022,서울,입원(실인원),14.0, I67 , Dissection intracranial ,214,1120,17,13,28,137,19,0,
2022,서울,입원(실인원),15.0, K80 , gallstone(impacted) of cystic duct ,214,1815,13,11,15,127,34,14,
2022,서울,입원(실인원),16.0, J18 , bronchopneumonia ,209,3010,7,1,3,107,49,42,
2022,서울,입원(실인원),17.0, N18 ," Chronic kidney disease, stage 1 ",204,5094,11,9,5,128,43,8,
2022,서울,입원(실인원),18.0, K40 ," Bilateral inguinal hernia, with obstruction, without gangrene ",200,669,1,4,6,147,34,8,
2022,서울,입원(실인원),19.0, I50 , Right heart failure ,187,5945,3,1,0,76,62,45,
2022,서울,입원(실인원),20.0, C16 , Malignant neoplasm of cardia of stomach ,184,2573,4,2,7,130,32,9,
2022,서울,입원(연인원),1.0, M17 ," Osteoarthritis of patellofemoral joint, both ",426,8724,251,355,973,5793,1248,104,
2022,서울,입원(연인원),2.0, Z51 , therapeutic radiology ,636,8214,850,464,524,3706,1749,921,
2022,서울,입원(연인원),3.0, U07 , Emergency use of U07 ,897,8163,3098,653,681,2471,1004,256,
2022,서울,입원(연인원),4.0, F20 , Paranoid schizophrenia ,85,8057,4132,882,1070,1622,351,0,
2022,서울,입원(연인원),5.0, C34 , lung cancer of hilus ,336,6350,34,6,258,4811,947,294,
2022,서울,입원(연인원),6.0, I50 , Right heart failure ,187,5945,58,8,0,3677,1166,1036,
2022,서울,입원(연인원),7.0, G81 , flaccid hemiplegia ,73,5163,30,216,0,3734,924,259,
2022,서울,입원(연인원),8.0, N18 ," Chronic kidney disease, stage 1 ",204,5094,240,105,185,3945,546,73,
2022,서울,입원(연인원),9.0, M48 , spinal stenosis ,321,4981,104,140,233,3321,570,613,
2022,서울,입원(연인원),10.0, I25 , Atherosclerotic cardiovascular disease ,421,4089,109,85,151,2914,644,186,
2022,서울,입원(연인원),11.0, H25 ," Senile incipient cataract, ",1182,3987,41,110,175,2964,599,98,
2022,서울,입원(연인원),12.0, C61 , Acinar Prostate Adenocarcinoma ,296,3985,21,21,164,3482,207,90,
2022,서울,입원(연인원),13.0, J15 , Pneumonia due to klebsiella pneumoniae ,76,3735,1758,0,95,805,690,387,
2022,서울,입원(연인원),14.0, S72 , femur neck fracture Garden type III ,123,3342,123,74,26,1119,1541,459,
2022,서울,입원(연인원),15.0, E11 , non0insulin0dependent diabetes mellitus with coma ,174,3293,266,160,62,2144,557,104,
2022,서울,입원(연인원),16.0, M75 , periarthritis of shoulder ,233,3036,149,73,401,2210,173,30,
2022,서울,입원(연인원),17.0, I63 , cerebral infarction due to thrombosis of precerebral arteries ,234,3012,12,25,82,1678,739,476,
2022,서울,입원(연인원),18.0, J18 , bronchopneumonia ,209,3010,90,15,71,1491,863,480,
2022,서울,입원(연인원),19.0, T84 , THR aseptic loosening ,78,2969,199,24,50,2320,330,46,
2022,서울,입원(연인원),20.0, S06 ," Cerebral concussion, without open intracranial wound ",83,2798,8,2,7,1674,543,564,
2022,서울,외래,1.0, N40 , benign prostate of hyperplasia(BPH) ,57720,57720,526,1134,2303,41658,8712,3387,
2022,서울,외래,2.0, E11 , non0insulin0dependent diabetes mellitus with coma ,55804,55804,2800,2221,3919,37582,7746,1536,
2022,서울,외래,3.0, K05 , Acute gingivitis ,49278,49278,3960,2783,4380,32118,5170,867,
2022,서울,외래,4.0, I10 , essential hypertension ,47553,47553,1881,1770,3550,30258,7837,2257,
2022,서울,외래,5.0, K08 , Other disorders of teeth and supporting  structures ,40172,40172,1930,1209,2900,28028,5049,1056,
2022,서울,외래,6.0, L30 , Nummular dermatitis ,27516,27516,1422,708,1137,20276,3172,801,
2022,서울,외래,7.0, I20 , Angina pectoris ,26133,26133,352,459,1023,18880,4227,1192,
2022,서울,외래,8.0, M48 , spinal stenosis ,24547,24547,603,537,1489,16480,4291,1147,
2022,서울,외래,9.0, I63 , cerebral infarction due to thrombosis of precerebral arteries ,22082,22082,290,342,962,14515,4265,1708,
2022,서울,외래,10.0, N18 ," Chronic kidney disease, stage 1 ",20376,20376,1023,557,946,12364,4059,1427,
2022,서울,외래,11.0, M51 , Lumbar and other intervertebral disc disorders with myelopathy ,19706,19706,1452,403,996,13045,3429,381,
2022,서울,외래,12.0, H35 , radiation retinopathy ,17644,17644,192,269,659,12405,3078,1041,
2022,서울,외래,13.0, Z11 , Special screening examination for Coronavirus disease 2019[COVID019] ,17337,17337,6680,1496,1996,6115,925,125,
2022,서울,외래,14.0, R42 , psychophysiologic dizziness ,16810,16810,657,515,1122,10448,3136,932,
2022,서울,외래,15.0, G81 , flaccid hemiplegia ,17313,17313,2324,668,1455,10994,1558,314,
2022,서울,외래,16.0, R52 , acute pain ,16023,16023,2668,1055,1058,9163,1480,599,
2022,서울,외래,17.0, C61 , Acinar Prostate Adenocarcinoma ,16056,16056,19,71,277,12188,2815,686,
2022,서울,외래,18.0, H42 ," Glaucoma in endocrine, nutritional and metabolic diseases ",14462,14462,366,372,767,9809,2523,625,
2022,서울,외래,19.0, K02 , Caries limited to enamel ,14323,14323,1871,515,1109,8916,1662,250,
2022,서울,외래,20.0,K04,suppurative pulpitis,14094,14094,1084,557,911,9913,1431,198,
2023,서울,입원(실인원),1.0, H25 ," Senile incipient cataract, ",1356,4893,15,44,62,920,282,33,
2023,서울,입원(실인원),2.0, Z51 , therapeutic radiology ,864,10290,34,38,79,512,142,59,
2023,서울,입원(실인원),3.0, I25 , Atherosclerotic cardiovascular disease ,534,4803,18,10,20,381,92,13,
2023,서울,입원(실인원),4.0, M17 ," Osteoarthritis of patellofemoral joint, both ",452,10614,15,10,35,316,74,2,
2023,서울,입원(실인원),5.0, C34 , lung cancer of hilus ,437,7619,11,5,12,319,68,22,
2023,서울,입원(실인원),6.0, C61 , Acinar Prostate Adenocarcinoma ,393,5286,1,4,12,324,37,15,
2023,서울,입원(실인원),7.0, M48 , spinal stenosis ,388,5351,8,9,19,267,75,10,
2023,서울,입원(실인원),8.0, I63 , cerebral infarction due to thrombosis of precerebral arteries ,328,5294,9,14,12,193,67,33,
2023,서울,입원(실인원),9.0, Z04 , Examination and observation following work accident ,326,1003,,,,259,66,1,
2023,서울,입원(실인원),10.0, J18 , bronchopneumonia ,303,3926,4,2,6,135,80,76,
2023,서울,입원(실인원),11.0, K80 , gallstone(impacted) of cystic duct ,296,2981,12,11,15,163,68,27,
2023,서울,입원(실인원),12.0, I50 , Right heart failure ,277,5535,4,3,5,115,92,58,
2023,서울,입원(실인원),13.0, M75 , periarthritis of shoulder ,254,3477,14,12,14,200,14,,
2023,서울,입원(실인원),14.0, I65 , Occlusion and stenosis of vertebral artery ,233,1441,1,1,4,183,42,2,
2023,서울,입원(실인원),15.0, E11 , non-insulin-dependent diabetes mellitus with coma ,226,4152,12,5,3,158,34,14,
2023,서울,입원(실인원),16.0, K40 ," Bilateral inguinal hernia, with obstruction, without gangrene ",225,793,4,4,6,149,50,12,
2023,서울,입원(실인원),17.0, N18 ," Chronic kidney disease, stage 1 ",203,3431,13,7,3,122,43,15,
