년도,지역,구분,코드,상병명,59세 이하,60-64세,65-69세,70-79세,80-89세,90세 이상,연령별_합계
2021,광주,입원(실인원),"I10~I13, I15",고혈압,7,1,3,26,10,3,50
2021,광주,입원(실인원),E10~E14,당뇨병,16,6,5,83,10,0,120
2021,광주,입원(실인원),"F00~F99, G40~G41",정신 및 행동장애,1,0,0,21,21,6,49
2021,광주,입원(실인원),"A15, A16, A19",호흡기결핵,2,0,1,11,4,3,21
2021,광주,입원(실인원),"I05~I09, I20~I27, I30~I52",심장질환,42,17,41,403,81,32,616
2021,광주,입원(실인원),I60~I69,대뇌혈관질환,17,10,27,240,69,16,379
2021,광주,입원(실인원),"G00~G37, G43~G83",신경계질환,74,19,18,122,26,2,261
2021,광주,입원(실인원),"C00~C97, D00~D09",악성신생물,48,54,67,590,165,34,958
2021,광주,입원(실인원),E00~E07,갑상선의 장애,1,0,0,2,1,0,4
2021,광주,입원(실인원),"B18, B19, K70~K77",간의 질환,5,0,14,40,3,2,64
2021,광주,입원(실인원),N18,만성신부전증,3,0,2,44,24,4,77
2021,광주,입원(연인원),"I10~I13, I15",고혈압,27,3,42,219,164,56,511
2021,광주,입원(연인원),E10~E14,당뇨병,303,93,26,1828,145,0,2395
2021,광주,입원(연인원),"F00~F99, G40~G41",정신 및 행동장애,3,0,0,442,238,112,795
2021,광주,입원(연인원),"A15, A16, A19",호흡기결핵,20,0,7,166,108,42,343
2021,광주,입원(연인원),"I05~I09, I20~I27, I30~I52",심장질환,281,51,280,3486,1274,357,5729
2021,광주,입원(연인원),I60~I69,대뇌혈관질환,809,521,1178,10391,1974,374,15247
2021,광주,입원(연인원),"G00~G37, G43~G83",신경계질환,2050,417,440,3822,672,36,7437
2021,광주,입원(연인원),"C00~C97, D00~D09",악성신생물,934,1096,1445,11278,4469,1081,20303
2021,광주,입원(연인원),E00~E07,갑상선의 장애,3,0,0,52,18,0,73
2021,광주,입원(연인원),"B18, B19, K70~K77",간의 질환,98,0,194,749,101,64,1206
2021,광주,입원(연인원),N18,만성신부전증,46,0,241,2071,1906,66,4330
2021,광주,외래,"I10~I13, I15",고혈압,1912,1350,2149,12797,2499,628,21335
2021,광주,외래,E10~E14,당뇨병,1747,1273,1773,13888,1846,270,20797
2021,광주,외래,"F00~F99, G40~G41",정신 및 행동장애,3285,1184,1434,10178,4735,1205,22021
2021,광주,외래,"A15, A16, A19",호흡기결핵,24,12,9,107,34,30,216
2021,광주,외래,"I05~I09, I20~I27, I30~I52",심장질환,1685,1256,1975,17022,3090,655,25683
2021,광주,외래,I60~I69,대뇌혈관질환,1645,640,1121,8358,1924,431,14119
2021,광주,외래,"G00~G37, G43~G83",신경계질환,1734,1098,1655,7421,1591,183,13682
2021,광주,외래,"C00~C97, D00~D09",악성신생물,612,490,671,9360,1860,331,13324
2021,광주,외래,E00~E07,갑상선의 장애,565,178,358,1178,230,35,2544
2021,광주,외래,"B18, B19, K70~K77",간의 질환,1015,392,391,2252,207,50,4307
2021,광주,외래,N18,만성신부전증,662,86,117,2352,800,212,4229
2021,서울,입원(실인원),"I10~I13, I15",고혈압,0,0,0,4,0,0,4
2021,서울,입원(실인원),E10~E14,당뇨병,19,8,4,93,15,8,147
2021,서울,입원(실인원),"F00~F99, G40~G41",정신 및 행동장애,77,27,13,62,4,1,184
2021,서울,입원(실인원),"A15, A16, A19",호흡기결핵,0,0,0,8,4,1,13
2021,서울,입원(실인원),"I05~I09, I20~I27, I30~I52",심장질환,27,24,46,650,200,62,1009
2021,서울,입원(실인원),I60~I69,대뇌혈관질환,40,32,79,569,88,28,836
2021,서울,입원(실인원),"G00~G37, G43~G83",신경계질환,15,7,14,113,21,3,173
2021,서울,입원(실인원),"C00~C97, D00~D09",악성신생물,74,47,98,1356,274,56,1905
2021,서울,입원(실인원),E00~E07,갑상선의 장애,0,0,0,8,1,0,9
2021,서울,입원(실인원),"B18, B19, K70~K77",간의 질환,10,8,10,55,8,3,94
2021,서울,입원(실인원),N18,만성신부전증,9,6,5,121,34,2,177
2021,서울,입원(연인원),"I10~I13, I15",고혈압,0,0,0,27,0,0,27
2021,서울,입원(연인원),E10~E14,당뇨병,293,232,86,2283,581,429,3904
2021,서울,입원(연인원),"F00~F99, G40~G41",정신 및 행동장애,5763,2432,1103,4179,152,7,13636
2021,서울,입원(연인원),"A15, A16, A19",호흡기결핵,0,0,0,126,24,57,207
2021,서울,입원(연인원),"I05~I09, I20~I27, I30~I52",심장질환,158,135,458,7087,4246,853,12937
2021,서울,입원(연인원),I60~I69,대뇌혈관질환,229,550,485,4748,1889,399,8300
2021,서울,입원(연인원),"G00~G37, G43~G83",신경계질환,227,197,761,1878,456,77,3596
