Model,Type,Accuracy,F1_Score,CV_Accuracy,CV_Std
Random Forest,상병코드 기반,0.6923,0.6577,0.6192,0.0939
XGBoost,상병코드 기반,0.7019,0.6591,0.5885,0.0964
LightGBM,상병코드 기반,0.6923,0.6521,0.5885,0.1043
Neural Network,상병코드 기반,0.5962,0.5707,0.5365,0.1288
Logistic Regression,상병코드 기반,0.6731,0.619,0.5692,0.0591
Random Forest,진료과 기반,0.6731,0.6327,0.6288,0.0835
XGBoost,진료과 기반,0.6731,0.6227,0.5865,0.11
LightGBM,진료과 기반,0.6731,0.6296,0.5808,0.0951
Neural Network,진료과 기반,0.6058,0.5753,0.3788,0.1574
Logistic Regression,진료과 기반,0.6731,0.613,0.5788,0.0496
