,0대,10대,20대,30대,40대,50대,60대,70대,80대,90대,100대
강원특별자치도,0,1,349,1608,1838,4573,8039,15561,6862,2866,47
경기도,2,8,1881,8940,10897,18778,36237,80445,38216,16028,230
경상남도,0,2,599,2158,2580,5166,10776,26097,10213,3870,31
경상북도,0,3,410,1395,1871,3524,8371,24830,10184,4842,40
광주광역시,0,1,244,951,1338,1983,4429,10934,4250,1214,17
대구광역시,0,1,318,1352,1780,3072,6945,20812,8544,3197,20
대전광역시,0,3,280,1035,1299,2541,4557,10720,4391,1561,11
부산광역시,2,3,384,1517,2235,3506,8039,32185,12964,4196,45
서울특별시,1,6,986,4354,5226,9340,21679,62966,29820,12127,188
세종특별자치시,0,0,43,399,692,1099,1466,1986,637,265,2
울산광역시,0,1,132,506,687,1053,2303,7768,2576,860,4
인천광역시,0,6,463,2061,2509,3155,6617,17865,8228,3480,39
전라남도,0,3,230,915,1314,2280,5007,17629,6690,2863,30
전북특별자치도,0,2,240,915,1306,2221,4044,15018,6118,2659,24
제주특별자치도,0,0,79,347,446,834,2110,4873,2090,1594,40
주소불명,0,1,1,2,1,3,10,41,24,10,6
충청남도,0,0,242,1248,1548,3188,5768,15034,5705,3085,33
충청북도,1,3,223,993,1078,2485,5043,11686,4231,2204,23
해당없음,0,1,2,2,2,9,9,17,12,8,9
해외,0,0,1,3,16,55,181,1437,812,917,132
