주상병코드,입원외래구분,환자수,보험자부담금(선별포함),요양급여비용총액(선별포함),평균보험자부담금,평균요양급여비용총액
A00,외래,70.0,1900810.0,2877750.0,27154.428571428572,41110.71428571428
A00,입원,4.0,4294720.0,5315140.0,1073680.0,1328785.0
A01,외래,92.0,3159930.0,5833690.0,34347.065217391304,63409.67391304348
A01,입원,50.0,152058750.0,186229070.0,3041175.0,3724581.4
A02,외래,4161.0,137573400.0,232552360.0,33062.58111031002,55888.57486181206
A02,입원,3442.0,6145376960.0,7549265760.0,1785408.7623474724,2193278.8378849505
A03,외래,61.0,2374670.0,4192870.0,38929.016393442624,68735.5737704918
A03,입원,59.0,112985580.0,139622990.0,1915009.8305084745,2366491.3559322036
A04,외래,540829.0,13979326110.0,20211772800.0,25847.959539891537,37371.83619961208
A04,입원,26218.0,51452351700.0,64219480560.0,1962481.9475169731,2449442.389198261
A05,외래,18653.0,386080980.0,539426100.0,20698.063582265586,28918.999624725246
A05,입원,601.0,888697780.0,1165899890.0,1478698.46921797,1939933.261231281
A06,외래,3535.0,134130150.0,189968010.0,37943.46534653466,53739.18246110325
A06,입원,56.0,103325800.0,134839890.0,1845103.5714285714,2407855.1785714286
A07,외래,793.0,17269430.0,25502550.0,21777.33921815889,32159.58385876419
A07,입원,5.0,12911540.0,17231780.0,2582308.0,3446356.0
A08,외래,332640.0,7580312550.0,10693141870.0,22788.33739177489,32146.289892977395
A08,입원,22473.0,21073252940.0,24018422850.0,937714.2766875806,1068767.9815778935
A09,외래,4258016.0,144315368160.0,218765000000.0,33892.63172331903,51377.21417674335
A09,입원,238437.0,197682697670.0,255012000000.0,829077.2726967711,1069515.2178562891
A15,외래,14117.0,10469552870.0,10790218940.0,741627.3195438124,764342.2072678331
A15,입원,4999.0,43981924900.0,45971076530.0,8798144.608921785,9196054.51690338
A16,외래,14075.0,9072398200.0,9417724060.0,644575.3605683837,669110.0575488454
A16,입원,4145.0,27740241500.0,29170675980.0,6692458.745476478,7037557.53437877
A17,외래,363.0,120580760.0,154699010.0,332178.40220385673,426168.07162534434
A17,입원,203.0,3624146320.0,4049803940.0,17852937.536945812,19949773.103448275
A18,외래,4324.0,1976923530.0,2232376300.0,457197.85615171137,516275.74005550414
A18,입원,877.0,7056783350.0,7727753150.0,8046503.249714937,8811577.137970354
A19,외래,301.0,227457510.0,239270330.0,755672.7906976744,794918.0398671096
A19,입원,214.0,2922995010.0,3074137050.0,13658855.186915888,14365126.40186916
A20,외래,10.0,177300.0,237130.0,17730.0,23713.0
A20,입원,1.0,2189260.0,2736370.0,2189260.0,2736370.0
A21,외래,5.0,61970.0,88470.0,12394.0,17694.0
A22,외래,17.0,683630.0,1096140.0,40213.529411764706,64478.82352941176
A23,외래,9.0,404560.0,1070460.0,44951.11111111111,118940.0
A23,입원,2.0,9363670.0,12637590.0,4681835.0,6318795.0
A24,외래,21.0,1161610.0,2553790.0,55314.76190476191,121609.04761904762
A24,입원,4.0,24378500.0,32582870.0,6094625.0,8145717.5
A25,외래,20.0,934300.0,1439990.0,46715.0,71999.5
A26,외래,268.0,10115950.0,15846600.0,37746.08208955224,59129.10447761194
A26,입원,2.0,2656630.0,3479690.0,1328315.0,1739845.0
A27,외래,27.0,1767800.0,3081530.0,65474.07407407407,114130.74074074074
A27,입원,11.0,33678850.0,44833400.0,3061713.6363636362,4075763.6363636362
A28,외래,275.0,10436340.0,18126790.0,37950.32727272727,65915.6
A28,입원,5.0,20332770.0,25577970.0,4066554.0,5115594.0
A30,외래,115.0,4253560.0,6447640.0,36987.47826086957,56066.434782608696
A30,입원,7.0,19529950.0,27124930.0,2789992.8571428573,3874990.0
A31,외래,32132.0,5121082430.0,11768900250.0,159376.39829453503,366267.2802813395
A31,입원,1998.0,10904158700.0,14064830810.0,5457536.886886887,7039454.85985986
A32,외래,28.0,2391160.0,4856260.0,85398.57142857143,173437.85714285713
A32,입원,28.0,487811130.0,595923590.0,17421826.07142857,21282985.35714286
A33,외래,1.0,27050.0,31350.0,27050.0,31350.0
A35,외래,441.0,14778700.0,22685300.0,33511.791383219956,51440.589569161
A35,입원,26.0,495041210.0,639518030.0,19040046.53846154,24596847.307692308
A36,외래,13.0,554710.0,1045410.0,42670.0,80416.15384615384
A36,입원,2.0,1305230.0,1909030.0,652615.0,954515.0
A37,외래,282.0,8715870.0,12830760.0,30907.340425531915,45499.14893617021
A37,입원,201.0,239725730.0,271034890.0,1192665.3233830845,1348432.288557214
A38,외래,637.0,20149320.0,30658000.0,31631.585557299844,48128.7284144427
A38,입원,69.0,65323710.0,71898360.0,946720.4347826086,1042005.2173913043
A39,외래,11.0,592530.0,1002630.0,53866.36363636364,91148.18181818182
A39,입원,6.0,38489170.0,46913210.0,6414861.666666667,7818868.333333333
A40,외래,144.0,10987380.0,19188300.0,76301.25,133252.08333333334
A40,입원,215.0,1794625060.0,2188815570.0,8347093.302325581,10180537.53488372
A41,외래,8166.0,796843790.0,1303129380.0,97580.67474895909,159579.88978692138
A41,입원,55805.0,266648000000.0,329104000000.0,4778209.837828152,5897392.706746708
A42,외래,746.0,78885650.0,169952460.0,105744.83914209115,227818.3109919571
A42,입원,117.0,610627570.0,794807910.0,5219039.05982906,6793230.0
A43,외래,34.0,3843020.0,8427490.0,113030.0,247867.35294117648
A43,입원,13.0,154510640.0,196466250.0,11885433.846153846,15112788.461538462
A44,외래,22.0,660090.0,1617210.0,30004.090909090908,73509.54545454546
A44,입원,2.0,5171790.0,7165540.0,2585895.0,3582770.0
A46,외래,2332.0,89060400.0,159876710.0,38190.56603773585,68557.76586620926
A46,입원,208.0,261424460.0,347026470.0,1256848.3653846155,1668396.4903846155
A48,외래,20157.0,975242680.0,1405850330.0,48382.33268839609,69745.01810785335
A48,입원,217.0,1180197370.0,1489269490.0,5438697.557603687,6862993.041474654
