주상병코드,환자수,보험자부담금(선별포함),요양급여비용총액(선별포함),평균보험자부담금,평균요양급여비용총액
A00,74.0,6195530.0,8192890.0,83723.37837837837,110714.72972972973
A01,142.0,155218680.0,192062760.0,1093089.295774648,1352554.647887324
A02,7603.0,6282950360.0,7781818120.0,826377.7929764567,1023519.4160199921
A03,120.0,115360250.0,143815860.0,961335.4166666666,1198465.5
A04,567047.0,65431677810.0,84431253360.0,115390.2195232494,148896.39370281476
A05,19254.0,1274778760.0,1705325990.0,66208.5156331152,88569.95896956476
A06,3591.0,237455950.0,324807900.0,66125.29935950988,90450.54302422724
A07,798.0,30180970.0,42734330.0,37820.76441102757,53551.79197994988
A08,355113.0,28653565490.0,34711564720.0,80688.58501378435,97747.94141583101
A09,4496453.0,341998065830.0,473777000000.0,76059.52198988847,105366.83025486978
A15,19116.0,54451477770.0,56761295470.0,2848476.5521029504,2969308.1957522496
A16,18220.0,36812639700.0,38588400040.0,2020452.233809001,2117914.3819978046
A17,566.0,3744727080.0,4204502950.0,6616125.583038869,7428450.441696113
A18,5201.0,9033706880.0,9960129450.0,1736917.300519131,1915041.2324552971
A19,515.0,3150452520.0,3313407380.0,6117383.533980583,6433800.737864078
A20,11.0,2366560.0,2973500.0,215141.81818181818,270318.1818181818
A21,5.0,61970.0,88470.0,12394.0,17694.0
A22,17.0,683630.0,1096140.0,40213.529411764706,64478.82352941176
A23,11.0,9768230.0,13708050.0,888020.9090909091,1246186.3636363635
A24,25.0,25540110.0,35136660.0,1021604.4,1405466.4
A25,20.0,934300.0,1439990.0,46715.0,71999.5
A26,270.0,12772580.0,19326290.0,47305.851851851854,71578.85185185185
A27,38.0,35446650.0,47914930.0,932806.5789473684,1260919.2105263157
A28,280.0,30769110.0,43704760.0,109889.67857142857,156088.42857142858
A30,122.0,23783510.0,33572570.0,194946.80327868852,275185.0
A31,34130.0,16025241130.0,25833731060.0,469535.3392909464,756921.5077644301
A32,56.0,490202290.0,600779850.0,8753612.32142857,10728211.607142856
A33,1.0,27050.0,31350.0,27050.0,31350.0
A35,467.0,509819910.0,662203330.0,1091691.4561027838,1417994.2826552463
A36,15.0,1859940.0,2954440.0,123996.0,196962.66666666666
A37,483.0,248441600.0,283865650.0,514371.8426501035,587713.5610766045
A38,706.0,85473030.0,102556360.0,121066.61473087818,145263.96600566572
A39,17.0,39081700.0,47915840.0,2298923.529411765,2818578.8235294116
A40,359.0,1805612440.0,2208003870.0,5029561.114206128,6150428.60724234
A41,63971.0,267444843790.0,330407129380.0,4180720.073001829,5164951.765331166
A42,863.0,689513220.0,964760370.0,798972.4449594438,1117914.6813441482
A43,47.0,158353660.0,204893740.0,3369226.8085106383,4359441.276595744
A44,24.0,5831880.0,8782750.0,242995.0,365947.9166666667
A46,2540.0,350484860.0,506903180.0,137986.1653543307,199568.1811023622
A48,20374.0,2155440050.0,2895119820.0,105793.66103857858,142098.7444782566
A49,116329.0,21788660160.0,28358989130.0,187302.04987578333,243782.6262582847
A50,166.0,166001730.0,174074630.0,1000010.421686747,1048642.3493975904
A51,5329.0,622726540.0,970976630.0,116856.17188966036,182206.16063051228
A52,2069.0,507989860.0,711155270.0,245524.34026099564,343719.3185113582
A53,11259.0,784144590.0,1381310280.0,69646.02451372235,122684.98800959233
A54,8036.0,668579850.0,965970770.0,83198.08984569437,120205.4218516675
A55,110.0,9378990.0,15042790.0,85263.54545454546,136752.63636363635
A56,29335.0,1539765690.0,2247023630.0,52489.02982785069,76598.72609510823
A57,138.0,9371860.0,14268720.0,67912.02898550725,103396.52173913043
A58,103.0,11781530.0,18280250.0,114383.786407767,177478.15533980582
A59,63143.0,3391923060.0,5001170170.0,53718.11697258604,79203.87327177993
A60,141386.0,6473184100.0,9198976410.0,45783.769963079794,65062.852121143536
