상명코드,최다진료과
A04,치과
A08,내과
A09,내과
A15,내과
A16,내과
A18,내과
A31,내과
A41,내과
A42,내과
A48,내과
A49,내과
A52,내과
A53,내과
A60,산부인과
A63,산부인과
A64,내과
A75,응급의학과
A77,내과
B00,피부과
B01,소아청소년과
B02,피부과
B07,피부과
B08,소아청소년과
B17,응급의학과
B18,내과
B24,내과
B30,안과
B34,내과
B35,피부과
B36,피부과
B37,산부인과
B41,한의과
B49,일반검진
B66,내과
B86,피부과
B89,내과
B90,내과
B97,산부인과
C00,성형외과
C01,한의과
C02,호스피스완화의료센터
C03,치과
C05,호스피스완화의료센터
C06,방사선종양학과
C08,방사선종양학과
C09,방사선종양학과
C10,가정의학과
C11,방사선종양학과
C13,방사선종양학과
C15,내과
C16,내과
C17,외과
C18,외과
C19,내과
C20,외과
C22,내과
C23,방사선종양학과
C24,내과
C25,내과
C31,치과
C32,방사선종양학과
C34,내과
C37,방사선종양학과
C41,치과
C43,호스피스완화의료센터
C44,피부과
C45,호스피스완화의료센터
C46,방사선종양학과
C47,호스피스완화의료센터
C49,성형외과
C50,외과
C53,호스피스완화의료센터
C54,호스피스완화의료센터
C56,호스피스완화의료센터
C61,비뇨의학과
C64,비뇨의학과
C65,비뇨의학과
C66,방사선종양학과
C67,비뇨의학과
C71,호스피스완화의료센터
C73,외과
C77,방사선종양학과
C78,방사선종양학과
C79,방사선종양학과
C82,호스피스완화의료센터
C83,방사선종양학과
C85,내과
C90,내과
C91,내과
C92,내과
D04,피부과
D05,외과
D09,비뇨의학과
D10,이비인후과
D11,이비인후과
D12,내과
D13,내과
D14,내과
D16,소아청소년과
D17,외과
D18,일반검진
D21,피부과
D22,성형외과
D23,피부과
D24,외과
D25,산부인과
D26,산부인과
D27,산부인과
D30,비뇨의학과
D32,신경외과
D34,외과
D35,내과
D37,내과
D38,내과
D39,산부인과
D41,비뇨의학과
D42,신경외과
D43,신경외과
D44,핵의학과
D45,내과
D46,내과
D47,내과
D50,내과
D53,내과
D61,내과
D64,내과
D68,내과
D69,내과
D70,내과
D72,내과
D75,내과
D87,한의과
D89,내과
E02,내과
E03,내과
E04,내과
E05,내과
E06,내과
E07,내과
E10,내과
E11,내과
E12,내과
E13,내과
E14,안과
E16,내과
E20,핵의학과
E21,내과
E22,소아청소년과
E23,소아청소년과
E26,내과
E27,내과
E29,비뇨의학과
E30,소아청소년과
E34,소아청소년과
E35,내과
E46,가정의학과
E55,내과
E66,가정의학과
E78,내과
E79,내과
E83,핵의학과
E86,가정의학과
E87,내과
E89,핵의학과
F00,신경과
F01,신경과
F02,정신건강의학과
F03,신경과
F05,정신건강의학과
F06,정신건강의학과
F07,정신건강의학과
F09,정신건강의학과
F10,정신건강의학과
F17,가정의학과
F20,정신건강의학과
F22,정신건강의학과
F23,정신건강의학과
F25,정신건강의학과
F29,정신건강의학과
F31,정신건강의학과
F32,정신건강의학과
F33,정신건강의학과
F34,정신건강의학과
F39,정신건강의학과
F40,정신건강의학과
F41,정신건강의학과
F42,정신건강의학과
F43,정신건강의학과
F45,정신건강의학과
F48,가정의학과
F51,정신건강의학과
F52,비뇨의학과
F60,정신건강의학과
F63,정신건강의학과
F66,수면다원검사과
F70,정신건강의학과
F79,정신건강의학과
F99,정신건강의학과
G06,신경외과
G12,재활의학과
G19,한의과
G20,신경과
G21,신경과
G22,신경과
G23,재활의학과
G24,치과
G25,신경과
G26,정신건강의학과
G30,신경과
G31,신경과
G40,신경과
G43,신경과
G44,신경과
G45,신경과
G47,정신건강의학과
G50,마취통증의학과
G51,신경과
G53,피부과
G54,재활의학과
G55,신경외과
G56,정형외과
G57,재활의학과
G58,마취통증의학과
G60,재활의학과
G62,재활의학과
G63,재활의학과
G64,한의과
G71,재활의학과
G80,재활의학과
G81,재활의학과
G82,재활의학과
G83,재활의학과
G90,응급실
G95,재활의학과
G96,신경과
G98,신경과
H00,안과
H01,안과
H02,안과
H04,안과
H05,안과
H10,안과
H11,안과
H16,안과
H17,안과
H18,안과
H19,안과
H20,안과
H22,피부과
H25,안과
H26,안과
H27,안과
H33,안과
H34,안과
H35,안과
H36,안과
H40,안과
H42,안과
H43,안과
H44,안과
H47,안과
H49,안과
H50,안과
H52,안과
H53,신경과
H54,안과
H60,이비인후과
H61,이비인후과
H62,이비인후과
H65,이비인후과
H66,이비인후과
H71,이비인후과
H81,이비인후과
H90,이비인후과
H91,이비인후과
H92,이비인후과
H93,이비인후과
I05,흉부외과
I06,흉부외과
I07,내과
I08,흉부외과
I10,내과
I11,내과
I12,내과
I20,내과
I21,내과
I25,내과
I26,내과
I27,내과
I31,내과
I34,흉부외과
I35,내과
I42,내과
I44,내과
I46,수면다원검사과
I47,내과
I48,내과
I49,내과
I50,내과
I51,내과
I60,신경외과
I61,재활의학과
I62,재활의학과
I63,신경과
I65,신경과
I66,신경과
I67,신경과
I69,신경과
I70,내과
I71,내과
I72,신경외과
I73,내과
I77,내과
I79,내과
I80,흉부외과
I83,외과
I86,외과
I87,외과
I88,이비인후과
I89,외과
I95,내과
J00,가정의학과
J01,이비인후과
J02,가정의학과
J03,소아청소년과
J04,이비인후과
J06,가정의학과
J07,한의과
J09,소아청소년과
J10,소아청소년과
J11,소아청소년과
J12,내과
J15,소아청소년과
J18,내과
J20,소아청소년과
J21,내과
J26,한의과
J30,이비인후과
J31,이비인후과
J32,이비인후과
J33,이비인후과
J34,이비인후과
J35,이비인후과
J37,이비인후과
J38,이비인후과
J39,이비인후과
J40,내과
J41,내과
J42,내과
J43,내과
J44,내과
J45,내과
J47,내과
J69,내과
J82,내과
J84,내과
J86,내과
J90,입원전담의학과
J93,응급의학과
J96,내과
J98,내과
K00,치과
K01,치과
K02,치과
K03,치과
K04,치과
K05,치과
K06,치과
K07,치과
K08,치과
K09,치과
K10,치과
K11,이비인후과
K12,이비인후과
K13,치과
K14,이비인후과
K20,내과
K21,내과
K22,일반검진
K25,내과
K26,내과
K27,가정의학과
K28,일반검진
K29,내과
K30,내과
K31,내과
K35,외과
K38,응급의학과
K40,외과
K50,응급실
K51,일반검진
K52,소아청소년과
K56,외과
K57,응급의학과
K58,내과
K59,내과
K60,외과
K61,외과
K62,내과
K63,내과
K64,외과
K70,내과
K71,내과
K72,응급의학과
K73,내과
K74,내과
K75,내과
K76,내과
K80,내과
K81,외과
K82,외과
K83,응급의학과
K85,입원전담의학과
K86,내과
K91,외과
K92,응급실
L02,외과
L03,정형외과
L04,소아청소년과
L08,피부과
L20,피부과
L21,피부과
L23,피부과
L24,피부과
L27,피부과
L28,피부과
L29,피부과
L30,피부과
L40,피부과
L41,피부과
L43,치과
L50,피부과
L52,내과
L57,피부과
L60,외과
L63,피부과
L64,피부과
L70,피부과
L72,외과
L73,피부과
L80,피부과
L82,피부과
L84,피부과
L85,피부과
L89,외과
L90,성형외과
L91,피부과
L95,외과
L97,성형외과
L98,피부과
M05,내과
M06,내과
M07,내과
M10,내과
M12,내과
M13,정형외과
M15,정형외과
M16,정형외과
M17,정형외과
M19,정형외과
M20,정형외과
M21,정형외과
M22,한의과
M23,정형외과
M24,재활의학과
M25,재활의학과
M31,내과
M32,내과
M33,내과
M34,내과
M35,내과
M41,한의과
M42,한의과
M43,정형외과
M45,응급실
M46,정형외과
M47,신경외과
M48,정형외과
M50,재활의학과
M51,재활의학과
M54,재활의학과
M60,치과
M62,한의과
M65,정형외과
M71,정형외과
M72,재활의학과
M75,정형외과
M76,한의과
M77,정형외과
M79,응급실
M80,내과
M81,정형외과
M84,핵의학과
M85,산부인과
M86,정형외과
M87,응급실
M89,마취통증의학과
M94,내과
M96,신경외과
M99,한의과
N02,내과
N03,내과
N04,내과
N05,내과
N10,내과
N13,비뇨의학과
N17,내과
N18,내과
N19,내과
N20,비뇨의학과
N21,비뇨의학과
N28,내과
N30,비뇨의학과
N31,비뇨의학과
N32,비뇨의학과
N34,비뇨의학과
N35,비뇨의학과
N39,비뇨의학과
N40,비뇨의학과
N41,비뇨의학과
N43,비뇨의학과
N45,비뇨의학과
N48,비뇨의학과
N49,비뇨의학과
N60,산부인과
N62,외과
N63,외과
N64,산부인과
N71,산부인과
N72,산부인과
N73,산부인과
N76,산부인과
N80,산부인과
N81,산부인과
N83,산부인과
N84,산부인과
N85,산부인과
N87,산부인과
N89,산부인과
N90,산부인과
N91,산부인과
N92,산부인과
N93,산부인과
N94,산부인과
N95,산부인과
P05,소아청소년과
Q21,흉부외과
Q23,흉부외과
Q27,내과
Q38,치과
Q61,내과
